"recno","f2_row","f2_1","f2_2","f2_3","f2_4","f2_5","f2_6","f2_7","f2_8","f2_9","f2_10","f2_11","f2_12","f2_13","f2_14"
83,11,16,,,,,2,,,2,3800,,,,
83,12,16,,,,,2,,,2,3800,,,,
89,1,1,,,1,80000,,,,,,2,,,
89,2,1,,,,,,,,,,,,,
89,4,,,,1,80000,,,,,,2,,,
89,11,12,,,,,,,,,,,,,
89,12,12,,,,,,,,,,,,,
124,11,15,,,,,,,,,,,,,
124,12,15,,,,,,,,,,,,,
126,11,18,,,,,5,,,10,12000,,,,
126,12,12,,,,,5,,,10,12000,,,,
127,11,25,,,5,15000,7,,,10,17000,,2,8,
127,12,17,,,5,15000,7,,,10,17000,,2,8,
130,11,15,,,,,5,,,8,13600,,,,
130,12,15,,,,,5,,,8,13600,,,,
133,1,5,,,2,350000,2,275,550000,36,72000,2,,,
133,2,3,,,,,1,130,260000,16,32000,2,,,
133,3,1,,,,,1,145,290000,20,40000,2,,,
133,4,1,,,2,350000,,,,,,2,,,
133,11,20,,,,,7,,,10,17000,,,,
133,12,20,,,,,7,,,10,17000,,,,
134,1,5,,,2,510000,1,150,300000,20,40000,2,8,,6
134,2,2,,,1,330000,,,,,,2,8,,
134,3,1,,,,,1,150,300000,20,40000,2,8,,6
134,4,2,,,1,180000,,,,,,2,8,,
134,9,20,,,5,250000,2,,,28,70000,2,8,9,
134,11,20,,,5,15000,6,,,10,17000,2,,,
134,12,20,,,5,15000,6,,,10,17000,2,,,
135,1,4,,,2,360000,2,270,540000,35,70000,2,8,,10
135,2,2,,,,,1,130,260000,20,40000,2,8,,
135,3,1,,,,,1,140,280000,15,30000,2,8,,10
135,4,1,,,2,360000,,,,,,2,8,,
135,11,20,,,,,10,,,14,23800,,,,
135,12,20,,,,,10,,,14,23800,,,,
136,11,12,,,3,10000,2,,,3,5500,2,8,,
136,12,12,,,3,10000,2,,,3,5500,2,8,,
137,1,4,,,3,700000,1,140,308000,20,44000,2,8,9,5
137,2,2,,,1,350000,,,,,,2,,,
137,3,,,,,,1,140,308000,20,44000,2,8,9,5
137,4,2,,,2,350000,,,,,,2,8,,
137,6,2,,,,,2,125,400000,15,48000,2,8,9,5
137,7,2,,,,,2,125,400000,15,48000,2,8,9,5
137,11,18,,,,,5,,,7,12000,,,,
137,12,18,,,,,5,,,7,12000,,,,
139,11,20,,,6,20000,4,,,6,10000,2,,,
139,12,14,,,6,20000,4,,,6,10000,2,,,
141,1,6,,,2,540000,1,140,280000,20,40000,2,8,,4
141,2,2,,,1,360000,1,140,280000,20,40000,2,8,,4
141,3,1,,,,,,,,,,,,,
141,4,3,,,1,180000,,,,,,2,8,,
141,6,2,,,,,2,130,416000,15,55000,2,8,,5
