"recno","f3_row","f3_1","f3_2","f3_3","f3_4","f3_5"
188,1,1,3,1,,
188,4,1,3,1,,
242,2,1,4,1,,
269,1,1,4,1,,
269,4,1,4,1,,
373,2,1,3,1,,
375,2,1,5,1,,
376,2,1,2,1,,
552,2,1,4,1,,
557,2,1,4,1,,
794,2,1,5,1,,
795,1,1,5,1,,
795,4,1,5,1,,
795,5,1,4,1,,
795,8,1,2,1,,
795,9,1,4,1,,
795,10,1,3,1,,
836,9,1,5,2,,
985,1,1,4,1,,
986,2,1,4,1,,
1017,4,1,2,2,,
1059,1,1,2,1,,
1155,1,1,5,3,,
1156,1,1,3,1,,
1156,2,1,3,1,,
1157,2,1,5,1,,
1158,1,1,5,1,,
1160,2,1,5,1,,
1166,2,1,2,1,,
1168,2,3,4,1,,
1252,2,1,5,1,,
1254,1,1,1,2,,
1254,4,1,1,2,,
1254,5,1,1,2,,
1293,2,1,4,1,,
1294,2,1,3,1,,
1296,2,1,2,1,,
1416,2,1,5,1,,
1524,3,1,5,1,,
1527,8,1,4,1,,
1633,1,1,5,1,,
1633,2,1,5,1,,
1633,3,1,5,2,,
1633,5,1,5,1,,
1633,8,5,1,1,,
1633,9,1,5,1,,
1633,10,1,5,1,,
1657,2,1,5,1,,
1702,1,1,5,1,,
1901,8,1,1,1,,
1901,9,1,1,1,,
1901,10,1,1,1,,
1958,8,1,4,1,,
1971,1,1,5,3,,
1971,6,1,5,3,,
2062,1,1,5,2,,
2062,4,1,5,1,,
2062,8,1,5,1,,
2062,9,1,4,1,,
2062,10,1,5,1,,
2068,2,1,5,1,,
2070,1,1,5,1,,
2070,2,1,5,2,,
2070,4,1,5,1,,
2070,5,1,5,1,,
2070,8,1,4,1,,
2070,9,1,4,1,,
2070,10,1,4,1,,
2116,2,1,5,1,,
2120,10,1,5,1,,
2121,1,1,5,1,,
2121,4,1,5,1,,
2121,9,1,5,1,,
2364,1,1,3,1,,
2397,3,1,4,3,,
2426,2,1,5,1,,
2458,2,1,5,1,,
2500,2,1,5,1,,
2548,1,1,5,1,,
2548,4,1,5,1,,
2548,5,1,5,1,,
2550,2,1,5,1,,
2554,2,1,5,1,,
2714,4,1,4,1,,
2715,2,1,4,1,,
2750,2,1,3,1,,
2810,2,1,5,3,,
2811,2,1,5,3,,
2812,2,1,4,3,,
2814,2,1,5,3,,
2828,1,1,4,2,,
2828,4,1,4,2,,
2828,5,1,4,3,,
2828,9,1,4,3,,
2846,1,1,2,1,,
2855,2,1,4,1,,
2902,2,1,5,3,,
2914,2,1,5,2,,
2915,1,1,5,2,,
2915,8,1,5,1,,
2915,9,1,5,1,,
2915,10,1,5,1,,
2982,2,1,5,1,,
3013,2,1,2,1,,
3242,2,1,4,1,,
3247,2,1,4,1,,
3248,2,1,5,1,,
3258,5,1,5,1,,
3338,2,1,5,1,,
3368,2,1,3,3,,
3417,1,1,5,1,,
3417,3,1,5,1,,
3417,4,1,5,1,,
3417,5,1,5,1,,
3417,8,1,5,1,,
3660,1,1,3,1,,
3707,2,1,2,1,,
3719,3,1,4,1,,
3720,1,1,4,1,,
3751,2,1,5,2,,
3851,2,1,5,1,,
3877,1,1,5,1,,
4010,2,1,5,1,,
4011,4,1,4,1,,
4034,1,1,1,1,,
4036,1,1,4,3,,
4085,6,1,4,1,,
4152,1,1,5,1,,
4156,2,1,4,1,,
4227,1,1,3,1,,
4227,8,1,3,1,,
4227,9,1,3,1,,
4227,10,1,3,1,,
4229,1,4,3,1,,
4229,3,1,5,1,,
4229,5,1,5,1,,
4229,8,2,5,1,,
4229,9,3,3,1,,
4229,10,4,4,1,,
4230,1,1,5,1,,
4230,2,1,5,1,,
4230,8,1,4,1,,
4230,9,1,4,1,,
4230,10,1,3,1,,
4278,1,1,5,1,,
4278,4,1,5,1,,
4316,2,1,5,1,,
4440,4,1,4,1,,
4442,2,1,5,2,,
4446,4,1,4,2,,
4655,1,1,5,1,,
4655,8,1,4,1,,
4655,9,1,3,1,,
4655,10,1,4,1,,
4659,2,1,5,1,,
4688,8,,,,1,700000
4710,1,1,5,2,,
4710,4,1,5,2,,
4710,9,1,5,1,,
4716,2,1,5,2,,
4872,4,1,4,2,,
4877,4,1,4,1,,
5140,2,1,5,3,,
5142,2,1,5,2,,
5145,1,1,5,3,,
5146,1,1,5,2,,
5181,2,1,3,1,,
