"recno","g1_row","g1_1","g1_2","g1_3","g1_4","g1_5","g1_6","g1_7","g1_8","g1_9","g1_10","g1_11"
2,14,10,,,4,1600,,6,2500,,,
5,14,15,,,6,2000,,9,4000,,,
9,14,10,,,5,3000,,5,3000,,,
9,15,20,,,12,4000,,8,2000,,,
11,14,10,,,7,840,,3,360,,,
11,15,10,,,6,720,,4,480,,,
12,14,30,,,20,2400,,10,1200,,,
12,15,50,,,40,4800,,10,1200,,,
12,16,30,,,30,24000,,,,,,
13,14,50,,,35,5250,,15,2230,,,
13,15,40,,,20,2600,,20,2600,,,
13,16,30,,,30,24000,,,,,,
14,14,12,,,6,900,,6,900,,,
14,15,25,,,15,1800,,10,1200,,,
15,15,18,,,15,2000,,3,400,,,
16,14,30,,,20,3000,,10,1500,,,
16,15,25,,,20,2400,,5,600,,,
17,14,20,,,15,1800,,5,600,,,
17,15,12,,,7,840,,5,600,,,
18,14,6,,,6,900,,,,,,
18,15,12,,,12,1440,,,,,,
19,14,70,,,20,10000,,50,25000,,,
19,15,10,,,2,600,,8,1600,,,
20,14,90,,,40,20000,,50,25000,,,
20,15,10,,,5,1500,,5,1500,,,
21,14,20,,,5,2500,,15,7500,,,
21,15,10,,,3,900,,7,2100,,,
22,1,400,,,350,122000,,50,17500,,,
22,14,100,,,30,4500,,70,10500,,,
22,15,5,,,1.5,225,,3.5,525,,,
24,1,300,,,250,87500,,50,17500,,,
24,14,90,,,10,1500,,80,12000,,,
25,14,15,,,2,1000,,13,6500,,,
28,1,300,,,300,70000,,,,,,
28,14,100,,,80,26000,,20,8000,,,
28,15,100,,,80,16000,,20,4000,,,
29,1,1100,,,1100,230000,,,,,,
29,14,200,,,150,62000,,50,20000,,,
29,15,200,,,150,30000,,50,10000,,,
30,14,40,,,20,4000,,20,4000,,,
30,15,40,,,20,4000,,20,4000,,,
33,14,100,,,40,20000,,60,24000,,,
33,15,60,,,30,6000,,30,6000,,,
33,16,20,,,20,30000,,,,,,
34,14,120,,,95,19000,,25,5000,,,
34,15,20,,,10,2000,,10,2000,,,
36,14,100,,,40,30000,,60,40000,,,
36,15,40,,,20,6000,,20,6000,,,
40,15,20,,,10,3200,,10,3200,,,
40,20,4,,,2,1000,,2,1000,,,
42,14,120,,,40,8600,,80,16200,,,
42,15,30,,,15,4000,,15,4000,,,
42,20,8,,,4,3500,,4,4500,,,
43,14,60,,,30,6600,,30,6600,,,
43,15,20,,,10,3500,,10,3500,,,
44,15,20,,,5,1000,,15,3000,,,
45,14,2,,,,,,2,1600,,,
45,20,10,,,2,1100,,8,4400,,,
46,14,80,,,40,24000,,40,24000,,,
46,15,40,,,20,6000,,20,6000,,,
46,20,20,,,7,3500,,13,6500,,,
47,14,15,,,5,3000,,10,6000,,,
47,15,30,,,15,4500,,15,4500,,,
47,16,25,,,25,45000,,,,,,
47,20,10,,,5,2500,,5,2500,,,
48,14,45,,,30,18000,,15,9000,,,
48,16,30,,,30,51000,,,,,,
48,20,10,,,3,1500,,7,3500,,,
50,14,15,,,5,3000,,10,6000,,,
50,15,15,,,7,2100,,8,2400,,,
50,16,10,,,10,18000,,,,,,
50,20,20,,,8,4000,,12,6000,,,
52,14,20,,,8,4800,,12,7200,,,
52,15,20,,,10,3000,,10,3000,,,
52,16,15,,,15,27000,,,,,,
52,20,20,,,10,5000,,10,5000,,,
53,14,10,,,5,3000,,5,3000,,,
53,20,15,,,5,3000,,10,6000,,,
56,14,100,,,70,35000,,30,20000,,,
56,15,150,,,100,30000,,50,15000,,,
57,14,55,,,35,17000,,20,14000,,,
57,15,30,,,20,6000,,10,3000,,,
58,14,24,,,20,16000,,4,2200,,,
58,15,10,,,6,1800,,4,1200,,,
59,14,78,,,50,25000,,28,14000,,,
59,15,50,,,30,9000,,20,6000,,,
60,14,30,,,20,4000,,10,2000,,,
60,15,30,,,25,5000,,5,1000,,,
62,14,70,,,40,28000,,30,21000,,,
62,15,45,,,25,7500,,20,6000,,,
63,15,40,,,30,6000,,10,2000,,,
67,14,15,,,5,3000,,10,6000,,,
67,16,15,,,15,15000,,,,,,
73,14,66,,,26,4800,,40,7800,,,
73,15,15,,,6,1800,,9,5400,,,
74,14,50,,,17,3500,,33,6300,,,
74,15,15,,,5,1000,,10,2000,,,
76,14,135,,,45,6750,,90,13500,,,
78,14,150,,,45,6800,,105,15800,,,
78,15,40,,,12,4500,,28,13500,,,
79,14,8,,,3,2100,,5,3500,,,
79,15,11,,,4,800,,7,1800,,,
80,14,180,,,60,9000,,120,18000,,,
80,15,105,,,35,11500,,70,40000,,,
81,14,60,,,15,2300,,45,6800,,,
81,15,10,,,4,1200,,6,1800,,,
82,15,20,,,7,1400,,13,2600,,,
83,19,1500,1300,104000,200,16000,,,,2,,
84,14,20,,,10,2300,,10,2300,,,
84,15,30,,,15,3000,,15,3000,,,
86,14,25,,,5,1500,,20,6000,,,
86,15,30,,,5,1000,,25,5000,,,
88,14,12,,,7,2800,,5,2000,,,
89,1,320,,,320,70600,,,,,,
89,7,100,50,15000,50,15000,,,,2,,
89,8,28,,,28,50000,,,,,,
89,10,1200,1000,300000,200,60000,,,,2,,
89,14,50,,,,,,50,11500,,,
89,15,60,,,15,3000,,45,9000,,,
89,19,1500,1200,96000,300,24000,,,,2,,
90,14,16,,,8,1850,,8,1850,,,
90,15,15,,,7,1400,,8,1600,,,
91,15,10,,,4,600,,6,900,,,
92,14,13,,,3,1200,,10,4000,,,
92,15,17,,,7,1050,,10,1500,,,
94,14,90,,,45,18000,,45,18000,,,
94,15,6,,,2,400,,4,800,,,
95,15,6,,,4,800,,2,400,,,
98,15,18,,,10,3000,,8,2400,,,
101,14,42,,,2,1050,,40,21000,,,
101,15,12,,,2,700,,10,3500,,,
109,14,50,,,40,32000,,10,8000,,,
110,14,60,,,40,20000,,20,10000,,,
111,14,100,,,80,24000,,20,6000,,,
111,15,60,,,50,15000,,10,3000,,,
112,14,50,,,30,15000,,20,10000,,,
112,15,30,,,15,4500,,15,4500,,,
113,14,30,,,30,10000,,,,,,
113,15,60,,,40,12000,,20,6000,,,
114,14,30,,,30,5000,,,,,,
115,14,60,,,40,20000,,20,10000,,,
116,14,50,,,40,20000,,10,5000,,,
116,15,50,,,40,12000,,10,3000,,,
117,14,50,,,40,20000,,10,5000,,,
117,15,50,,,30,9000,,20,6000,,,
118,1,620,,,600,126000,,20,4400,,,
118,14,100,,,45,13500,,55,16500,,,
118,15,40,,,20,4000,,20,4000,,,
118,16,15,,,13,9100,,2,1400,,,
119,1,540,,,520,109000,,20,4400,,,
119,14,200,,,80,24000,,120,36000,,,
119,15,100,,,40,8000,,60,12000,,,
119,16,14,,,12,9600,,2,1600,,,
121,1,470,,,470,101000,,,,,,
121,14,230,,,100,35000,,130,45500,,,
121,15,70,,,30,6000,,40,8000,,,
121,16,13,,,11,11000,,2,2000,,,
122,1,590,,,570,120000,,20,4200,,,
122,14,180,,,80,28000,,100,35000,,,
122,15,90,,,40,8000,,50,10000,,,
122,16,8,,,7,6600,,1,900,,,
123,1,460,,,460,99000,,,,,,
123,14,150,,,70,21000,,80,24000,,,
123,15,80,,,40,8000,,40,8000,,,
123,16,16,,,13,11000,,3,2700,,,
