"recno","h1_1","h1_2","h1_3","h1_4","h1_5","h1_6","h1_7","h1_8","h1_9","h1_4drm"
7,77,2,1,480000,1,,1,,100000,480000
16,77,3,2,20000,1,3,1,20000,25000,20000
28,77,1,1,,,,,16000,15000,
30,3,6,3,,,,,40000,,
30,4,2,1,60000,1,,1,10000,40000,60000
33,77,1,1,,,,,30000,30000,
34,77,1,3,,,,,,30000,
34,77,3,3,,,,,,30000,
35,77,1,1,60000,1,,1,50000,300000,60000
36,77,1,1,30000,1,,1,60000,40000,30000
74,99,4,3,,,,,,50000,
82,99,1,3,350000,1,3,1,,,350000
82,99,3,3,350000,1,3,1,,,350000
84,99,1,3,,,,,10000,,
94,77,2,2,,,,1,15000,,
97,77,1,2,80000,1,,1,5000,30000,80000
120,77,3,3,2000,3,,1,,,951460
123,77,3,3,1500,3,,1,,,713595
124,77,2,1,,,,,25000,,
144,4,2,2,100000,1,3,1,60000,60000,100000
146,77,3,3,,,,,20000,10000,
155,3,2,1,,,,,70000,30000,
159,4,8,3,,,,,10000,5000,
172,4,8,1,35000,1,3,1,35000,18000,35000
172,77,3,3,,,,,15000,,
173,77,2,3,,,,,15000,,
175,1,4,3,,,,,10000,,
176,3,8,2,100000,1,3,1,50000,30000,100000
179,77,3,3,,,,,15000,,
180,77,1,3,,,,,15000,,
239,77,3,1,1500,3,,1,,,713595
242,77,3,2,,,,,60000,,
245,77,3,2,200000,1,,1,,50000,200000
253,77,2,1,5000,2,3,1,30000,50000,37050
254,77,2,1,,,,,40000,60000,
256,77,2,1,,,,,40000,120000,
258,77,2,1,60000,1,3,1,70000,50000,60000
258,77,3,1,,,,,,90000,
259,77,2,1,30000,1,3,1,80000,30000,30000
260,77,1,1,150000,1,3,1,60000,,150000
261,77,2,2,,,,,10000,30000,
264,77,3,3,,,,,50000,,
266,77,2,3,,,,,70000,,
267,77,3,1,100000,1,1,1,,,100000
269,77,2,3,,,,,60000,,
344,77,3,3,,,,,13000,,
389,77,1,3,,,,,50000,,
390,77,2,3,,,,,60000,,
391,77,2,3,,,,,10000,,
392,77,3,3,,,,,25000,,
396,99,4,3,,,,,30000,,
398,99,4,2,,,,,40000,,
399,3,1,2,60000,1,,1,40000,30000,60000
401,5,3,2,20000,1,,1,30000,25000,20000
405,77,2,2,,,,,50000,,
406,77,2,1,,,,,15000,30000,
407,77,1,2,,,,,10000,30000,
407,77,2,1,,,,,15000,20000,
408,77,2,1,,,,,10000,30000,
409,77,3,2,,,,,20000,50000,
409,77,2,1,,,,,5000,10000,
410,77,2,2,,,,,5000,10000,
411,77,2,1,,,,,15000,35000,
412,77,2,1,,,,,10000,25000,
413,77,2,2,,,,,5000,10000,
414,77,2,2,,,,,5000,20000,
415,77,3,1,,,,,24000,15000,
416,77,3,1,,,,,23000,19000,
