"recno","h2_1","h2_2","h2_3","h2_4","h2_4drm","h2_5","h2_6","h2_7","h2_8","h2_9"
2,77,1,1,600000,600000,1,,1,100000,100000
3,99,4,1,120000,889200,2,1,1,,
4,77,3,1,,,,,,250000,100000
6,99,7,2,2400,1141752,3,1,1,,200000
6,77,1,1,,,,,,40000,
8,77,3,1,,,,,,200000,
9,2,4,2,160000,1185600,2,1,1,,
10,77,1,2,80000,80000,1,,1,120000,20000
16,77,3,2,120000,120000,1,3,1,,
17,77,1,1,,,,,,140000,15000
23,77,1,3,,,,,,70000,
24,99,2,3,150000,150000,1,3,1,,
27,99,7,3,1800,856314,3,3,1,,
28,77,1,3,,,,,,,40000
29,77,1,1,,,,,,30000,10000
30,77,1,1,,,,,,,100000
31,99,6,3,500,237865,3,1,1,,60000
31,77,1,1,,,,,,10000,
32,77,1,3,,,,,,,100000
32,77,1,1,,,,,,100000,
33,77,1,3,200000,200000,1,,1,120000,30000
34,1,4,2,50000,370500,2,1,1,,
34,77,3,3,,,,,,60000,
35,77,1,1,,,,,,100000,
36,77,1,1,,,,,,30000,100000
36,99,4,1,120000,889200,2,1,1,,
38,77,1,1,,,,,,70000,5000
39,77,1,1,,,,,,70000,10000
40,99,4,2,170000,170000,1,1,1,,
44,1,4,1,100000,741000,2,1,1,,
54,99,4,1,2000,951460,3,1,1,,
54,99,6,1,2000,951460,3,1,1,,
55,99,5,2,1000000,1000000,1,1,1,,
56,77,1,1,600000,600000,1,1,1,,
60,99,4,2,25000,185250,2,1,1,,
64,1,4,2,1000,475730,3,1,1,,
65,99,4,1,2000,951460,3,1,1,,
69,77,3,1,,,,,,70000,
69,77,3,1,,,,,,60000,
70,77,3,1,,,,,,50000,
71,77,1,2,,,,,,50000,
73,77,2,2,,,,,,200000,
74,99,4,1,240000,1778400,2,1,1,,
75,77,2,1,1600000,1600000,1,,1,160000,
79,99,6,2,200,110916,4,1,1,,80000
79,77,1,2,240000,240000,1,,1,60000,
81,99,4,1,180000,1333800,2,1,1,,
81,1,4,1,180000,1333800,2,1,1,150000,200000
82,99,3,1,,,,,,25000,
85,77,1,3,,,,,,3000,
85,99,4,3,200,95146,3,3,1,,
86,99,8,1,600000,600000,1,3,1,,
88,2,8,2,1200,570876,3,3,1,,
89,77,3,3,20000,20000,1,3,1,10000,
90,2,4,1,400000,400000,1,1,1,,
90,2,4,3,100000,100000,1,3,1,,
93,77,1,1,,,,,,60000,80000
95,99,4,2,2000000,2000000,1,3,1,,
96,99,4,2,120000,889200,2,3,1,,
99,77,1,3,300000,300000,1,,1,50000,
102,99,7,3,500,237865,3,1,1,,50000
104,77,1,1,150000,150000,1,,1,100000,100000
105,99,5,3,150,71360,3,3,1,150000,150000
118,1,4,1,6000,2854380,3,1,1,,
119,3,4,1,3900,1855347,3,1,1,,
120,77,3,1,,,,,,60000,20000
120,99,4,1,6000,2854380,3,1,1,,
122,3,4,1,4800,2283504,3,1,1,,
122,5,4,3,3000,1427190,3,1,1,,
123,2,4,1,5000,2378650,3,1,1,,
123,77,3,1,,,,,,55000,
124,3,4,1,5500,2616515,3,1,1,,
125,77,3,3,,,,,,50000,
126,4,6,1,600,332748,4,1,1,,
127,1,4,1,120000,889200,2,1,1,,
128,77,3,1,,,,,,70000,30000
132,3,7,2,1500,713595,3,3,1,,60000
136,77,1,1,170000,170000,1,3,1,45000,30000
143,2,4,1,85000,629850,2,3,1,,
151,2,4,1,48000,355680,2,1,1,,
152,99,6,3,600,332748,4,1,1,,
153,2,4,3,8000,59280,2,1,1,,
154,1,4,2,120000,889200,2,1,1,,
154,77,3,3,,,,,,30000,
156,1,4,2,1000000,1000000,1,1,1,,
160,77,4,1,50000,370500,2,1,1,,
162,77,2,3,,,,,,50000,50000
162,77,3,3,,,,,1,20000,
166,77,3,1,,,,,,180000,50000
166,77,2,1,,,,,,100000,20000
167,99,4,2,15000,111150,2,1,1,,
167,1,4,2,64000,474240,2,1,1,,
168,99,4,2,10000,74100,2,1,1,,
171,77,2,1,,,,,,200000,100000
171,77,2,2,100000,100000,1,,1,250000,
173,4,4,2,50000,370500,2,1,1,,
175,1,4,2,15000,111150,2,1,1,,
179,77,3,3,,,,,,20000,5000
180,1,4,2,15000,111150,2,1,1,,
180,3,4,2,15000,111150,2,1,3,,
181,77,2,2,200000,200000,1,,1,,
182,99,4,2,2000,951460,3,2,1,,
185,99,4,2,800000,800000,1,1,1,,
189,77,2,2,32000,32000,1,,1,,
