"recno","l1_row","l1_1","l1_2","l1_3","l1_4"
1,1,1,1,2,
1,2,1,1,2,
1,3,1,1,2,
1,4,1,1,2,
1,5,1,1,2,
1,6,3,4,2,
1,7,1,1,2,
1,8,3,4,2,
1,9,2,3,2,
1,10,2,3,2,
1,11,2,3,2,
2,1,1,1,2,
2,2,1,3,2,
2,3,1,3,2,
2,4,3,4,2,
2,5,1,3,2,
2,6,3,4,2,
2,7,1,1,2,
2,8,3,4,2,
2,9,3,4,2,
2,10,2,2,2,
2,11,2,3,2,
3,1,1,3,2,
3,2,1,3,2,
3,3,1,1,2,
3,4,1,3,2,
3,5,1,3,2,
3,6,3,4,2,
3,7,1,3,2,
3,8,3,4,2,
3,9,2,2,2,
3,10,3,4,2,
3,11,3,4,2,
4,1,1,3,2,
4,2,1,3,2,
4,3,1,1,2,
4,4,3,4,2,
4,5,1,3,2,
4,6,3,4,2,
4,7,3,4,2,
4,8,3,4,2,
4,9,2,2,2,
4,10,1,1,2,
4,11,2,3,2,
5,1,1,1,2,
5,2,1,1,2,
5,3,1,1,2,
5,4,1,1,2,
5,5,1,1,2,
5,6,3,4,2,
5,7,1,1,2,
5,8,3,4,2,
5,9,2,2,2,
5,10,2,2,2,
5,11,2,3,2,
6,1,1,1,2,
6,2,1,3,2,
6,3,1,1,2,
6,4,1,1,2,
6,5,1,1,2,
6,6,1,1,2,
6,7,1,1,2,
6,8,3,4,2,
6,9,2,2,2,
6,10,2,2,2,
6,11,2,3,2,
7,1,1,1,2,
7,2,1,1,2,
7,3,1,1,2,
7,4,2,3,2,
7,5,1,1,2,
7,6,1,1,2,
7,7,1,1,2,
7,8,3,4,2,
7,9,3,4,2,
7,10,3,4,2,
7,11,1,3,2,
8,1,1,1,2,
8,2,1,3,2,
8,3,1,1,2,
8,4,1,1,2,
8,5,1,1,2,
8,6,1,1,2,
8,7,1,1,2,
8,8,3,4,2,
8,9,1,1,2,
8,10,3,4,2,
8,11,2,3,2,
9,1,1,1,2,
9,2,1,3,2,
9,3,1,1,2,
9,4,1,1,2,
9,5,1,3,2,
9,6,3,4,2,
9,7,1,1,2,
9,8,3,4,2,
9,9,2,2,2,
9,10,3,4,2,
9,11,2,3,2,
10,1,2,3,2,
10,2,2,3,2,
10,3,1,3,2,
10,4,1,3,2,
10,5,1,3,2,
10,6,1,3,2,
10,7,3,4,2,
10,8,3,4,2,
10,9,3,4,2,
10,10,3,4,2,
10,11,1,3,2,
11,1,2,3,2,
11,2,2,3,2,
11,3,1,3,2,
11,4,1,3,2,
11,5,1,3,2,
11,6,1,3,2,
11,7,3,4,2,
11,8,3,4,2,
