"recno","memnum","a1_1","a1_2","a1_3","a1_4","age","a1_5","a1_6","a1_7","a1_8","a1_9","a2_1","a2_2","a2_3","a2_4","b1_1","b1_2","b1_3","b1_4","b1_5","b1_6","b1_7","b1_8","b1_9","z4","c25_1","c25_2","c25_3","c25_4","c25_5","c25_6","c25_7","c25_8","c25_9","c25_10","e1_2","e1_3","e1_4","e1_5","e1_6","e1_7","e2_2","e2_3","e2_4","e2_5","e2_6","e2_7","e2_8","e2_9","e2_10","e2_11","e2_12","e2_13","e2_14","e2_15","e2_16","e2_17","e2_18","e2_19","e2_20","e2_20drm","c25_11","e2_21","e2_22","e2_22drm","e2_23","e2_24","e2_24drm","e2_25","e2_26","e2_26drm","e2_27","e2_28","e2_28drm","e2_29","e2_30","e2_30drm","e2_31","e2_32","e2_33","e2_34","e2_35","e2_35drm","e2_36","e2_37","e2_38","e3_2","e3_3","e3_4","e3_5","e3_6","e3_7","e3_8","e3_9","i1_1","i1_2","i1_3","i1_4","i1_5","i1_6","i1_7","i1_8","i1_9","i1_10","i1_11","i1_12","i1_13","i1_14","i1_15","i1_16","i1_17","i1_18","i1_19","i1_20","i1_21","i1_22","i1_23","i1_24","i1_25","i1_26","i1_27","i1_28","i1_29","i1_30","i1_31","i1_32","i1_33","i1_34","i1_35","i1_36","i1_37","i2_2","i2_3","i2_4","i2_5","i2_6","i2_7","i2_8","i2_9","i2_10","i2_11","i2_12","i2_13","i2_14","k1_1","k1_2","k1_3","k1_4","k1_5","k1_6","d1_1","d1_2","d1_3","d1_4","d1_5","d1_6","d1_7","d1_8","d1_9","d1_10","d1_11","d1_12","d2_1","d2_2","d2_3","d2_4","d2_5","d2_6","d2_7","d2_8","d2_9","d2_10","date"
1,3,1,3,4,1996,18,2,1,2,4,5,,,,,1,9,1,7,2014,5,2,,4,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,1,1,1,2,1972,42,1,1,,,6,,,,,5,,,,,,,,,,1,,1,,,,,,,1,,,,,,,4,2,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,0,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,1,,,56,1,,4,3,1,3,70,2,,,,,,,,,,,1
1,2,2,2,9,1971,43,1,1,,,7,,,,,5,,,,,,,,,,1,,1,,,,,,,1,,,,,,,5,2,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,0,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,2,,,4,6,5,1,,,47,1,,4,3,1,3,60,2,,,,,,,,,,,1
2,1,2,1,5,1982,32,3,1,,,8,,,,,5,,,,,,,,,11,,,,,,,,,,1,,,,,,,6,5,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,0,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,6,,,3,9,2,1,,,85,1,,1,,1,1,30,1,,,,,,,,,,,1
2,2,1,3,3,2003,11,,1,,,3,17,,,,,,,,,,,,,11,,,,,,,,,,1,,,,,,,2,0,1,1,1,1,,1,2,0,2,,2,,,,,,,,,,10000,10000,1,5000,5000,1,,,,,,,,,,6,,5,,,,2,2,,,,,,,,,2,0,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3,1,2,1,10,1930,84,2,2,,,8,5,25,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,4,0,2,,2,,,,,,,,,,,,,2,1,11500,2,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,5,,,4,9,5,,,,,,,,,,,,,,,,,,,,,,,1
4,1,1,1,4,1978,36,1,2,,,5,,,,,5,,,,,,,,,,,,,,,,,,,1,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,0,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,1,,,10,2,,4,3,4,3,56,1,,,,,,,,,,,1
4,2,2,2,6,1979,35,1,3,,,5,,,,,5,,,,,,,,,,,,,,,,,,,1,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,0,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,3,2,,4,8,5,1,,,47,2,,4,3,1,1,48,2,,,,,,,,,,,1
4,3,2,3,8,2006,8,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,1,1,1,1,,1,1,0,2,,2,,,,,,,,,,1500,1500,1,3500,3500,1,,,,,,,,,,1,1,5,,,,2,2,,,,,,,,,2,0,2,,1,1,6,2,,0,0,0,,2,2,2,1,,1,600,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
5,4,1,3,8,1994,20,2,1,2,4,5,,,,,1,11,2,1,2013,5,2,,4,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
