"recno","n1_1","n1_2","n1_3"
116,1,20000,1
185,9,12000,1
189,9,250000,1
312,1,180000,1
373,9,120000,1
376,9,15000,1
378,9,20000,1
513,7,40000,1
515,1,15000,1
543,1,300000,1
544,1,20000,1
691,6,21000,1
702,7,30000,1
970,7,2500000,1
1117,6,60000,1
1120,6,100000,1
1121,6,28000,1
1122,6,40000,1
1124,6,80000,1
1125,6,60000,1
1335,7,600000,1
1410,1,20000,1
1549,6,80000,1
1550,6,84000,1
1552,6,100000,1
1555,6,70000,1
1557,6,18000,1
1559,6,35000,1
1560,6,13000,1
1562,6,13000,1
1564,6,30000,1
1838,1,20000,1
1842,1,8000,1
1844,1,20000,1
1845,1,15000,1
1914,9,15000,1
1916,9,45000,1
1983,6,20000,1
1987,6,12000,1
1988,6,30000,1
2123,9,45000,1
2221,1,20000,1
2362,9,72000,1
2363,9,96000,1
2364,9,80000,1
2367,9,80000,1
2424,6,46000,1
2425,6,48000,1
2426,6,50000,1
2428,6,24000,1
2430,6,50000,1
2679,1,7000,1
2704,1,5000,1
2707,1,20000,1
2777,9,5000,1
2845,6,20000,1
2846,6,20000,1
2847,6,20000,1
2848,6,20000,1
2849,6,21000,1
2850,6,20000,1
2852,6,60000,1
2853,6,50000,1
2855,9,70000,1
2862,9,5000,1
3055,1,100000,1
3112,7,120000,1
3135,1,10000,1
3140,1,20000,1
3209,9,50000,1
3213,9,8000,1
3506,7,1800000,1
3565,1,20000,1
3571,1,30000,1
3572,1,30000,1
3645,9,8000,1
3657,9,700000,1
3662,9,70000,1
3663,9,222000,1
3699,3,50000,1
3699,1,150000,1
3834,1,5000,1
3997,1,10000,1
4088,9,60000,1
4093,9,160000,1
4095,9,420000,1
4141,6,18000,1
4142,6,54000,1
4143,1,28000,1
4144,6,120000,1
4145,6,20000,1
4146,6,20000,1
4147,6,42000,1
4148,6,18000,1
4153,9,18000,1
4398,1,14000,1
4410,9,60000,1
4430,1,20000,1
4520,9,40000,1
4522,9,40000,1
4526,9,70000,1
4573,6,35000,1
4574,6,30000,1
4867,1,30000,1
4868,1,20000,1
4970,1,120000,1
