"recno","date","day","x1_1","x1_2","x1_3","x1_4","x1_5"
1,1,24,1001,1,1,510,1
1,1,1,1042,1,2,880,1
1,1,12,1042,1,0.5,220,1
1,1,13,1042,1,0.5,220,1
1,1,14,1042,1,0.5,220,1
1,1,15,1042,1,0.5,220,1
1,1,16,1042,1,0.5,220,1
1,1,17,1042,1,0.5,220,1
1,1,18,1042,1,0.5,220,1
1,1,19,1042,1,0.5,220,1
1,1,21,1042,1,0.5,220,1
1,1,22,1042,1,0.5,220,1
1,1,23,1042,1,0.5,220,1
1,1,24,1042,1,0.5,220,1
1,1,25,1042,1,0.5,220,1
1,1,26,1042,1,0.5,220,1
1,1,27,1042,1,0.5,220,1
1,1,28,1042,1,0.5,220,1
1,1,29,1042,1,0.5,220,1
1,1,30,1042,1,0.5,220,1
1,1,31,1042,1,0.5,220,1
1,1,20,1042,1,0.5,230,1
1,1,1,1046,1,1,500,1
1,1,28,1051,1,0.3,1200,1
1,1,24,1072,1,1,550,1
1,1,16,1101,1,1,2300,1
1,1,29,1101,1,1,2300,1
1,1,16,1256,1,1,1350,1
1,1,1,1341,2,1,300,1
1,1,12,1341,2,1,300,5
1,1,1,1343,1,0.4,480,1
1,1,17,1343,1,0.2,250,1
1,1,24,1343,1,0.2,250,1
1,1,29,1343,1,0.2,250,1
1,1,12,1354,1,2,3600,5
1,1,20,1381,3,10,700,1
1,1,29,1381,3,10,700,1
1,1,14,1391,1,0.3,900,1
1,1,1,1431,2,1,820,1
1,1,20,1431,2,2,1700,1
1,1,23,1485,1,0.1,180,1
1,1,12,1590,1,1,280,1
1,1,25,1591,1,2,600,1
1,1,24,1648,1,1,760,1
1,1,20,1702,1,1,400,1
1,1,20,1861,1,0.5,1400,1
1,1,23,1892,2,1,250,1
1,1,28,1922,2,1,380,1
2,1,23,1008,1,1,700,1
2,1,12,1042,1,0.6,240,1
2,1,13,1042,1,0.6,240,1
2,1,14,1042,1,0.6,240,1
2,1,15,1042,1,0.6,240,1
2,1,16,1042,1,0.6,240,1
2,1,17,1042,1,0.6,240,1
2,1,18,1042,1,0.6,240,1
2,1,19,1042,1,0.6,240,1
2,1,20,1042,1,0.6,240,1
2,1,21,1042,1,0.6,240,1
2,1,22,1042,1,0.6,240,1
