"recno","date","day","x3_1","x3_2","x3_2drm","x3_3"
1,1,14,3,600,600,1
1,1,19,4,800,800,1
1,1,20,4,700,700,1
1,1,21,4,650,650,1
1,1,26,4,800,800,1
1,1,27,4,600,600,1
1,1,28,3,1000,1000,1
1,1,29,3,900,900,1
2,1,28,1,50000,50000,1
5,1,16,2,1800,1800,1
5,1,22,3,500,500,1
5,1,24,3,500,500,1
5,1,27,3,500,500,1
6,1,21,3,300,300,1
6,1,28,2,4500,4500,1
7,1,12,3,500,500,1
7,1,13,3,500,500,1
7,1,14,3,500,500,1
7,1,15,3,500,500,1
7,1,16,3,500,500,1
7,1,17,3,500,500,1
7,1,19,3,500,500,1
7,1,20,3,500,500,1
7,1,21,3,500,500,1
7,1,22,3,500,500,1
7,1,23,3,500,500,1
7,1,24,3,500,500,1
7,1,26,3,500,500,1
7,1,27,3,500,500,1
7,1,28,1,8000,8000,1
7,1,29,3,500,500,1
7,1,30,3,500,500,1
7,1,31,3,500,500,1
18,1,12,3,1500,1500,1
18,1,12,4,1500,1500,1
18,1,14,3,400,400,1
18,1,20,3,350,350,1
18,1,22,3,600,600,1
18,1,26,3,300,300,1
18,1,28,3,350,350,1
18,1,29,3,250,250,1
19,1,19,3,500,500,1
19,1,21,3,600,600,1
19,1,22,3,500,500,1
19,1,25,3,500,500,1
19,1,29,3,500,500,1
19,1,30,3,600,600,1
28,1,28,1,30000,30000,1
36,1,12,3,200,200,1
36,1,13,3,200,200,1
36,1,14,3,200,200,1
36,1,15,3,200,200,1
36,1,16,3,200,200,1
36,1,17,3,200,200,1
36,1,18,3,200,200,1
36,1,19,3,200,200,1
36,1,22,3,200,200,1
36,1,23,3,200,200,1
36,1,24,3,200,200,1
36,1,25,3,200,200,1
36,1,27,3,200,200,1
36,1,28,3,200,200,1
36,1,29,3,200,200,1
36,1,30,3,200,200,1
36,1,31,3,200,200,1
40,1,19,3,800,800,1
40,1,20,3,16000,16000,1
40,1,24,3,14500,14500,1
40,1,27,3,15000,15000,1
40,1,29,3,800,800,1
40,1,30,3,14500,14500,1
42,1,19,3,1500,1500,1
42,1,20,3,3800,3800,1
42,1,21,3,17500,17500,1
42,1,22,3,11500,11500,1
42,1,23,3,600,600,1
42,1,26,3,17500,17500,1
42,1,27,3,18000,18000,1
42,1,28,2,18000,18000,1
42,1,29,3,12000,12000,1
44,1,12,3,1200,1200,1
44,1,13,4,200,200,1
44,1,14,3,1200,1200,1
44,1,15,4,200,200,1
44,1,16,4,200,200,1
44,1,19,4,200,200,1
44,1,20,4,200,200,1
44,1,21,4,200,200,1
44,1,22,4,200,200,1
44,1,23,4,200,200,1
44,1,26,4,200,200,1
44,1,27,4,200,200,1
44,1,29,4,200,200,1
44,1,30,4,200,200,1
51,1,12,3,1500,1500,1
51,1,13,3,1500,1500,1
51,1,14,3,1500,1500,1
51,1,15,3,1500,1500,1
51,1,16,3,1500,1500,1
51,1,19,3,1500,1500,1
51,1,20,3,1500,1500,1
51,1,21,3,1500,1500,1
51,1,22,3,1500,1500,1
51,1,23,3,1500,1500,1
51,1,26,3,1500,1500,1
51,1,27,3,1500,1500,1
51,1,28,3,1500,1500,1
51,1,29,3,1500,1500,1
51,1,30,3,1500,1500,1
52,1,10,2,9000,9000,1
52,1,12,3,3000,3000,1
52,1,13,3,3000,3000,1
52,1,14,3,3000,3000,1
52,1,15,3,3000,3000,1
52,1,16,3,3000,3000,1
52,1,17,3,3000,3000,1
52,1,18,3,3000,3000,1
52,1,19,3,3000,3000,1
52,1,20,3,3000,3000,1
52,1,21,3,3000,3000,1
52,1,22,3,3000,3000,1
52,1,23,3,3000,3000,1
52,1,24,3,3000,3000,1
52,1,25,3,3000,3000,1
52,1,26,3,3000,3000,1
52,1,27,3,3000,3000,1
52,1,28,3,3000,3000,1
52,1,29,3,3000,3000,1
52,1,30,3,3000,3000,1
52,1,31,3,3000,3000,1
54,1,12,3,200,200,1
54,1,13,3,200,200,1
54,1,14,3,200,200,1
54,1,15,3,200,200,1
54,1,16,3,200,200,1
54,1,19,3,200,200,1
54,1,20,3,200,200,1
54,1,21,3,200,200,1
54,1,22,3,200,200,1
54,1,23,3,200,200,1
54,1,26,3,200,200,1
54,1,27,3,200,200,1
54,1,28,3,200,200,1
54,1,29,3,200,200,1
54,1,30,3,200,200,1
55,1,22,4,2000,2000,1
55,1,29,4,2000,2000,1
56,1,14,2,3000,3000,1
56,1,21,2,2500,2500,1
56,1,28,2,2500,2500,1
57,1,20,2,10000,10000,1
57,1,20,3,2000,2000,1
57,1,27,2,10000,10000,1
57,1,27,3,2000,2000,1
62,1,20,2,25000,25000,1
62,1,20,3,400,400,1
62,1,27,2,25000,25000,1
62,1,27,3,1400,1400,1
62,1,31,2,5000,5000,1
62,1,31,3,600,600,1
66,1,16,3,1000,1000,1
66,1,16,4,500,500,1
66,1,17,4,500,500,1
66,1,18,3,1000,1000,1
66,1,18,4,500,500,1
66,1,19,4,500,500,1
66,1,20,3,1000,1000,1
66,1,20,4,500,500,1
66,1,22,3,1000,1000,1
66,1,22,4,500,500,1
66,1,25,3,1000,1000,1
66,1,26,3,1000,1000,1
66,1,28,3,1000,1000,1
66,1,28,4,500,500,1
66,1,29,3,1000,1000,1
66,1,29,4,500,500,1
81,1,12,3,200,200,1
81,1,13,3,200,200,1
81,1,14,3,200,200,1
81,1,16,3,200,200,1
81,1,19,3,200,200,1
81,1,20,3,200,200,1
81,1,21,3,200,200,1
81,1,22,3,200,200,1
81,1,23,3,200,200,1
81,1,26,3,200,200,1
81,1,27,3,200,200,1
81,1,29,3,200,200,1
81,1,30,3,200,200,1
82,1,1,3,1200,1200,1
82,1,12,3,350,350,1
82,1,13,3,300,300,1
82,1,14,3,300,300,1
82,1,15,3,500,500,1
82,1,16,3,350,350,1
82,1,17,3,350,350,1
82,1,18,3,450,450,1
82,1,19,3,400,400,1
82,1,20,3,400,400,1
82,1,21,3,550,550,1
82,1,23,3,600,600,1
82,1,24,3,500,500,1
82,1,25,3,500,500,1
82,1,26,3,500,500,1
82,1,28,3,450,450,1
82,1,29,3,700,700,1
82,1,30,3,400,400,1
82,1,31,3,400,400,1
86,1,12,3,600,600,1
86,1,13,3,300,300,1
86,1,14,3,400,400,1
86,1,15,3,560,560,1
86,1,16,3,400,400,1
86,1,17,3,400,400,1
86,1,21,3,400,400,1
86,1,22,3,600,600,1
86,1,23,3,450,450,1
86,1,25,3,400,400,1
86,1,28,3,400,400,1
86,1,29,3,250,250,1
92,1,12,4,500,500,1
92,1,15,4,500,500,1
92,1,16,4,500,500,1
92,1,17,4,500,500,1
92,1,18,4,500,500,1
92,1,19,4,500,500,1
92,1,20,4,500,500,1
92,1,21,4,500,500,1
92,1,22,4,500,500,1
92,1,23,4,500,500,1
92,1,24,4,500,500,1
92,1,25,4,500,500,1
92,1,26,4,500,500,1
92,1,27,4,500,500,1
92,1,28,4,500,500,1
92,1,29,4,500,500,1
92,1,30,4,500,500,1
92,1,31,4,500,500,1
95,1,12,3,1000,1000,1
95,1,13,3,1000,1000,1
95,1,14,3,1000,1000,1
95,1,15,3,1000,1000,1
95,1,16,3,1000,1000,1
95,1,19,3,1000,1000,1
95,1,21,3,1000,1000,1
95,1,22,3,1000,1000,1
95,1,23,3,1000,1000,1
95,1,26,3,1000,1000,1
95,1,27,3,1000,1000,1
95,1,28,3,1000,1000,1
95,1,29,3,1000,1000,1
95,1,30,3,1000,1000,1
97,1,12,3,2000,2000,1
97,1,13,3,2000,2000,1
97,1,14,3,2000,2000,1
97,1,15,3,2000,2000,1
97,1,16,3,2000,2000,1
97,1,19,3,1500,1500,1
97,1,20,3,2000,2000,1
97,1,21,3,2000,2000,1
97,1,22,3,2000,2000,1
97,1,23,3,2000,2000,1
97,1,26,3,2000,2000,1
97,1,27,3,2000,2000,1
97,1,28,3,2000,2000,1
97,1,29,3,2000,2000,1
97,1,30,3,2000,2000,1
99,1,12,3,300,300,1
99,1,13,3,200,200,1
99,1,14,3,200,200,1
99,1,15,3,200,200,1
99,1,16,3,200,200,1
99,1,19,3,200,200,1
99,1,20,3,200,200,1
99,1,21,3,200,200,1
99,1,22,3,200,200,1
99,1,23,3,200,200,1
99,1,26,3,200,200,1
99,1,27,3,200,200,1
99,1,28,3,200,200,1
99,1,29,3,200,200,1
99,1,30,3,200,200,1
113,1,19,3,200,200,1
113,1,20,3,200,200,1
113,1,21,3,200,200,1
113,1,22,3,200,200,1
113,1,23,3,200,200,1
113,1,26,3,200,200,1
113,1,27,3,200,200,1
113,1,29,3,300,300,1
113,1,30,3,300,300,1
154,1,15,3,200,200,1
154,1,19,3,200,200,1
154,1,20,3,200,200,1
154,1,22,3,150,150,1
154,1,24,3,200,200,1
154,1,26,3,150,150,1
154,1,27,3,200,200,1
154,1,28,3,200,200,1
156,1,14,3,300,300,1
156,1,15,3,400,400,1
156,1,16,3,300,300,1
156,1,19,4,300,300,1
156,1,20,3,400,400,1
156,1,21,3,300,300,1
156,1,23,3,200,200,1
156,1,27,3,300,300,1
156,1,28,3,200,200,1
156,1,29,3,300,300,1
156,1,30,3,400,400,1
156,1,31,3,300,300,1
157,1,12,3,200,200,1
157,1,12,4,400,400,1
157,1,12,5,300,300,1
157,1,13,4,200,200,1
157,1,13,5,300,300,1
157,1,14,4,200,200,1
157,1,14,5,800,800,1
157,1,15,4,300,300,1
157,1,16,3,1200,1200,1
157,1,20,4,700,700,1
157,1,20,5,300,300,1
157,1,21,4,500,500,1
157,1,26,4,500,500,1
157,1,26,5,200,200,1
157,1,29,3,200,200,1
157,1,29,4,700,700,1
161,1,12,3,200,200,1
161,1,13,3,150,150,1
161,1,14,3,200,200,1
161,1,15,3,200,200,1
161,1,16,3,200,200,1
161,1,19,3,100,100,1
161,1,20,3,200,200,1
161,1,21,3,150,150,1
161,1,22,3,200,200,1
161,1,29,3,200,200,1
161,1,30,3,200,200,1
161,1,31,3,150,150,1
162,1,12,3,100,100,1
162,1,16,3,500,500,1
162,1,18,3,300,300,1
164,1,19,2,5000,5000,1
164,1,21,2,5000,5000,1
164,1,23,2,5000,5000,1
164,1,31,2,5000,5000,1
202,1,13,3,500,500,1
202,1,14,3,400,400,1
202,1,15,3,400,400,1
202,1,16,3,200,200,1
202,1,19,3,1000,1000,1
202,1,20,3,200,200,1
202,1,21,3,200,200,1
202,1,22,3,500,500,1
202,1,23,3,600,600,1
202,1,26,3,400,400,1
202,1,27,3,400,400,1
