"recno","date","day","x4_1","x4_2","x4_3","x4_4","x4_5","x4_3drm"
1,1,15,4425,,20000,1,6,20000
1,1,12,5151,,18000,1,6,18000
1,1,23,4221,,16500,1,5,16500
1,1,1,2072,30,9000,1,1,9000
1,1,23,4211,,11000,1,5,11000
1,1,12,2991,,5000,1,5,5000
1,1,1,3001,,5000,1,5,5000
1,1,22,3001,,5000,1,5,5000
1,1,29,3001,,5000,1,5,5000
1,1,20,4632,,4500,1,6,4500
1,1,23,4623,,4000,1,5,4000
1,1,23,4622,,3500,1,5,3500
1,1,23,4151,,1200,1,5,1200
1,1,23,4613,,1100,1,5,1100
1,1,19,3509,1,850,1,1,850
1,1,19,2796,1,800,1,1,800
1,1,18,4183,,800,1,6,800
1,1,1,2785,0.5,510,1,1,510
1,1,28,2785,1,490,1,1,490
1,1,1,3512,3,420,1,1,420
1,1,18,4161,,400,1,6,400
1,1,19,3527,1,250,1,1,250
1,1,1,2790,0.3,240,1,1,240
1,1,28,3512,1,220,1,1,220
1,1,28,3501,1,180,1,1,180
1,1,28,3512,2,180,1,1,180
1,1,19,2810,1,100,1,1,100
2,1,20,4211,,17000,1,5,17000
2,1,19,2149,1,11500,1,1,11500
2,1,27,3522,1,8500,1,6,8500
2,1,20,4221,,8050,1,5,8050
2,1,29,2503,2.5,5200,1,1,5200
2,1,27,3524,1,4500,1,6,4500
2,1,29,4011,,4000,1,6,4000
2,1,20,4623,,4000,1,5,4000
2,1,24,2157,2,1800,1,1,1800
2,1,15,2203,1,1500,1,1,1500
2,1,17,4622,,1500,1,6,1500
2,1,28,5011,,1500,1,6,1500
2,1,27,3526,1,1100,1,6,1100
2,1,19,2196,2,1000,1,1,1000
2,1,22,4021,,1000,1,6,1000
2,1,20,4151,,1000,1,5,1000
2,1,27,3505,1,900,1,6,900
2,1,28,4481,,800,1,6,800
2,1,15,2787,1,650,1,1,650
2,1,28,4183,,600,1,6,600
2,1,24,3501,2,460,1,1,460
2,1,24,3512,3,460,1,1,460
2,1,28,4161,,400,1,6,400
2,1,12,4481,,400,1,6,400
2,1,19,4481,,400,1,6,400
2,1,23,4481,,400,1,6,400
2,1,30,4481,,400,1,6,400
2,1,15,2789,1,320,1,1,320
2,1,24,2785,1,260,1,1,260
2,1,15,2790,1,240,1,1,240
3,1,26,4211,,17800,1,5,17800
3,1,13,2824,,11500,1,6,11500
3,1,26,4613,,1100,1,5,1100
3,1,1,4481,,800,1,6,800
3,1,26,4183,,600,1,6,600
3,1,21,3503,1,480,1,1,480
3,1,26,4151,,400,1,5,400
3,1,21,2789,1,260,1,1,260
3,1,25,2785,1,220,1,1,220
3,1,1,3512,2,200,1,1,200
3,1,26,4161,,200,1,6,200
3,1,17,4481,,200,1,6,200
3,1,25,2790,1,180,1,1,180
3,1,25,3508,1,180,1,1,180
3,1,1,3512,1,180,1,1,180
3,1,1,3501,1,130,1,1,130
3,1,21,2810,1,100,1,1,100
3,1,13,2855,1,100,1,6,100
3,1,25,3512,1,100,1,1,100
4,1,13,4041,,45000,1,6,45000
4,1,17,4211,,16800,1,5,16800
4,1,1,2072,30,9000,1,1,9000
4,1,24,2262,1,6000,1,1,6000
4,1,24,2179,1,5800,1,1,5800
4,1,17,4622,,3500,1,5,3500
4,1,30,4622,,1500,1,6,1500
4,1,17,4151,,1300,1,5,1300
4,1,2,4481,,1000,1,6,1000
4,1,30,5011,,1000,1,6,1000
4,1,28,3503,1,850,1,1,850
4,1,2,3526,1,700,1,1,700
4,1,16,2831,,600,1,6,600
4,1,20,4481,,600,1,6,600
4,1,24,4481,,600,1,6,600
4,1,28,4481,,600,1,6,600
4,1,18,2785,2,520,1,1,520
4,1,1,3512,3,460,1,1,460
4,1,30,2133,2,400,1,1,400
4,1,13,4161,,400,1,6,400
4,1,2,3506,1,280,1,1,280
4,1,1,2789,1,260,1,1,260
4,1,1,3501,2,260,1,1,260
4,1,28,3511,1,250,1,1,250
4,1,1,2790,1,240,1,1,240
4,1,28,3512,2,240,1,1,240
4,1,30,3512,1,210,1,1,210
4,1,2,3529,1,100,1,1,100
5,1,1,2071,30,12000,1,1,12000
5,1,19,4221,,9000,1,5,9000
5,1,17,3522,1,6500,1,6,6500
5,1,19,2991,,6000,1,6,6000
5,1,27,2991,,6000,1,6,6000
5,1,1,3001,,6000,1,5,6000
5,1,19,4211,,9000,1,5,9000
5,1,17,3514,1,1350,1,6,1350
5,1,3,3509,1,1200,1,1,1200
5,1,2,3503,1,1150,1,1,1150
5,1,17,3503,1,1100,1,6,1100
5,1,28,5011,,1000,1,6,1000
5,1,17,3526,1,950,1,6,950
5,1,2,3506,1,650,1,1,650
5,1,25,2784,1,550,1,1,550
5,1,1,2785,1,550,1,1,550
5,1,2,3505,1,420,1,1,420
5,1,22,3512,1,400,1,1,400
5,1,1,2790,1,320,1,1,320
5,1,2,3491,2,320,1,1,320
5,1,22,3511,1,320,1,1,320
5,1,22,3512,2,280,1,1,280
5,1,25,3527,1,280,1,1,280
5,1,2,3501,1,240,1,1,240
5,1,25,3508,1,200,1,1,200
5,1,1,2810,1,100,1,1,100
6,1,20,4221,,18000,1,5,18000
6,1,20,4211,,11500,1,5,11500
6,1,27,2149,1,6500,1,4,6500
6,1,15,4632,,4500,1,6,4500
6,1,20,4623,,4000,1,5,4000
6,1,27,2154,1,2800,1,4,2800
6,1,20,4151,,2000,1,5,2000
6,1,27,4622,,2000,1,1,2000
6,1,24,4622,,1500,1,6,1500
6,1,21,2784,2,1100,1,1,1100
6,1,20,4613,,1100,1,5,1100
6,1,12,2157,2,800,1,1,800
6,1,17,4183,,800,1,6,800
6,1,12,3503,1,720,1,1,720
6,1,24,4022,,700,1,6,700
6,1,17,4161,,600,1,6,600
6,1,27,4481,,600,1,6,600
6,1,28,4481,,600,1,6,600
6,1,21,3501,3,520,1,1,520
6,1,26,2223,10,500,1,1,500
6,1,12,3523,1,460,1,1,460
6,1,21,3512,3,450,1,1,450
6,1,16,4481,,400,1,6,400
6,1,12,3506,1,310,1,1,310
6,1,26,2790,1,260,1,1,260
6,1,26,3512,1,260,1,1,260
7,1,23,4211,,11150,1,5,11150
7,1,23,4221,,6000,1,5,6000
7,1,23,4623,,3500,1,5,3500
7,1,15,2826,,2500,1,6,2500
7,1,27,5024,,2000,1,6,2000
7,1,28,5011,,1500,1,6,1500
7,1,17,3503,1,1250,1,1,1250
7,1,17,3526,1,1100,1,1,1100
7,1,28,4491,,1000,1,6,1000
7,1,21,2157,1,800,1,1,800
7,1,28,2785,1,510,1,1,510
7,1,23,4151,,400,1,5,400
7,1,21,3511,1,380,1,1,380
7,1,28,3512,2,300,1,1,300
7,1,14,2790,1,290,1,1,290
7,1,14,2789,1,260,1,1,260
7,1,17,3501,1,260,1,1,260
7,1,21,3512,1,240,1,1,240
7,1,14,2773,1,200,1,1,200
7,1,21,3529,1,200,1,1,200
7,1,14,2810,1,120,1,1,120
8,1,21,4211,,15500,1,5,15500
8,1,3,2072,30,9000,1,1,9000
8,1,21,4221,,8750,1,5,8750
8,1,19,2148,1,8500,1,1,8500
8,1,30,2154,1,5500,1,1,5500
8,1,17,4623,,4000,1,5,4000
