"recno","date","day","x5_1","x5_2","x5_3","x5_4"
32,1,18,4632,,4500,1
32,1,18,4161,,800,1
33,1,1,2831,10,10000,5
38,1,30,2831,,2000,1
39,1,18,2790,1,350,1
39,1,18,2786,1,500,1
61,1,17,3503,1,1200,1
66,1,15,4483,,400,5
76,1,25,5011,,2000,2
79,1,8,4622,,1000,1
79,1,31,3341,,3000,1
79,1,31,2687,1,3500,1
79,1,31,2155,1,10000,1
90,1,21,2831,,2800,4
90,1,21,2824,,3200,4
93,1,20,2824,,14000,1
94,1,29,3510,10,1700,3
104,1,17,2831,,7000,1
104,1,17,2824,,8000,1
109,1,30,2831,,3000,4
128,1,1,2195,2,600,1
128,1,1,2195,1,3000,1
128,1,1,2269,1,4500,1
139,1,1,3281,1,2000,1
139,1,1,2187,1,3500,1
139,1,1,2180,1,5000,1
142,1,1,2208,1,1000,1
142,1,1,2203,1,1500,1
142,1,1,2188,1,3600,1
142,1,2,3290,1,2000,1
155,1,20,2133,5,1000,1
155,1,20,2252,1,1800,1
155,1,20,2236,1,2500,1
160,1,25,2133,2,800,1
160,1,25,2128,1,8000,1
179,1,14,2160,1,5500,1
196,1,18,3501,2,500,1
196,1,18,2785,1,1100,1
196,1,19,3512,1,150,1
196,1,21,2789,1,230,1
196,1,21,3512,1,250,1
196,1,21,2810,1,300,1
196,1,25,2790,1,380,1
255,1,1,3510,15,3000,1
255,1,1,2157,2,600,1
255,1,1,2252,1,2000,1
255,1,1,2155,1,4000,1
255,1,22,3510,15,3000,1
258,1,31,2151,1,50000,1
261,1,14,3290,1,1000,1
261,1,14,3290,1,2500,3
379,1,15,2157,2,2000,1
381,1,11,3341,6,5000,1
381,1,21,3553,1,12000,1
397,1,13,2187,1,2500,1
397,1,13,2179,1,4000,1
407,1,23,3521,1,6000,1
415,1,12,4482,2,4000,3
442,2,17,2687,1,500,1
442,2,17,2252,1,1000,1
442,2,24,2790,1,600,1
442,2,24,2785,1,1000,1
443,2,15,2773,4,800,1
443,2,15,3503,1,950,1
447,2,24,4211,,12000,1
447,2,24,4613,,1100,1
449,2,17,3271,1,2500,3
452,2,15,2128,1,6000,1
469,2,15,2180,1,7000,1
488,2,16,3491,4,5000,1
488,2,16,3526,4,8000,1
488,2,16,3506,2,5000,1
488,2,16,2785,1,10000,1
493,2,17,3503,1,1800,1
504,2,11,2831,,156000,1
512,2,13,4641,,15000,1
516,2,13,2831,,6000,4
521,2,21,2233,1,8000,1
525,2,17,4501,,200000,1
529,2,17,3526,4,9500,1
530,2,16,2821,,7000,1
535,2,11,4622,,2000,1
535,2,11,4632,,4500,1
541,2,25,2831,,5000,1
547,2,7,3512,2,200,1
547,2,7,3501,1,200,1
547,2,7,2784,1,500,1
547,2,11,4991,,1000,1
547,2,22,2831,,3000,1
548,2,17,2831,,3000,4
548,2,17,2824,,1000,4
567,2,11,2786,1,650,1
586,2,20,2252,1,2000,1
586,2,20,2214,1,5000,1
587,2,20,2212,1,1500,1
587,2,20,2155,1,3000,1
603,2,3,2826,,11700,5
603,2,3,2826,,15000,5
621,2,24,2831,,4000,5
643,2,19,2831,2,300,2
687,2,13,2831,10,2000,1
689,2,7,2674,6,3500,1
689,2,13,3461,12,600,1
689,2,13,2246,1,12000,1
693,2,10,3290,1,5000,1
693,2,10,2248,1,11000,1
814,2,1,2816,1,500,3
814,2,5,3290,1,2700,1
814,2,12,2684,1,4500,1
816,2,8,2142,1,16000,1
818,2,1,3527,1,350,1
821,2,20,2186,1,8000,1
847,2,12,4622,,2000,1
847,2,22,4622,,2500,1
849,2,18,3521,1,5000,1
850,2,7,4632,,5000,1
850,2,11,2154,1,7000,1
850,2,15,4211,,13000,1
851,2,2,4482,,100,3
851,2,3,4482,,100,3
851,2,4,4482,,100,3
851,2,5,4482,,100,3
851,2,6,4482,,100,3
851,2,9,4482,,100,3
851,2,10,4482,,100,3
851,2,11,4482,,100,3
851,2,12,4482,,100,3
851,2,13,4482,,100,3
851,2,16,4482,,100,3
851,2,17,4482,,100,3
851,2,18,4482,,100,3
851,2,19,4482,,100,3
851,2,20,4482,,100,3
851,2,23,4482,,100,3
851,2,24,4482,,100,3
851,2,25,4482,,100,3
851,2,26,4482,,100,3
851,2,27,4482,,100,3
853,2,2,4482,,100,3
853,2,3,4482,,100,3
853,2,4,4482,,100,3
