"recno","y1_1","y1_2","y1_3","y1_3drm","y1_4","y1_5"
1,1,1,150000,150000,1,3
1,2,1,100000,100000,1,3
2,1,1,70000,70000,1,3
2,1,18,50000,50000,1,3
3,1,3,42500,42500,1,3
3,1,19,10000,74100,2,3
4,1,1,80000,80000,1,3
4,2,1,100000,100000,1,3
5,1,1,180000,180000,1,3
5,2,1,55000,55000,1,3
6,1,1,310000,310000,1,3
6,1,19,20000,148200,2,3
7,1,1,370000,370000,1,3
8,1,1,200000,200000,1,3
9,1,1,65000,65000,1,3
9,3,19,20000,148200,2,3
10,1,3,38000,38000,1,3
11,1,3,39000,39000,1,3
11,2,3,35000,35000,1,3
12,1,3,24000,24000,1,3
12,2,1,180000,180000,1,3
12,2,21,50000,16666.6666666667,1,7
13,1,1,120000,120000,1,3
13,3,1,140000,140000,1,3
13,4,2,170000,170000,1,3
13,7,1,60000,60000,1,3
14,1,3,36000,36000,1,3
15,1,3,43000,43000,1,3
15,2,3,39000,39000,1,3
15,3,1,100000,100000,1,3
16,1,3,35000,35000,1,3
16,3,1,90000,90000,1,3
17,1,3,41000,41000,1,3
18,1,1,150000,150000,1,3
18,2,1,80000,80000,1,3
18,3,1,120000,120000,1,3
18,4,1,70000,70000,1,3
18,5,3,28000,28000,1,3
19,1,1,80000,80000,1,3
19,1,3,52000,52000,1,3
20,2,1,120000,120000,1,3
20,3,1,120000,120000,1,3
21,1,1,60000,60000,1,3
21,1,3,58000,58000,1,3
21,2,3,30000,30000,1,3
21,3,1,80000,80000,1,3
21,4,1,65000,65000,1,3
22,1,3,36000,36000,1,3
22,2,1,150000,150000,1,3
22,3,1,80000,80000,1,3
23,1,1,40000,40000,1,3
23,2,1,45000,45000,1,3
23,3,1,45000,45000,1,3
23,5,3,16000,16000,1,3
24,1,3,36000,36000,1,3
25,1,1,150000,150000,1,3
25,2,1,80000,80000,1,3
26,1,1,170000,170000,1,3
26,1,3,54000,54000,1,3
27,1,19,450,71359.5,3,7
28,1,21,300000,100000,1,7
28,4,1,40000,40000,1,3
29,1,3,40000,40000,1,3
29,2,1,90000,90000,1,3
29,3,1,100000,100000,1,3
29,5,1,42000,42000,1,3
29,7,1,60000,20000,1,7
30,1,1,400000,400000,1,3
30,2,1,230000,230000,1,3
31,1,3,70000,70000,1,3
31,2,3,30000,30000,1,3
32,1,1,100000,100000,1,3
32,2,21,100000,33333.3333333333,1,7
33,1,16,80000,26666.6666666667,1,7
33,1,21,40000,13333.3333333333,1,7
33,2,1,80000,80000,1,3
33,4,1,100000,100000,1,3
33,4,2,100000,33333.3333333333,1,7
34,2,1,60000,60000,1,3
34,2,22,30000,30000,1,3
34,5,12,4650,4650,1,3
34,6,1,86000,86000,1,3
34,6,3,56000,56000,1,3
35,1,2,100000,100000,1,3
36,1,19,10000,74100,2,3
36,2,1,120000,120000,1,3
37,1,3,60000,60000,1,3
38,1,3,34000,34000,1,3
39,1,3,48000,48000,1,3
40,1,3,80000,80000,1,3
40,2,1,55000,55000,1,3
40,2,19,70000,23333.3333333333,1,7
41,1,3,51000,51000,1,3
41,2,3,36000,36000,1,3
42,1,3,49000,49000,1,3
42,2,1,250000,250000,1,3
42,4,12,6000,6000,1,3
43,1,3,44000,44000,1,3
43,2,3,42000,42000,1,3
43,3,1,85000,85000,1,3
43,4,12,6000,6000,1,3
44,2,19,70000,70000,1,3
45,1,3,47000,47000,1,3
45,2,1,140000,140000,1,3
45,3,1,89000,89000,1,3
46,1,1,100000,100000,1,3
46,2,1,65000,65000,1,3
46,3,1,90000,90000,1,3
46,4,12,5000,5000,1,3
46,5,3,30000,30000,1,3
47,1,1,150000,150000,1,3
47,2,1,200000,200000,1,3
48,1,1,500000,500000,1,3
48,2,3,24000,24000,1,3
49,1,3,50000,50000,1,3
49,2,1,320000,320000,1,3
49,3,1,320000,320000,1,3
50,1,1,200000,200000,1,3
50,3,1,150000,150000,1,3
51,1,1,50000,50000,1,3
51,2,1,60000,60000,1,3
51,5,1,90000,90000,1,3
52,1,1,350000,350000,1,3
52,2,2,250000,250000,1,3
52,3,2,300000,300000,1,3
52,4,1,450000,450000,1,3
52,5,1,300000,300000,1,3
53,1,3,52000,52000,1,3
53,2,3,35000,35000,1,3
54,1,19,200000,200000,1,3
55,2,1,100000,100000,1,3
56,1,1,150000,150000,1,3
56,1,3,40000,40000,1,3
56,5,3,70000,70000,1,3
56,7,3,70000,70000,1,3
57,1,1,350000,350000,1,3
58,1,1,100000,100000,1,3
58,2,3,27000,27000,1,3
59,1,3,36000,36000,1,3
59,2,1,200000,200000,1,3
60,1,5,28000,28000,1,3
60,2,1,150000,150000,1,3
61,1,3,27000,27000,1,3
61,1,5,17000,17000,1,3
62,1,1,150000,150000,1,3
62,1,3,55000,55000,1,3
62,2,3,37000,37000,1,3
62,3,1,180000,180000,1,3
63,1,1,260000,260000,1,3
63,2,1,400000,400000,1,3
64,2,1,85000,85000,1,3
64,2,22,100,47573,3,3
65,1,3,50000,50000,1,3
65,1,19,150,71359.5,3,3
65,2,3,35000,35000,1,3
66,1,3,50000,50000,1,3
66,3,1,70000,70000,1,3
