variable,variable_label,value,value_label
h2_2,Where does he/she live?,1,Yerevan
h2_2,Where does he/she live?,2,The other city of Armenia
h2_2,Where does he/she live?,3,village of  Armenia
h2_2,Where does he/she live?,4,Russia
h2_2,Where does he/she live?,5,other CIS
h2_2,Where does he/she live?,6,other European country
h2_2,Where does he/she live?,7,"USA, Canada"
h2_2,Where does he/she live?,8,other
h2_3,How regular you receive money or assistance?,1,monthly
h2_3,How regular you receive money or assistance?,2,quartile
h2_3,How regular you receive money or assistance?,3,annually
h2_3,How regular you receive money or assistance?,Sysmiss,
h2_5,How much did you get during the last  12 months?,1,dram
h2_5,How much did you get during the last  12 months?,2,rouble
h2_5,How much did you get during the last  12 months?,3,US$
h2_5,How much did you get during the last  12 months?,4,Euro
h2_5,How much did you get during the last  12 months?,Sysmiss,
h2_6,"If you get transferred money outside the country, than how did you get it?",1,bank
h2_6,"If you get transferred money outside the country, than how did you get it?",2,post office
h2_6,"If you get transferred money outside the country, than how did you get it?",3,other
h2_6,"If you get transferred money outside the country, than how did you get it?",Sysmiss,
h2_7,For what purpose was the received amount used?,1,for individual personal current consumption expenses(includi
h2_7,For what purpose was the received amount used?,2,for individual personal construction or purchase of real and
h2_7,For what purpose was the received amount used?,3,construction or purchase of real estate for sender
h2_7,For what purpose was the received amount used?,Sysmiss,
date,"Number of the month(1,2,....12)",1,January
date,"Number of the month(1,2,....12)",2,February
date,"Number of the month(1,2,....12)",3,March
date,"Number of the month(1,2,....12)",4,April
date,"Number of the month(1,2,....12)",5,May
date,"Number of the month(1,2,....12)",6,June
date,"Number of the month(1,2,....12)",7,July
date,"Number of the month(1,2,....12)",8,August
date,"Number of the month(1,2,....12)",9,September
date,"Number of the month(1,2,....12)",10,October
date,"Number of the month(1,2,....12)",11,November
date,"Number of the month(1,2,....12)",12,December
marz,Code of marz,1,Yerevan
marz,Code of marz,2,Aragatsotn
marz,Code of marz,3,Ararat
marz,Code of marz,4,Armavir
marz,Code of marz,5,Gegharkunik
marz,Code of marz,6,Lori
marz,Code of marz,7,Kotayk
marz,Code of marz,8,Shirak
marz,Code of marz,9,Sjunik
marz,Code of marz,10,Vayots Dzor
marz,Code of marz,11,Tavush
typev,Type of the area,1,Yerevan
typev,Type of the area,2,other urban
typev,Type of the area,3,rural
a3,Does your household have children under the state care or which attend any special educational institution?,1,Yes
a3,Does your household have children under the state care or which attend any special educational institution?,2,No
c1,Type of housing,1,private house
c1,Type of housing,2,apartment
c1,Type of housing,3,hostel
c1,Type of housing,4,"railcar/container, other temporary lodging"
c1,Type of housing,5,other
c2,Does the household own this dwelling or  it rented?,1,owned
c2,Does the household own this dwelling or  it rented?,2,state or municipality rented
c2,Does the household own this dwelling or  it rented?,3,private person rented
c2,Does the household own this dwelling or  it rented?,4,departmental rented
c2,Does the household own this dwelling or  it rented?,5,other
c3_3,"If the household rents the dwelling from by a private person, how much is will be the monthly rent (euro)",Sysmiss,
c6,Did you change your place of dwelling during the last 5 years?,1,yes
c6,Did you change your place of dwelling during the last 5 years?,2,no
c7,Why did the household move?,1,for improvement  housing conditions
c7,Why did the household move?,2,for family reasons
c7,Why did the household move?,3,because of debts
c7,Why did the household move?,4,job reasons
c7,Why did the household move?,5,because of earthquake
c7,Why did the household move?,6,refugees(if you consider yourself a refudee)
c7,Why did the household move?,7,other
c7,Why did the household move?,Sysmiss,
c8_1,Centralized water supply (as source of  water supply ),1,yes
c8_1,Centralized water supply (as source of  water supply ),2,no
c8_1,Centralized water supply (as source of  water supply ),3,"yes, but not working"
c8_2,"Hot running water (tank, Ariston, geyser)  (as source of  water supply )",1,yes
c8_2,"Hot running water (tank, Ariston, geyser)  (as source of  water supply )",2,no
c8_2,"Hot running water (tank, Ariston, geyser)  (as source of  water supply )",3,"yes, but not working"
c8_3,Centralized sanitation compaund  (as source of  water supply ),1,yes
c8_3,Centralized sanitation compaund  (as source of  water supply ),2,no
c8_3,Centralized sanitation compaund  (as source of  water supply ),3,"yes, but not working"
c8_4,Local sanitation compaund /hole with waste products/  (as source of  water supply ),1,yes
c8_4,Local sanitation compaund /hole with waste products/  (as source of  water supply ),2,no
c8_4,Local sanitation compaund /hole with waste products/  (as source of  water supply ),3,"yes, but not working"
c8_5,Outside toilet,1,yes
c8_5,Outside toilet,2,no
c8_5,Outside toilet,3,"yes, but not working"
c8_6,Centralized gas supply,1,yes
c8_6,Centralized gas supply,2,no
c8_6,Centralized gas supply,3,"yes, but not working"
c8_7,Bathtub or shower,1,yes
c8_7,Bathtub or shower,2,no
c8_7,Bathtub or shower,3,"yes, but not working"
c8_8,Kitchen,1,yes
c8_8,Kitchen,2,no
c8_8,Kitchen,3,"yes, but not working"
c8_9,Telephone,1,yes
c8_9,Telephone,2,no
c8_9,Telephone,3,"yes, but not working"
c8_11,Radioreceiver,1,yes
c8_11,Radioreceiver,2,no
c8_11,Radioreceiver,3,"yes, but not working"
c8_12,Electricity,1,yes
c8_12,Electricity,2,no
c8_12,Electricity,3,"yes, but not working"
c8_10,Mobile phone,1,yes
c8_10,Mobile phone,2,no
c8_10,Mobile phone,3,"yes, but not working"
c8_13,Computer,1,yes
c8_13,Computer,2,no
c8_13,Computer,3,"yes, but not working"
c8_14,Internet,1,yes
c8_14,Internet,2,no
c8_14,Internet,3,"yes, but not working"
c9,What  sources  of  water do you use?,1,centralized water supply
c9,What  sources  of  water do you use?,2,"spring water, wells"
c9,What  sources  of  water do you use?,3,own system
c9,What  sources  of  water do you use?,4,"river, lake"
c9,What  sources  of  water do you use?,5,delivered (imported) water
c9,What  sources  of  water do you use?,6,bought water
c9,What  sources  of  water do you use?,7,rain water
c9,What  sources  of  water do you use?,8,other
c10,Where is your water tap located ?,1,indoor
c10,Where is your water tap located ?,2,in the yard
c10,Where is your water tap located ?,3,in  the street
c10,Where is your water tap located ?,Sysmiss,
c11_1,If you have centralized water delivery system how many hours a day will you  have potable water,3,
c11_1,If you have centralized water delivery system how many hours a day will you  have potable water,7,
c11_1,If you have centralized water delivery system how many hours a day will you  have potable water,8,
c11_1,If you have centralized water delivery system how many hours a day will you  have potable water,10,
c11_1,If you have centralized water delivery system how many hours a day will you  have potable water,11,
c11_1,If you have centralized water delivery system how many hours a day will you  have potable water,12,
c11_1,If you have centralized water delivery system how many hours a day will you  have potable water,14,
c11_1,If you have centralized water delivery system how many hours a day will you  have potable water,15,
c11_1,If you have centralized water delivery system how many hours a day will you  have potable water,16,
c11_1,If you have centralized water delivery system how many hours a day will you  have potable water,18,
c11_1,If you have centralized water delivery system how many hours a day will you  have potable water,20,
c11_1,If you have centralized water delivery system how many hours a day will you  have potable water,21,
c11_1,If you have centralized water delivery system how many hours a day will you  have potable water,22,
c11_1,If you have centralized water delivery system how many hours a day will you  have potable water,23,
c11_1,If you have centralized water delivery system how many hours a day will you  have potable water,24,
c11_1,If you have centralized water delivery system how many hours a day will you  have potable water,25,
c11_1,If you have centralized water delivery system how many hours a day will you  have potable water,26,
c11_1,If you have centralized water delivery system how many hours a day will you  have potable water,27,
c11_1,If you have centralized water delivery system how many hours a day will you  have potable water,28,
c11_1,If you have centralized water delivery system how many hours a day will you  have potable water,29,
c11_1,If you have centralized water delivery system how many hours a day will you  have potable water,30,
c11_1,If you have centralized water delivery system how many hours a day will you  have potable water,31,
c11_1,If you have centralized water delivery system how many hours a day will you  have potable water,Sysmiss,
c12_1,What main type of energy options  do you use to heat your house,1,Central heating
c12_1,What main type of energy options  do you use to heat your house,2,Electricity
c12_1,What main type of energy options  do you use to heat your house,3,Natural gas
c12_1,What main type of energy options  do you use to heat your house,4,Liquefiedgas
c12_1,What main type of energy options  do you use to heat your house,5,Oil and diesel
c12_1,What main type of energy options  do you use to heat your house,6,Wood
c12_1,What main type of energy options  do you use to heat your house,9,Other
c12_2,What supplementary type of energy options  do you use to heat your house,1,Central heating
c12_2,What supplementary type of energy options  do you use to heat your house,2,Electricity
c12_2,What supplementary type of energy options  do you use to heat your house,3,Natural gas
c12_2,What supplementary type of energy options  do you use to heat your house,4,Liquefiedgas
c12_2,What supplementary type of energy options  do you use to heat your house,5,Oil and diesel
c12_2,What supplementary type of energy options  do you use to heat your house,6,Wood
c12_2,What supplementary type of energy options  do you use to heat your house,9,Other
c12_2,What supplementary type of energy options  do you use to heat your house,Sysmiss,
c13_1,What equipment did you mostly use to heat your house (Electric stove),1,
c13_1,What equipment did you mostly use to heat your house (Electric stove),Sysmiss,
c13_2,What equipment did you mostly use to heat your house (Electric heater (oil battery)),2,
c13_2,What equipment did you mostly use to heat your house (Electric heater (oil battery)),Sysmiss,
c13_3,What equipment did you mostly use to heat your house (Gas stove (kitchen)),3,
c13_3,What equipment did you mostly use to heat your house (Gas stove (kitchen)),Sysmiss,
c13_4,What equipment did you mostly use to heat your house (Self-made heater),4,
c13_4,What equipment did you mostly use to heat your house (Self-made heater),Sysmiss,
c13_5,"What equipment did you mostly use to heat your house (Manufactured heater (Iranian, European, other))",5,
c13_5,"What equipment did you mostly use to heat your house (Manufactured heater (Iranian, European, other))",Sysmiss,
c13_6,"What equipment did you mostly use to heat your house (Local-individual boiler (BAXI, and the like))",6,
c13_6,"What equipment did you mostly use to heat your house (Local-individual boiler (BAXI, and the like))",Sysmiss,
c13_7,What equipment did you mostly use to heat your house (Local-collective boiler for the block),7,
c13_7,What equipment did you mostly use to heat your house (Local-collective boiler for the block),Sysmiss,
c13_8,What equipment did you mostly use to heat your house (Centralized heating),8,
c13_8,What equipment did you mostly use to heat your house (Centralized heating),Sysmiss,
c13_9,"What equipment did you mostly use to heat your house (Other, specify)",9,
c13_9,"What equipment did you mostly use to heat your house (Other, specify)",Sysmiss,
c15,How does the household get rid of garbage?,1,rubbish evacuation system
c15,How does the household get rid of garbage?,2,1. collected by a dust-cart
c15,How does the household get rid of garbage?,3,dumped by household members
c15,How does the household get rid of garbage?,4,burned by household members
c15,How does the household get rid of garbage?,5,buried by household members
c15,How does the household get rid of garbage?,6,other
c16_1,Not enough floor space (as complaint about housing or environment),1,
c16_1,Not enough floor space (as complaint about housing or environment),2,
c16_2,Noise from neighbors or from outside  (as complaint about housing or environment),1,
c16_2,Noise from neighbors or from outside  (as complaint about housing or environment),2,
c16_3,Lack of light  (as complaint about housing or environment),1,
c16_3,Lack of light  (as complaint about housing or environment),2,
c16_4,Lack of heating  (as complaint about housing or environment),1,
c16_4,Lack of heating  (as complaint about housing or environment),2,
c16_4,Lack of heating  (as complaint about housing or environment),3,
c16_5,Humidity  (as complaint about housing or environment),1,
c16_5,Humidity  (as complaint about housing or environment),2,
c16_5,Humidity  (as complaint about housing or environment),3,
c16_6,Leaking roof  (as complaint about housing or environment),1,
c16_6,Leaking roof  (as complaint about housing or environment),2,
c16_6,Leaking roof  (as complaint about housing or environment),3,
c16_7,Dilapidated  walls and floor  (as complaint about housing or environment),1,
c16_7,Dilapidated  walls and floor  (as complaint about housing or environment),2,
c16_7,Dilapidated  walls and floor  (as complaint about housing or environment),3,
c16_8,Dilapidated window frames and doors  (as complaint about housing or environment),1,
c16_8,Dilapidated window frames and doors  (as complaint about housing or environment),2,
c16_8,Dilapidated window frames and doors  (as complaint about housing or environment),3,
c16_9,Heavy traffic  (as complaint about housing or environment),1,
c16_9,Heavy traffic  (as complaint about housing or environment),2,
c16_9,Heavy traffic  (as complaint about housing or environment),3,
c16_10,Industrial pollution  (as complaint about housing or environment),1,
c16_10,Industrial pollution  (as complaint about housing or environment),2,
c16_10,Industrial pollution  (as complaint about housing or environment),3,
c16_11,The elevator is frequently out of orde  (as complaint about housing or environment),1,
c16_11,The elevator is frequently out of orde  (as complaint about housing or environment),2,
c16_11,The elevator is frequently out of orde  (as complaint about housing or environment),3,
c16_12,Bad water supply  (as complaint about housing or environment),1,
c16_12,Bad water supply  (as complaint about housing or environment),2,
c16_12,Bad water supply  (as complaint about housing or environment),3,
c16_13,Bad garbage evacuation  (as complaint about housing or environment),1,
c16_13,Bad garbage evacuation  (as complaint about housing or environment),2,
c16_13,Bad garbage evacuation  (as complaint about housing or environment),3,
c16_14,Bad service of common use areas and yard areas in multiple dwelling  (as complaint about housing or environment),1,
c16_14,Bad service of common use areas and yard areas in multiple dwelling  (as complaint about housing or environment),2,
c16_14,Bad service of common use areas and yard areas in multiple dwelling  (as complaint about housing or environment),3,
c16_15,Lack of green areas (as complaint about housing or environment),1,
c16_15,Lack of green areas (as complaint about housing or environment),2,
c16_15,Lack of green areas (as complaint about housing or environment),3,
c16_16,Other  (as complaint about housing or environment),1,
c16_16,Other  (as complaint about housing or environment),2,
c16_16,Other  (as complaint about housing or environment),3,
c17,Estimate your dwelling conditions?,1,very good
c17,Estimate your dwelling conditions?,2,good
c17,Estimate your dwelling conditions?,3,satisfactory
c17,Estimate your dwelling conditions?,4,bad
c17,Estimate your dwelling conditions?,5,very bad
c18,"Did you renovate your dwelling (i.e., construction work, carpentry, painting)",1,"yes, during the last year"
c18,"Did you renovate your dwelling (i.e., construction work, carpentry, painting)",2,"yes,years ago"
c18,"Did you renovate your dwelling (i.e., construction work, carpentry, painting)",3,no
c20_3,"How much money did the household spend?, (Euro)",Sysmiss,
c21,Are you at the moment building a house for your permanent living?,1,
c21,Are you at the moment building a house for your permanent living?,2,
c22_3,How much money have you spent for building the new house?(Euro),Sysmiss,
c23,Do you have another dwelling owned besides the one where you live?,1,"1. Yes, I give it for rent"
c23,Do you have another dwelling owned besides the one where you live?,2,"Yes, it is used as an area for our own use"
c23,Do you have another dwelling owned besides the one where you live?,3,other
c23,Do you have another dwelling owned besides the one where you live?,4,no
c24_2,"If yes, how much money do you receive from renting per month? (US$)",Sysmiss,
c24_3,"If yes, how much money do you receive from renting per month? (Euro)",Sysmiss,
c25_1,HH member has access  to computer at home,1,
c25_1,HH member has access  to computer at home,Sysmiss,
c25_2,HH member has access to computer in other place,1,
c25_2,HH member has access to computer in other place,Sysmiss,
c25_3,HH member has access to Internet at home permanent,1,
c25_3,HH member has access to Internet at home permanent,Sysmiss,
c25_4,HH has access to Internet  at home non permanent,1,
c25_4,HH has access to Internet  at home non permanent,Sysmiss,
c25_5,HH members has access to Internet at working place,1,
c25_5,HH members has access to Internet at working place,Sysmiss,
c25_6,HH members has access to Internet at educational institution,1,
c25_6,HH members has access to Internet at educational institution,Sysmiss,
c25_7,HH members has access to Internet at others h/h,1,
c25_7,HH members has access to Internet at others h/h,Sysmiss,
c25_8,HH members has access to Internet at public centre of Internet access (free),1,
c25_8,HH members has access to Internet at public centre of Internet access (free),Sysmiss,
c25_9,HH members has access to Internet at public centre of Internet access (paid),1,
c25_9,HH members has access to Internet at public centre of Internet access (paid),Sysmiss,
c25_10,HH members has access to Internet through cellphone from any locality,1,
c25_10,HH members has access to Internet through cellphone from any locality,Sysmiss,
c25_11,HH members has access to Internet  from other place through moving set,1,
c25_11,HH members has access to Internet  from other place through moving set,Sysmiss,
c26,Does someone in  household own a car or truck?,1,Yes
c26,Does someone in  household own a car or truck?,2,No
c26,Does someone in  household own a car or truck?,Sysmiss,
c28_1_1,"Buying fertilizers, seedlings, seeds, etc. Usual Mode of Road Transportation",1,Cars
c28_1_1,"Buying fertilizers, seedlings, seeds, etc. Usual Mode of Road Transportation",2,Minivan/Buses
c28_1_1,"Buying fertilizers, seedlings, seeds, etc. Usual Mode of Road Transportation",3,Taxi
c28_1_1,"Buying fertilizers, seedlings, seeds, etc. Usual Mode of Road Transportation",4,Train
c28_1_1,"Buying fertilizers, seedlings, seeds, etc. Usual Mode of Road Transportation",5,Carts
c28_1_1,"Buying fertilizers, seedlings, seeds, etc. Usual Mode of Road Transportation",6,Horse/donkey
c28_1_1,"Buying fertilizers, seedlings, seeds, etc. Usual Mode of Road Transportation",7,Bicycle
c28_1_1,"Buying fertilizers, seedlings, seeds, etc. Usual Mode of Road Transportation",8,Walking
c28_1_1,"Buying fertilizers, seedlings, seeds, etc. Usual Mode of Road Transportation",Sysmiss,
c28_1_2,"Buying fertilizers, seedlings, seeds, etc. Days per Month",1,
c28_1_2,"Buying fertilizers, seedlings, seeds, etc. Days per Month",2,
c28_1_2,"Buying fertilizers, seedlings, seeds, etc. Days per Month",3,
c28_1_2,"Buying fertilizers, seedlings, seeds, etc. Days per Month",4,
c28_1_2,"Buying fertilizers, seedlings, seeds, etc. Days per Month",Sysmiss,
c28_2_1,Selling agricultural products or production Usual Mode of Road Transportation,1,Cars
c28_2_1,Selling agricultural products or production Usual Mode of Road Transportation,2,Minivan/Buses
c28_2_1,Selling agricultural products or production Usual Mode of Road Transportation,3,Taxi
c28_2_1,Selling agricultural products or production Usual Mode of Road Transportation,4,Train
c28_2_1,Selling agricultural products or production Usual Mode of Road Transportation,5,Carts
c28_2_1,Selling agricultural products or production Usual Mode of Road Transportation,6,Horse/donkey
c28_2_1,Selling agricultural products or production Usual Mode of Road Transportation,7,Bicycle
c28_2_1,Selling agricultural products or production Usual Mode of Road Transportation,8,Walking
c28_2_1,Selling agricultural products or production Usual Mode of Road Transportation,Sysmiss,
c28_2_2,Selling agricultural products or production Days per Month,1,
