variable,variable_label
recno,Special relation record number of hh
h2_1,ID of the household member by whom the money or good were received
h2_2,Where does he/she live?
h2_3,How regular you receive money or assistance?
h2_4,How much did you get during the last  12 monts?
h2_4drm,in dram
h2_5,How much did you get during the last  12 months?
h2_6,"If you get transferred money outside the country, than how did you get it?"
h2_7,For what purpose was the received amount used?
h2_8,What was the total value of food or goods received during the last 12 months?(food products)
h2_9,What was the total value of food or goods received during the last 12 months?(non-food products)
date,"Number of the month(1,2,....12)"
marz,Code of marz
members,Number of the members of the household
typev,Type of the area
weight,weight
year,year
a3,Does your household have children under the state care or which attend any special educational institution?
c1,Type of housing
c2,Does the household own this dwelling or  it rented?
c3_1,"If the household rents the dwelling from by a private person, how much is will be the monthly rent (AMD)"
c3_2,"If the household rents the dwelling from by a private person, how much is will be the monthly rent (US$)"
c3_3,"If the household rents the dwelling from by a private person, how much is will be the monthly rent (euro)"
c4,"How many rooms does the household occupy (exclude bathroom, toilet, kitchen)? (room)"
c5,The total space
c6,Did you change your place of dwelling during the last 5 years?
c7,Why did the household move?
c8_1,Centralized water supply (as source of  water supply )
c8_2,"Hot running water (tank, Ariston, geyser)  (as source of  water supply )"
c8_3,Centralized sanitation compaund  (as source of  water supply )
c8_4,Local sanitation compaund /hole with waste products/  (as source of  water supply )
c8_5,Outside toilet
c8_6,Centralized gas supply
c8_7,Bathtub or shower
c8_8,Kitchen
c8_9,Telephone
c8_11,Radioreceiver
c8_12,Electricity
c8_10,Mobile phone
c8_13,Computer
c8_14,Internet
c9,What  sources  of  water do you use?
c10,Where is your water tap located ?
c10_1,"If your water tap located in the street,what will be the distance"
c11_1,If you have centralized water delivery system how many hours a day will you  have potable water
c11_2,"If you have centralized water delivery system how many hours a day will you  have potable water, all day = 24 hours)"
c12_1,What main type of energy options  do you use to heat your house
c12_2,What supplementary type of energy options  do you use to heat your house
c13_1,What equipment did you mostly use to heat your house (Electric stove)
c13_2,What equipment did you mostly use to heat your house (Electric heater (oil battery))
c13_3,What equipment did you mostly use to heat your house (Gas stove (kitchen))
c13_4,What equipment did you mostly use to heat your house (Self-made heater)
c13_5,"What equipment did you mostly use to heat your house (Manufactured heater (Iranian, European, other))"
c13_6,"What equipment did you mostly use to heat your house (Local-individual boiler (BAXI, and the like))"
c13_7,What equipment did you mostly use to heat your house (Local-collective boiler for the block)
c13_8,What equipment did you mostly use to heat your house (Centralized heating)
c13_9,"What equipment did you mostly use to heat your house (Other, specify)"
c14,How much money did you spend on the heating of your house during the last winter? (AMD)
c15,How does the household get rid of garbage?
c16_1,Not enough floor space (as complaint about housing or environment)
c16_2,Noise from neighbors or from outside  (as complaint about housing or environment)
