recno,date,region,household_size,area_type,weight,year,household_has_special_education_children,housing_type,dwelling_ownership,number_of_rooms,dwelling_space_sqm,moved_last_5_years,has_centralized_water,has_hot_water,has_centralized_sanitation,has_local_sanitation,has_outside_toilet,has_gas,has_bathtub_shower,has_kitchen,has_telephone,has_radio,has_electricity,has_mobile,has_computer,has_internet,water_source,water_tap_location,potable_water_hours_day,potable_water_24h,main_heating_energy,heating_spend_last_winter_amd,garbage_disposal,complaint_floor_space,complaint_noise,complaint_light,complaint_heating,complaint_humidity,complaint_leaking_roof,complaint_walls_floor,complaint_windows_doors,complaint_traffic,complaint_pollution,complaint_elevator,complaint_water_supply,complaint_garbage,complaint_common_areas,complaint_green_areas,complaint_other,dwelling_condition_estimate,dwelling_renovated,building_new_house,has_other_dwelling,any_member_household_own_work,engaged_cattle_breeding,id_number_household_member_who_11,household_sent_money_goods_12m,household_received_money_goods_12m,lent_money_12m,family_debt_amount,borrowed_money_12m,registered_poverty_benefit,reason_not_registered_benefit,benefit_system_justified,share_families_really_vulnerable,humanitarian_assistance_12m,money_family_need_monthly_live,drm_in_amd,drm_in_amd_2,money_family_need_monthly_make,amd_3,household_has_car,eligible_salary_pension_not_received,hired_household_workers_12m,food_which_usually_consumed_daily,food_which_usually_consumed_daily_2,food_which_usually_consumed_daily_3,food_which_usually_consumed_daily_5,food_which_usually_consumed_daily_8,sample_weight,household_member_count,household_mean_age,household_income_total,household_income_source_count,food_purchases_total,services_goods_total,goods_services_total
1,1,1,3,0,21.4814814814815,2015,2,2,1,2.0,56.0,2,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1.0,31.0,24.0,3,80000.0,1,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,4,2,2,,2,2,2,0,2,4,1.0,4,6,2,20000,4000,200000,1.0,200000.0,1,2,2,0.3,30.0,0.5,35.0,50.0,21.4814814814815,3,34.333333333333336,250000.0,2.0,88292.2,326739.8,745.0
2,1,1,2,0,21.4814814814815,2015,2,2,1,1.0,42.0,2,1,3,1,2,2,1,1,1,2,2,1,1,2,2,1,1.0,31.0,24.0,2,50000.0,1,2,2,2,1,2,3,2,2,3,3,2,2,2,2,2,2,3,2,2,4,2,2,1.0,2,1,2,0,2,4,1.0,4,6,2,0,900000,220000,1.0,220000.0,2,2,2,0.5,10.0,1.0,35.0,100.0,21.4814814814815,2,21.5,120000.0,2.0,72996.9,268921.5,749.0
3,1,1,1,0,21.4814814814815,2015,2,2,1,2.0,60.0,2,1,1,1,2,2,1,1,1,1,2,1,2,2,2,1,1.0,31.0,24.0,2,7.0,1,2,2,2,1,1,3,2,2,3,3,2,2,2,2,1,2,3,2,2,4,2,2,,2,1,2,0,2,4,6.0,3,6,1,0,1500000,180000,1.0,180000.0,2,2,2,0.3,5.0,0.1,25.0,,21.4814814814815,1,84.0,52500.0,2.0,69209.7,137734.0,754.0
4,1,1,3,0,21.4814814814815,2015,2,2,3,2.0,60.0,1,1,3,1,2,2,2,1,1,2,2,1,1,2,2,1,1.0,31.0,24.0,3,7.0,1,2,2,2,1,2,2,2,2,3,3,2,2,2,2,2,1,3,3,2,4,2,2,,2,1,2,150000,2,4,3.0,3,6,2,2000,1000,180000,1.0,180000.0,2,2,2,0.5,30.0,0.5,50.0,70.0,21.4814814814815,3,26.333333333333332,180000.0,2.0,61672.2,297300.0,752.0
5,1,1,4,0,21.4814814814815,2015,2,2,1,4.0,92.0,2,1,1,1,2,2,1,1,1,1,2,1,1,2,2,1,1.0,31.0,24.0,3,130000.0,1,2,2,2,2,2,3,2,2,3,3,2,2,2,2,2,2,4,2,2,4,2,2,2.0,2,2,2,0,2,4,1.0,4,6,2,10000,4000000,260000,1.0,260000.0,1,2,2,0.4,15.0,1.0,30.0,50.0,21.4814814814815,4,34.0,235000.0,2.0,75770.2,220226.0,744.0
6,1,1,3,0,21.4814814814815,2015,2,2,1,2.0,60.0,2,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1.0,31.0,24.0,3,100000.0,1,2,2,2,2,2,2,2,2,3,3,2,2,2,2,1,2,2,2,2,4,2,2,,2,1,2,0,2,4,3.0,3,6,2,0,1500000,300000,1.0,300000.0,2,2,2,0.6,25.0,0.5,30.0,30.0,21.4814814814815,3,20.333333333333332,330000.0,2.0,92040.2,222923.0,745.0
7,1,1,1,0,21.4814814814815,2015,2,2,1,1.0,42.5,2,1,1,1,2,2,1,1,1,2,2,1,1,2,2,1,1.0,31.0,24.0,2,30000.0,1,2,2,2,2,2,2,2,2,3,3,2,2,2,2,1,2,2,2,2,4,2,2,,1,2,2,0,2,4,1.0,4,6,2,4000000,3000000,200000,1.0,200000.0,2,2,2,0.3,10.0,0.3,25.0,50.0,21.4814814814815,1,45.0,370000.0,1.0,58795.4,143268.0,750.0
8,1,1,3,0,21.4814814814815,2015,2,2,1,1.0,42.0,2,1,2,1,2,2,1,1,1,1,2,1,1,2,2,1,1.0,31.0,24.0,2,60000.0,1,1,2,2,2,2,3,2,2,3,3,2,2,2,2,2,2,3,3,2,4,2,2,,2,1,2,0,2,4,7.0,4,6,2,0,2000,220000,1.0,220000.0,2,2,2,0.5,20.0,0.5,40.0,50.0,21.4814814814815,3,22.666666666666668,200000.0,1.0,115119.55,295103.0,749.0
9,1,1,4,0,21.4814814814815,2015,2,2,1,3.0,72.0,2,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1.0,31.0,24.0,3,120000.0,1,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,4,2,2,1.0,2,1,2,0,2,4,6.0,4,6,2,2000,1000,180000,1.0,180000.0,2,2,2,0.5,15.0,0.5,25.0,100.0,21.4814814814815,4,27.25,85000.0,2.0,113527.95,257441.0,745.0
10,1,1,1,0,247.472222222222,2015,2,2,1,1.0,36.0,2,1,1,1,2,2,1,1,1,1,2,1,2,2,2,1,1.0,31.0,12.0,2,60000.0,1,2,2,2,1,2,2,2,2,3,3,3,1,2,1,1,2,4,3,2,4,2,2,,2,1,2,0,2,4,5.0,4,6,2,0,150000,80000,1.0,80000.0,2,2,2,0.5,25.0,0.4,20.0,20.0,247.472222222222,1,79.0,38000.0,1.0,57032.2,99089.0,754.0
