,RF,GBM,ExtraTrees
household_income_source_count,1.0,1.0,1.0
services_goods_total,0.886537227935881,0.7460043872910012,0.3854667040904821
amd_3,0.4640639357922104,0.6800476173516118,0.17520828745701023
food_purchases_total,0.32444372791307885,0.43261611588189125,0.12520811552431624
goods_services_total,0.30983279788453455,0.3531204759472634,0.11846837662449282
household_has_car,0.23944830645856438,0.3939550760891951,0.5134886678716657
heating_spend_last_winter_amd,0.1797353176071084,0.2207101415570405,0.0522203149554014
money_family_need_monthly_live,0.1796702532449353,0.232231073341948,0.07610471795312121
household_size,0.15711940463567628,0.2381496296154641,0.13059060482384408
drm_in_amd,0.1430243711134097,0.1943101749954581,0.06587362013941546
household_received_money_goods_12m,0.13009220170169952,0.19641122189505486,0.20851570431396538
share_families_really_vulnerable,0.11601119216950333,0.1426129240693449,0.09460125129389632
family_debt_amount,0.11433072977454072,0.16298666174582008,0.06560627935328259
number_of_rooms,0.07858958914616095,0.10050088366816606,0.055429845871825416
dwelling_condition_estimate,0.07297827574002648,0.13732797801915997,0.09752239776175285
potable_water_hours_day,0.06503810659431604,0.06525248653837479,0.05170766261243363
dwelling_renovated,0.05186519694465376,0.04694987694723897,0.06297136857397415
registered_poverty_benefit,0.05134752638040217,0.06680844730588056,0.09011473535951983
has_computer,0.03962376546254759,0.1469277641335026,0.3016032030599875
borrowed_money_12m,0.03330225846271759,0.04750330775289072,0.057927359646609264
dwelling_ownership,0.02683319059847233,0.03838215714093951,0.05548332352554401
household_sent_money_goods_12m,0.02415782618734806,0.035918832766770145,0.06300308223461748
lent_money_12m,0.020220565484084973,0.022004760678640236,0.03628949426975545
money_family_need_monthly_make,0.018902994788929935,0.022843323203038234,0.03039272269644516
has_other_dwelling,0.01709430268738316,0.023856560631690497,0.0388393989718782
humanitarian_assistance_12m,0.00692857222793275,0.024812969152155553,0.02893852574149937
building_new_house,0.0,0.0,0.0001035548829990521
