feature,importance
household_income_source_count,0.18092147121343735
household_has_car,0.09359045767538615
services_goods_total,0.08496524289457999
food_purchases_total,0.04950501264474372
amd_3,0.04398197749253434
goods_services_total,0.043387148593544145
household_size,0.042492838305809924
heating_spend_last_winter_amd,0.03750991174106556
money_family_need_monthly_live,0.037023766818046734
has_computer,0.03510830068732475
share_families_really_vulnerable,0.03264476380844558
household_received_money_goods_12m,0.03194453348495563
drm_in_amd,0.031199700884057546
dwelling_condition_estimate,0.030047912852209445
number_of_rooms,0.02896988365207205
potable_water_hours_day,0.02734472998185654
dwelling_renovated,0.025791740516061108
family_debt_amount,0.02496266921364748
borrowed_money_12m,0.02261903322343048
registered_poverty_benefit,0.02186874187035781
dwelling_ownership,0.017648439027225644
household_sent_money_goods_12m,0.017124759739969395
money_family_need_monthly_make,0.012052957485964473
lent_money_12m,0.009289908832838515
has_other_dwelling,0.00921957767128699
humanitarian_assistance_12m,0.008670613222405161
building_new_house,0.00011390646674360834
