feature,importance
household_income_source_count,0.3194838319603348
services_goods_total,0.19513415895027061
amd_3,0.10573558015608123
household_has_car,0.07756470172021539
goods_services_total,0.046682275969105146
household_received_money_goods_12m,0.04386040269279311
food_purchases_total,0.04008189346057521
money_family_need_monthly_live,0.02661466724761964
dwelling_condition_estimate,0.019219846222565673
registered_poverty_benefit,0.01903833889467401
has_computer,0.01805497288530997
family_debt_amount,0.012966851365394095
heating_spend_last_winter_amd,0.012325343462386786
household_size,0.01197028278858804
share_families_really_vulnerable,0.009098106839626238
drm_in_amd,0.008087599885115544
humanitarian_assistance_12m,0.007935725454231981
dwelling_renovated,0.006125114227487485
dwelling_ownership,0.0052105730108372855
potable_water_hours_day,0.005195468976740267
lent_money_12m,0.0027222583686278955
borrowed_money_12m,0.002527640122616788
number_of_rooms,0.001474296819994857
household_sent_money_goods_12m,0.0012376729527926948
has_other_dwelling,0.0012268397666135883
money_family_need_monthly_make,0.00042555579940170915
building_new_house,0.0
