feature,importance
household_income_source_count,62236.4158088225
household_received_money_goods_12m,26932.551934623596
household_has_car,25005.825226375462
services_goods_total,24418.924301547915
registered_poverty_benefit,15945.544293382447
dwelling_condition_estimate,14755.782579891384
has_computer,12379.296185449299
food_purchases_total,11233.107127362864
borrowed_money_12m,9742.764452591555
money_family_need_monthly_live,8872.337037908335
dwelling_ownership,8484.159325456507
goods_services_total,7526.274597499604
household_sent_money_goods_12m,6741.4798476694605
lent_money_12m,5766.65847185412
heating_spend_last_winter_amd,5597.264241961258
share_families_really_vulnerable,5470.285653003596
money_family_need_monthly_make,3894.7458177625376
number_of_rooms,3838.3834876375927
family_debt_amount,3742.7097729178718
household_size,3237.191482048298
amd_3,1917.5918426006592
drm_in_amd,1458.6559614561404
dwelling_renovated,1230.9479227546706
has_other_dwelling,1191.3499330228128
building_new_house,646.5091093228159
humanitarian_assistance_12m,574.9921330058337
potable_water_hours_day,60.84863463142049
