feature,importance
household_income_source_count,0.1866762645755741
services_goods_total,0.17604909025036156
amd_3,0.08316075623739813
goods_services_total,0.07251695590982253
food_purchases_total,0.07152816562917713
heating_spend_last_winter_amd,0.048324765671400476
household_has_car,0.0428104833042494
money_family_need_monthly_live,0.041610871881974085
household_size,0.03844460395545756
drm_in_amd,0.029428362830760207
family_debt_amount,0.026204046676897866
household_received_money_goods_12m,0.02265723431133333
share_families_really_vulnerable,0.02259544980218664
number_of_rooms,0.021475130226631254
dwelling_condition_estimate,0.018104431550214618
potable_water_hours_day,0.01586766138567963
dwelling_renovated,0.013458047851976757
humanitarian_assistance_12m,0.011819574308074933
registered_poverty_benefit,0.011336658450294763
dwelling_ownership,0.010101519110124786
borrowed_money_12m,0.007242371669440121
money_family_need_monthly_make,0.0065224276863219575
has_computer,0.006114027327911994
household_sent_money_goods_12m,0.005480564592684173
has_other_dwelling,0.005418907533917264
lent_money_12m,0.00500453600303389
building_new_house,4.70912671008936e-05
