feature,importance
household_income_source_count,62215.97905892438
household_received_money_goods_12m,26926.28693739044
household_has_car,25000.631253873547
services_goods_total,24416.516707347488
registered_poverty_benefit,15939.89573462057
dwelling_condition_estimate,14753.655605112179
has_computer,12378.662318656196
food_purchases_total,11236.233766961692
borrowed_money_12m,9740.823323189205
money_family_need_monthly_live,8869.44396090881
dwelling_ownership,8481.182967260778
goods_services_total,7525.931858587741
household_sent_money_goods_12m,6738.919453403132
lent_money_12m,5766.265652451451
heating_spend_last_winter_amd,5597.196193578292
share_families_really_vulnerable,5468.972624761192
money_family_need_monthly_make,3893.524836701479
number_of_rooms,3834.177591190922
family_debt_amount,3742.512374257641
household_size,3227.9334608390805
amd_3,1916.774325087853
drm_in_amd,1461.2002430160119
dwelling_renovated,1228.547660625814
has_other_dwelling,1192.594740201646
building_new_house,646.5261967216904
humanitarian_assistance_12m,575.4136728878424
potable_water_hours_day,62.53587839374473
