x,y,cluster,income_decile
50.34645,14.686891,3,8.0
-42.471977,48.341736,1,5.0
6.1966805,-78.27745,1,2.0
-40.363667,-2.2623441,1,7.0
34.06006,2.2376776,2,8.0
-9.115025,41.90681,1,9.0
-11.419828,-3.7542126,2,10.0
-57.985603,35.486603,1,7.0
-6.959521,40.662056,3,4.0
-60.08906,29.459564,1,1.0
-41.437874,-8.360342,1,3.0
-22.144903,20.441723,3,9.0
62.199867,33.489815,0,10.0
-25.472927,47.25951,1,1.0
-23.40112,55.920532,1,7.0
-3.9690032,-33.16482,1,5.0
-45.344944,47.646076,1,1.0
53.302776,-22.318714,3,10.0
-21.8466,52.102596,1,6.0
23.607384,42.711666,1,8.0
9.536558,18.2656,3,9.0
22.084991,41.496696,3,9.0
-3.7746453,36.228836,1,6.0
-8.214645,37.01249,1,1.0
63.83575,40.605812,0,8.0
-21.27678,52.20703,1,8.0
-3.298531,53.8124,1,1.0
12.868105,-35.496513,3,9.0
30.476948,-1.9536111,3,9.0
11.88541,-11.374678,2,10.0
-41.113007,46.848396,1,4.0
-6.343728,12.802088,1,7.0
51.13407,-24.410894,2,10.0
23.355915,-34.839184,2,8.0
-2.9174068,-25.223042,1,4.0
25.206202,-26.152657,3,5.0
-66.48269,9.252676,1,2.0
-47.15723,49.22348,1,1.0
-52.17311,30.282488,1,2.0
27.337986,-3.383213,3,8.0
-28.880388,15.4609375,1,4.0
26.255686,31.60157,3,9.0
26.074041,31.496128,3,7.0
-35.7715,-8.620606,1,3.0
33.023537,-25.416754,3,9.0
40.00301,11.1946745,3,9.0
-25.92815,-1.3627952,3,9.0
30.71081,41.94612,3,10.0
41.976303,6.8166304,3,10.0
34.774952,9.7725725,3,9.0
60.027058,37.36296,0,7.0
38.42301,3.534704,3,10.0
63.870346,39.818455,0,4.0
-34.669155,-6.8576813,1,7.0
-4.617253,49.911823,1,4.0
4.733739,39.905846,3,9.0
50.234375,-19.422182,3,9.0
17.113312,56.10314,1,5.0
-27.715519,-15.820812,4,8.0
-36.471474,-34.534874,4,7.0
9.56816,-80.71101,4,2.0
48.893982,-17.317776,3,10.0
-25.896877,1.5842221,3,10.0
-29.662334,-11.031099,1,4.0
-5.5936584,50.357216,1,4.0
35.028114,-4.8328495,3,5.0
35.42704,-4.0144906,3,9.0
34.41785,-6.6719656,3,8.0
-26.351803,-4.2216625,1,10.0
-51.251854,30.99686,1,1.0
-11.1527,16.453032,1,7.0
1.5087321,22.658379,3,7.0
11.152889,-76.14088,4,9.0
-2.6494687,-25.41877,1,1.0
27.488008,3.7508852,3,8.0
10.32336,-73.6701,3,9.0
13.344633,12.162765,3,7.0
49.290173,10.45226,3,8.0
-41.205185,50.9448,1,3.0
31.208736,-51.54174,3,10.0
23.536535,-57.74726,1,1.0
-26.42449,-13.39567,1,10.0
-20.511938,29.599127,1,5.0
-0.46481732,-20.726782,3,5.0
65.244,40.99859,0,7.0
51.893345,-22.990147,3,8.0
17.79917,33.024143,3,5.0
-9.642922,9.39284,1,2.0
6.216106,38.580353,3,8.0
-36.51894,31.643,1,1.0
18.544945,56.368065,1,2.0
32.94963,-31.780155,3,8.0
-56.972202,30.745096,1,3.0
8.830322,-23.737722,3,4.0
-5.564142,12.3496685,3,9.0
32.89439,-34.86713,3,2.0
53.97666,-36.482803,5,10.0
19.010464,56.469585,1,5.0
8.2396755,-74.00196,0,10.0
-20.446884,51.20207,1,2.0
35.2932,-29.323929,2,10.0
-54.708096,40.22053,1,9.0
16.129183,54.90814,1,4.0
-58.232716,41.017914,1,2.0
-41.290752,46.674698,1,4.0
-0.040285353,-3.252848,2,8.0
29.87715,-53.065403,3,7.0
54.22556,-20.244596,2,10.0
33.32397,-3.9226425,3,10.0
14.265987,33.89616,3,8.0
53.377857,-22.838724,3,8.0
16.054722,32.676476,3,6.0
-20.378008,47.96827,1,7.0
-34.812973,-11.921525,3,5.0
-44.361156,-8.019099,1,9.0
36.51831,7.191587,3,10.0
-9.370992,23.044483,3,8.0
19.795002,1.6890996,3,10.0
19.637978,1.5621787,3,10.0
55.872063,-50.17792,5,4.0
31.95969,-56.06648,3,9.0
53.933033,-40.239967,5,7.0
-0.029782835,-29.065605,3,6.0
14.574283,-31.770817,3,7.0
10.643126,-75.119255,3,10.0
53.21211,-39.740593,5,10.0
-33.87487,29.24396,1,1.0
-31.7036,29.446827,1,4.0
-24.413952,45.038036,1,3.0
-23.977623,32.564697,1,1.0
-23.988138,31.735472,1,3.0
-33.631336,28.767876,1,3.0
26.62908,-17.606396,1,6.0
26.730255,-18.147577,1,4.0
26.148937,-16.745773,1,7.0
-35.90325,33.692657,1,2.0
39.600616,-17.253746,3,5.0
40.661827,-18.254251,1,6.0
39.481922,-16.290106,3,6.0
39.994133,-16.018566,3,7.0
28.20255,-19.024305,1,4.0
6.3359227,23.098015,1,3.0
-39.51237,23.1394,1,1.0
17.890587,-27.459703,3,9.0
-63.871555,15.32583,1,1.0
9.60376,-24.120205,3,7.0
30.41848,-47.951637,3,10.0
28.07601,-15.56561,1,6.0
25.08954,26.222574,3,3.0
30.691732,-10.16069,3,2.0
31.827093,-31.197157,3,3.0
29.985619,14.116833,1,4.0
-8.845006,48.8588,1,2.0
-10.174601,36.177227,3,3.0
8.009648,-17.701744,3,10.0
-41.964096,43.858685,1,2.0
-5.2484593,74.8596,7,8.0
15.367134,52.531082,1,4.0
8.231595,-25.702862,1,3.0
-61.758373,30.27914,1,3.0
7.377421,23.375158,1,7.0
24.738466,16.47979,3,10.0
46.008728,7.2166853,3,8.0
16.296724,43.73411,3,10.0
26.349833,42.910324,1,4.0
22.339827,9.421629,1,6.0
10.655147,-4.8459315,2,5.0
26.856606,-5.781056,3,5.0
29.566217,-18.23317,1,3.0
11.969806,29.646732,3,5.0
-31.591082,-6.3811297,1,5.0
18.423553,-25.502478,3,9.0
17.373892,-32.669533,3,10.0
-16.862026,52.380352,3,9.0
0.8849397,-29.314314,3,8.0
22.011726,-25.83344,3,10.0
28.691753,21.404425,3,8.0
46.58903,10.040843,3,7.0
-9.72529,-29.938768,1,2.0
1.2619445,-30.423212,3,5.0
29.086376,-9.836638,3,9.0
-30.788754,22.640532,1,8.0
-1.6506902,25.3796,1,8.0
-1.8794274,24.098114,1,6.0
30.659912,9.934684,3,10.0
32.769936,19.775131,1,7.0
-43.17871,-43.905346,4,6.0
61.617447,33.640793,0,10.0
-30.875729,22.611156,1,8.0
61.131187,-6.219224,2,6.0
62.105717,-10.442232,2,6.0
58.01965,-5.1417785,2,3.0
62.23522,-11.34222,2,5.0
62.363796,-5.1021285,2,7.0
63.837498,-9.269931,2,5.0
58.91128,-4.711583,2,3.0
66.61692,-8.022995,2,6.0
65.68246,-8.42482,2,7.0
36.203354,24.426874,3,8.0
-59.4557,3.8729682,1,1.0
-30.579252,15.287166,1,1.0
-37.4879,-6.2544923,1,7.0
16.582859,49.529156,1,6.0
-8.491212,40.869194,3,6.0
-38.852043,-7.4482923,1,3.0
15.650167,51.828968,1,5.0
-53.43156,35.991383,1,4.0
