marz,date,year,month,day,poverty_rate,extreme_poverty_rate,non_poor_rate,population,crime_selected_total,Number of minor offense,Number of moderately serious offense,Number of particulary serious offences,crime_total,Number of serious offences,Annual average occupancy of a bed,Number of ambulatory clinics in rural communities,Number of avarage medical personnel,beds,Number of hospitalized patients,hospitals,Number of physicians,"Number of primary health care (PHC) service providers (except OMCs, private medical and dental offices)",crime_rate_per_100k,crime_selected_rate_per_100k,hospitals_per_100k,beds_per_10k
Aragatsotn,2016-01-01,2016,1,1,15.7,0.6,84.3,129774.0,191.0,322.0,259.0,4.0,655.0,70.0,139.0,16.0,633.0,200.0,5376.0,6.0,241.0,24.0,504.72359640605976,147.1789418527594,4.623422257154746,15.411407523849151
Aragatsotn,2016-01-02,2016,1,2,15.705107526881715,0.598387096774195,84.29489247311828,129770.62365591398,191.01075268817203,322.0967741935483,259.1370967741934,4.002688172043008,655.2231182795697,69.98655913978496,138.99193548387098,15.997311827956992,632.8360215053765,199.89247311827967,5375.16935483871,6.0,240.96236559139788,23.99731182795699,504.9104647706995,147.1911751241075,4.623543720797155,15.40344572392577
Aragatsotn,2016-01-03,2016,1,3,15.71021505376343,0.59677419354839,84.28978494623657,129767.24731182796,191.02150537634407,322.1935483870966,259.27419354838685,4.005376344086017,655.4462365591394,69.97311827956992,138.98387096774195,15.994623655913983,632.672043010753,199.78494623655934,5374.338709677421,6.0,240.92473118279577,23.994623655913983,505.0973331353392,147.2034083954556,4.623665184439564,15.395483924002392
Aragatsotn,2016-01-04,2016,1,4,15.715322580645147,0.595161290322585,84.28467741935485,129763.87096774194,191.0322580645161,322.2903225806449,259.41129032258027,4.008064516129025,655.6693548387091,69.95967741935488,138.97580645161293,15.991935483870975,632.5080645161295,199.677419354839,5373.5080645161315,6.0,240.88709677419365,23.991935483870975,505.28420149997896,147.2156416668037,4.623786648081973,15.38752212407901
Aragatsotn,2016-01-05,2016,1,5,15.720430107526862,0.59354838709678,84.27956989247313,129760.49462365593,191.04301075268813,322.3870967741932,259.5483870967737,4.010752688172033,655.8924731182788,69.94623655913983,138.9677419354839,15.989247311827967,632.344086021506,199.56989247311867,5372.677419354842,6.0,240.84946236559153,23.989247311827967,505.47106986461864,147.22787493815179,4.623908111724382,15.379560324155632
Aragatsotn,2016-01-06,2016,1,6,15.725537634408578,0.591935483870975,84.27446236559142,129757.11827956991,191.05376344086017,322.4838709677415,259.6854838709671,4.0134408602150415,656.1155913978484,69.93279569892479,138.95967741935488,15.986559139784958,632.1801075268825,199.46236559139834,5371.846774193552,6.0,240.81182795698942,23.98655913978496,505.6579382292584,147.24010820949988,4.624029575366791,15.371598524232251
Aragatsotn,2016-01-07,2016,1,7,15.730645161290294,0.5903225806451701,84.2693548387097,129753.7419354839,191.0645161290322,322.5806451612898,259.82258064516054,4.01612903225805,656.3387096774181,69.91935483870975,138.95161290322585,15.98387096774195,632.016129032259,199.354838709678,5371.016129032263,6.0,240.7741935483873,23.98387096774195,505.8448065938981,147.25234148084797,4.6241510390092,15.363636724308872
Aragatsotn,2016-01-08,2016,1,8,15.73575268817201,0.5887096774193651,84.26424731182799,129750.36559139787,191.07526881720423,322.6774193548381,259.95967741935397,4.018817204301058,656.5618279569878,69.90591397849471,138.94354838709683,15.981182795698942,631.8521505376355,199.24731182795767,5370.185483870973,6.0,240.7365591397852,23.981182795698942,506.03167495853785,147.26457475219607,4.624272502651609,15.355674924385491
Aragatsotn,2016-01-09,2016,1,9,15.740860215053726,0.5870967741935601,84.25913978494627,129746.98924731185,191.08602150537627,322.7741935483864,260.0967741935474,4.0215053763440665,656.7849462365575,69.89247311827967,138.9354838709678,15.978494623655934,631.688172043012,199.13978494623734,5369.3548387096835,6.0,240.69892473118307,23.978494623655934,506.2185433231776,147.27680802354416,4.624393966294018,15.34771312446211
Aragatsotn,2016-01-10,2016,1,10,15.745967741935441,0.5854838709677551,84.25403225806456,129743.61290322583,191.0967741935483,322.8709677419347,260.2338709677408,4.024193548387075,657.0080645161272,69.87903225806463,138.92741935483878,15.975806451612925,631.5241935483884,199.032258064517,5368.524193548394,6.0,240.66129032258095,23.975806451612925,506.4054116878173,147.28904129489226,4.624515429936427,15.339751324538732
