marz,date,year,month,poverty_rate,extreme_poverty_rate,non_poor_rate,population,crime_selected_total,Number of minor offense,Number of moderately serious offense,Number of particulary serious offences,crime_total,Number of serious offences,Annual average occupancy of a bed,Number of ambulatory clinics in rural communities,Number of avarage medical personnel,beds,Number of hospitalized patients,hospitals,Number of physicians,"Number of primary health care (PHC) service providers (except OMCs, private medical and dental offices)",crime_rate_per_100k,crime_selected_rate_per_100k,hospitals_per_100k,beds_per_10k
Aragatsotn,2016-01-01,2016,1,15.7,0.6,84.3,129774.0,191.0,322.0,259.0,4.0,655.0,70.0,139.0,16.0,633.0,200.0,5376.0,6.0,241.0,24.0,504.72359640605976,147.1789418527594,4.623422257154746,15.411407523849151
Aragatsotn,2016-02-01,2016,2,15.858333333333189,0.5500000000000455,84.14166666666681,129669.33333333343,191.33333333333303,324.99999999999727,263.24999999999613,4.0833333333332575,661.9166666666604,69.58333333333371,138.75000000000023,15.916666666666742,627.9166666666713,196.6666666666697,5350.250000000024,6.0,239.8333333333344,23.916666666666742,510.5165157098913,147.55817326455033,4.627187630069423,15.164591726224371
Aragatsotn,2016-03-01,2016,3,16.01666666666681,0.4999999999999545,83.98333333333319,129564.66666666657,191.66666666666697,328.00000000000273,267.50000000000387,4.1666666666667425,668.8333333333396,69.16666666666629,138.49999999999977,15.833333333333258,622.8333333333287,193.3333333333303,5324.499999999976,6.0,238.6666666666656,23.833333333333258,516.3094350137387,147.93740467634225,4.63095300298411,14.917775928598916
Aragatsotn,2016-04-01,2016,4,16.175,0.44999999999999996,83.825,129460.0,192.0,331.0,271.75,4.25,675.75,68.75,138.25,15.75,617.75,190.0,5298.75,6.0,237.5,23.75,522.1023543175702,148.31663608813318,4.634718375898786,14.670960130974136
Aragatsotn,2016-05-01,2016,5,16.33333333333319,0.40000000000004543,83.66666666666681,129355.33333333343,192.33333333333303,333.99999999999727,275.99999999999613,4.3333333333332575,682.6666666666604,68.33333333333371,138.00000000000023,15.666666666666742,612.6666666666713,186.6666666666697,5273.000000000024,6.0,236.3333333333344,23.666666666666742,527.8952736214018,148.6958674999241,4.638483748813463,14.424144333349355
Aragatsotn,2016-06-01,2016,6,16.49166666666681,0.3499999999999545,83.50833333333318,129250.66666666657,192.66666666666697,337.00000000000273,280.25000000000387,4.4166666666667425,689.5833333333396,67.91666666666629,137.74999999999977,15.583333333333258,607.5833333333287,183.3333333333303,5247.249999999976,6.0,235.1666666666656,23.583333333333258,533.6881929252492,149.07509891171603,4.64224912172815,14.1773285357239
Aragatsotn,2016-07-01,2016,7,16.65,0.3,83.35,129146.0,193.0,340.0,284.5,4.5,696.5,67.5,137.5,15.5,602.5,180.0,5221.5,6.0,234.0,23.5,539.4811122290807,149.45433032350695,4.646014494642827,13.93051273809912
Aragatsotn,2016-08-01,2016,8,16.80833333333319,0.25000000000004546,83.19166666666682,129041.33333333343,193.33333333333303,342.99999999999727,288.74999999999613,4.5833333333332575,703.4166666666604,67.08333333333371,137.25000000000023,15.416666666666742,597.4166666666713,176.6666666666697,5195.750000000024,6.0,232.8333333333344,23.416666666666742,545.2740315329122,149.83356173529788,4.649779867557504,13.68369694047434
Aragatsotn,2016-09-01,2016,9,16.96666666666681,0.1999999999999545,83.03333333333319,128936.66666666657,193.66666666666697,346.00000000000273,293.00000000000387,4.6666666666667425,710.3333333333396,66.66666666666629,136.99999999999977,15.333333333333258,592.3333333333287,173.3333333333303,5169.999999999976,6.0,231.6666666666656,23.333333333333258,551.0669508367596,150.2127931470898,4.653545240472191,13.436881142848884
Aragatsotn,2016-10-01,2016,10,17.125,0.15000000000000002,82.875,128832.0,194.0,349.0,297.25,4.75,717.25,66.25,136.75,15.25,587.25,170.0,5144.25,6.0,230.5,23.25,556.8598701405912,150.59202455888072,4.657310613386867,13.190065345224104
Aragatsotn,2016-11-01,2016,11,17.28333333333319,0.1000000000000455,82.71666666666681,128727.33333333343,194.33333333333303,351.99999999999727,301.49999999999613,4.8333333333332575,724.1666666666604,65.83333333333371,136.50000000000023,15.166666666666742,582.1666666666713,166.6666666666697,5118.500000000024,6.0,229.3333333333344,23.166666666666742,562.6527894444228,150.97125597067165,4.661075986301544,12.943249547599324
Aragatsotn,2016-12-01,2016,12,17.441666666666812,0.049999999999954525,82.5583333333332,128622.66666666657,194.66666666666697,355.00000000000273,305.75000000000387,4.9166666666667425,731.0833333333396,65.41666666666629,136.24999999999977,15.083333333333258,577.0833333333287,163.3333333333303,5092.749999999976,6.0,228.1666666666656,23.083333333333258,568.44570874827,151.35048738246357,4.664841359216231,12.696433749973869
Aragatsotn,2017-01-01,2017,1,17.6,0.0,82.4,128518.0,195.0,358.0,310.0,5.0,738.0,65.0,136.0,15.0,572.0,160.0,5067.0,6.0,227.0,23.0,574.2386280521016,151.7297187942545,4.6686067321309075,12.449617952349088
Aragatsotn,2017-02-01,2017,2,17.48333333333344,0.0,82.51666666666657,128403.66666666677,194.75000000000023,353.2500000000043,308.4166666666681,5.0833333333332575,733.5833333333374,66.83333333333167,138.3333333333312,15.0,569.6666666666688,159.33333333333394,5080.666666666654,6.0,227.08333333333326,23.0,571.2813030069381,151.66953416017623,4.672804877331751,12.408379845389819
Aragatsotn,2017-03-01,2017,3,17.36666666666656,0.0,82.63333333333344,128289.33333333323,194.49999999999977,348.4999999999957,306.8333333333319,5.1666666666667425,729.1666666666626,68.66666666666833,140.6666666666688,15.0,567.3333333333312,158.66666666666606,5094.333333333346,6.0,227.16666666666674,23.0,568.3239779617664,151.6093495260978,4.677003022532606,12.367141738430435
Aragatsotn,2017-04-01,2017,4,17.25,0.0,82.75,128175.0,194.25,343.75,305.25,5.25,724.75,70.5,143.0,15.0,565.0,158.0,5108.0,6.0,227.25,23.0,565.3666529166028,151.5491648920195,4.68120116773345,12.325903631471165
Aragatsotn,2017-05-01,2017,5,17.13333333333344,0.0,82.86666666666656,128060.66666666677,194.00000000000023,339.0000000000043,303.6666666666681,5.3333333333332575,720.3333333333374,72.33333333333167,145.3333333333312,15.0,562.6666666666688,157.33333333333394,5121.666666666654,6.0,227.33333333333326,23.0,562.4093278714392,151.48898025794122,4.685399312934294,12.284665524511896
Aragatsotn,2017-06-01,2017,6,17.016666666666563,0.0,82.98333333333345,127946.33333333323,193.74999999999977,334.2499999999957,302.0833333333319,5.4166666666667425,715.9166666666626,74.16666666666833,147.6666666666688,15.0,560.3333333333312,156.66666666666606,5135.333333333346,6.0,227.41666666666674,23.0,559.4520028262676,151.42879562386278,4.689597458135149,12.243427417552514
Aragatsotn,2017-07-01,2017,7,16.9,0.0,83.1,127832.0,193.5,329.5,300.5,5.5,711.5,76.0,150.0,15.0,558.0,156.0,5149.0,6.0,227.5,23.0,556.494677781104,151.3686109897845,4.693795603335992,12.202189310593244
Aragatsotn,2017-08-01,2017,8,16.783333333333438,0.0,83.21666666666655,127717.66666666677,193.25000000000023,324.7500000000043,298.9166666666681,5.5833333333332575,707.0833333333374,77.83333333333167,152.3333333333312,15.0,555.6666666666688,155.33333333333394,5162.666666666654,6.0,227.58333333333326,23.0,553.5373527359404,151.30842635570622,4.697993748536836,12.160951203633973
Aragatsotn,2017-09-01,2017,9,16.66666666666656,0.0,83.33333333333344,127603.33333333323,192.99999999999977,319.9999999999957,297.3333333333319,5.6666666666667425,702.6666666666626,79.66666666666833,154.6666666666688,15.0,553.3333333333312,154.66666666666606,5176.333333333346,6.0,227.66666666666674,23.0,550.5800276907688,151.24824172162778,4.702191893737692,12.119713096674591
Aragatsotn,2017-10-01,2017,10,16.55,0.0,83.45,127489.0,192.75,315.25,295.75,5.75,698.25,81.5,157.0,15.0,551.0,154.0,5190.0,6.0,227.75,23.0,547.6227026456053,151.1880570875495,4.706390038938536,12.078474989715321
Aragatsotn,2017-11-01,2017,11,16.43333333333344,0.0,83.56666666666656,127374.66666666677,192.50000000000023,310.5000000000043,294.1666666666681,5.8333333333332575,693.8333333333374,83.33333333333167,159.3333333333312,15.0,548.6666666666688,153.33333333333394,5203.666666666654,6.0,227.83333333333326,23.0,544.6653776004416,151.1278724534712,4.71058818413938,12.037236882756051
Aragatsotn,2017-12-01,2017,12,16.31666666666656,0.0,83.68333333333344,127260.33333333323,192.24999999999977,305.7499999999957,292.5833333333319,5.9166666666667425,689.4166666666626,85.16666666666833,161.6666666666688,15.0,546.3333333333312,152.66666666666606,5217.333333333346,6.0,227.91666666666674,23.0,541.70805255527,151.06768781939277,4.714786329340234,11.995998775796668
Aragatsotn,2018-01-01,2018,1,16.2,0.0,83.8,127146.0,192.0,301.0,291.0,6.0,685.0,87.0,164.0,15.0,544.0,152.0,5231.0,6.0,228.0,23.0,538.7507275101065,151.0075031853145,4.718984474541078,11.954760668837398
Aragatsotn,2018-02-01,2018,2,19.133333333330665,0.6416666666660831,80.86666666666933,127003.83333333346,198.33333333332757,307.16666666666106,291.7499999999993,6.0833333333332575,691.5833333333273,86.58333333333371,167.49999999999682,15.083333333333258,543.8333333333335,153.24999999999886,5348.583333333227,6.0,228.91666666666583,23.083333333333258,544.6095104216739,156.227541185173,4.724332707104827,12.06795875935935
Aragatsotn,2018-03-01,2018,3,22.066666666669335,1.283333333333917,77.93333333333067,126861.66666666654,204.66666666667243,313.33333333333894,292.5000000000007,6.1666666666667425,698.1666666666727,86.16666666666629,171.00000000000318,15.166666666666742,543.6666666666665,154.50000000000114,5466.166666666773,6.0,229.83333333333417,23.166666666666742,550.4682933332573,161.44757918504575,4.72968093966859,12.181156849881608
Aragatsotn,2018-04-01,2018,4,25.0,1.925,75.0,126719.5,211.0,319.5,293.25,6.25,704.75,85.75,174.5,15.25,543.5,155.75,5583.75,6.0,230.75,23.25,556.3270762448248,166.66761718490423,4.735029172232339,12.294354940403558
Aragatsotn,2018-05-01,2018,5,27.933333333330665,2.5666666666660833,72.06666666666933,126577.33333333346,217.33333333332757,325.66666666666106,293.9999999999993,6.3333333333332575,711.3333333333273,85.33333333333371,177.99999999999682,15.333333333333258,543.3333333333335,156.99999999999886,5701.333333333227,6.0,231.66666666666583,23.333333333333258,562.1858591563922,171.88765518476274,4.740377404796088,12.40755303092551
Aragatsotn,2018-06-01,2018,6,30.866666666669335,3.208333333333917,69.13333333333067,126435.16666666654,223.66666666667243,331.83333333333894,294.7500000000007,6.4166666666667425,717.9166666666727,84.91666666666629,181.50000000000318,15.416666666666742,543.1666666666665,158.25000000000114,5818.916666666773,6.0,232.58333333333417,23.416666666666742,568.0446420679756,177.10769318463548,4.745725637359851,12.520751121447768
Aragatsotn,2018-07-01,2018,7,33.8,3.85,66.2,126293.0,230.0,338.0,295.5,6.5,724.5,84.5,185.0,15.5,543.0,159.5,5936.5,6.0,233.5,23.5,573.903424979543,182.32773118449398,4.7510738699236,12.63394921196972
Aragatsotn,2018-08-01,2018,8,36.73333333333066,4.491666666666084,63.26666666666934,126150.83333333346,236.33333333332757,344.16666666666106,296.2499999999993,6.5833333333332575,731.0833333333273,84.08333333333371,188.49999999999682,15.583333333333258,542.8333333333335,160.74999999999886,6054.083333333227,6.0,234.41666666666583,23.583333333333258,579.7622078911105,187.54776918435246,4.756422102487349,12.74714730249167
Aragatsotn,2018-09-01,2018,9,39.666666666669336,5.133333333333917,60.333333333330664,126008.66666666654,242.66666666667243,350.33333333333894,297.0000000000007,6.6666666666667425,737.6666666666727,83.66666666666629,192.00000000000318,15.666666666666742,542.6666666666665,162.00000000000114,6171.666666666773,6.0,235.33333333333417,23.666666666666742,585.6209908026939,192.7678071842252,4.7617703350511125,12.86034539301393
Aragatsotn,2018-10-01,2018,10,42.6,5.775,57.4,125866.5,249.0,356.5,297.75,6.75,744.25,83.25,195.5,15.75,542.5,163.25,6289.25,6.0,236.25,23.75,591.4797737142613,197.9878451840837,4.767118567614861,12.973543483535881
Aragatsotn,2018-11-01,2018,11,45.53333333333067,6.416666666666083,54.46666666666934,125724.33333333346,255.33333333332757,362.66666666666106,298.4999999999993,6.8333333333332575,750.8333333333273,82.83333333333371,198.99999999999682,15.833333333333258,542.3333333333335,164.49999999999886,6406.833333333227,6.0,237.16666666666583,23.833333333333258,597.3385566258288,203.20788318394222,4.77246680017861,13.08674157405783
Aragatsotn,2018-12-01,2018,12,48.46666666666934,7.058333333333917,51.53333333333067,125582.16666666654,261.6666666666724,368.83333333333894,299.2500000000007,6.9166666666667425,757.4166666666727,82.41666666666629,202.50000000000318,15.916666666666742,542.1666666666665,165.75000000000114,6524.416666666773,6.0,238.08333333333417,23.916666666666742,603.1973395374122,208.42792118381493,4.777815032742374,13.19993966458009
Aragatsotn,2019-01-01,2019,1,51.4,7.7,48.6,125440.0,268.0,375.0,300.0,7.0,764.0,82.0,206.0,16.0,542.0,167.0,6642.0,6.0,239.0,24.0,609.0561224489796,213.64795918367344,4.783163265306122,13.31313775510204
Aragatsotn,2019-02-01,2019,2,49.858333333334734,7.158333333333826,50.141666666665266,125380.08333333339,266.2500000000016,380.9166666666613,296.75000000000296,6.9166666666667425,769.9166666666613,85.3333333333303,204.00000000000182,16.0,540.5000000000014,169.41666666666447,6558.333333333409,5.9166666666667425,238.50000000000045,24.0,614.0926381867957,212.3474650692466,4.718645324186772,13.513299279655275
Aragatsotn,2019-03-01,2019,3,48.31666666666526,6.616666666666174,51.68333333333474,125320.16666666661,264.4999999999984,386.8333333333387,293.49999999999704,6.8333333333332575,775.8333333333387,88.6666666666697,201.99999999999818,16.0,538.9999999999986,171.83333333333553,6474.666666666591,5.8333333333332575,237.99999999999955,24.0,619.1291539246256,211.0469709548162,4.654127383067246,13.713460804209053
Aragatsotn,2019-04-01,2019,4,46.775,6.075,53.225,125260.25,262.75,392.75,290.25,6.75,781.75,92.0,200.0,16.0,537.5,174.25,6391.0,5.75,237.5,24.0,624.1656696624417,209.74647684038936,4.589609441947896,13.913622328762287
Aragatsotn,2019-05-01,2019,5,45.233333333334734,5.533333333333826,54.766666666665266,125200.33333333339,261.0000000000016,398.6666666666613,287.00000000000296,6.6666666666667425,787.6666666666613,95.3333333333303,198.00000000000182,16.0,536.0000000000014,176.66666666666447,6307.333333333409,5.6666666666667425,237.00000000000045,24.0,629.2021854002578,208.44598272596252,4.525091500828547,14.113783853315521
Aragatsotn,2019-06-01,2019,6,43.69166666666526,4.991666666666174,56.30833333333474,125140.41666666661,259.2499999999984,404.5833333333387,283.74999999999704,6.5833333333332575,793.5833333333387,98.6666666666697,195.99999999999818,16.0,534.4999999999986,179.08333333333553,6223.666666666591,5.5833333333332575,236.49999999999955,24.0,634.2387011380877,207.14548861153213,4.4605735597090215,14.313945377869299
Aragatsotn,2019-07-01,2019,7,42.15,4.45,57.849999999999994,125080.5,257.5,410.5,280.5,6.5,799.5,102.0,194.0,16.0,533.0,181.5,6140.0,5.5,236.0,24.0,639.2752168759038,205.8449944971053,4.3960556185896715,14.514106902422533
Aragatsotn,2019-08-01,2019,8,40.608333333334734,3.908333333333826,59.39166666666526,125020.58333333339,255.7500000000016,416.4166666666613,277.25000000000296,6.4166666666667425,805.4166666666613,105.3333333333303,192.00000000000182,16.0,531.5000000000014,183.91666666666447,6056.333333333409,5.4166666666667425,235.50000000000045,24.0,644.3117326137199,204.54450038267842,4.331537677470322,14.714268426975767
