marz,year,poverty_rate,extreme_poverty_rate,non_poor_rate,population,crime_selected_total,Number of minor offense,Number of moderately serious offense,Number of particulary serious offences,crime_total,Number of serious offences,Annual average occupancy of a bed,Number of ambulatory clinics in rural communities,Number of avarage medical personnel,beds,Number of hospitalized patients,hospitals,Number of physicians,"Number of primary health care (PHC) service providers (except OMCs, private medical and dental offices)",crime_rate_per_100k,crime_selected_rate_per_100k,hospitals_per_100k,beds_per_10k,z_poverty,z_crime,z_hospitals,z_health_inverted,stress_index
Yerevan,2016,24.9,1.9,75.1,1073660.0,4085.0,4527.0,2917.0,95.0,9339.0,1800.0,257.0,,8654.0,7924.0,279477.0,53.0,9504.0,147.0,869.8284373079,380.47426559618503,4.936385820464579,73.80362498370062,-0.17670464547701395,0.628039262742329,0.47179564005161767,-0.47179564005161767,-0.012859142401790738
Aragatsotn,2016,15.7,0.6,84.3,129774.0,191.0,322.0,259.0,4.0,655.0,70.0,139.0,16.0,633.0,200.0,5376.0,6.0,241.0,24.0,504.72359640605976,147.1789418527594,4.623422257154746,15.411407523849151,-1.015696407245892,-0.6996752562679275,0.2657464150375003,-0.2657464150375003,-1.245073609121205
Ararat,2016,26.9,1.0,73.1,258911.0,349.0,647.0,417.0,4.0,1225.0,157.0,228.0,50.0,1005.0,473.0,13693.0,7.0,460.0,60.0,473.1355562336093,134.79535438818743,2.7036317499063385,18.268825967224256,0.005684867951003048,-0.8145460957244699,-0.9982069411440267,0.9982069411440267,0.11899813204990885
Armavir,2016,30.0,1.5,70.0,266613.0,373.0,651.0,457.0,11.0,1308.0,189.0,197.0,52.0,975.0,355.0,13364.0,4.0,403.0,61.0,490.59873299501527,139.9031555100464,1.5003019357645726,13.315179679910582,0.2883886137644295,-0.7510407385320275,-1.790456278472882,1.790456278472882,0.8344852978520424
Gegharkunik,2016,28.8,1.0,70.5,231794.0,156.0,414.0,320.0,5.0,821.0,82.0,284.0,30.0,941.0,750.0,12240.0,7.0,316.0,40.0,354.1938100209669,67.30113807950163,3.0199228625417396,32.35631638437578,0.17895490570761938,-1.247081262809302,-0.7899669212895186,0.7899669212895186,-0.1748149069999
Lori,2016,35.8,2.7,64.0,224954.0,383.0,747.0,399.0,15.0,1305.0,144.0,242.0,17.0,1167.0,486.0,18593.0,8.0,514.0,42.0,580.118602025303,170.2570303262,3.556282617779635,21.604416903011284,0.8173182027056785,-0.42549909532120883,-0.4368379157058275,0.4368379157058275,0.5207862174561153
Kotayk,2016,35.4,1.3,64.6,253898.0,644.0,755.0,501.0,24.0,1577.0,297.0,200.0,30.0,1104.0,668.0,15253.0,11.0,550.0,47.0,621.1155660934705,253.64516459365572,4.332448463556231,26.309777942323297,0.7808403000200752,-0.27641242669694316,0.0741748338721986,-0.0741748338721986,0.27040119943595986
Shirak,2016,45.5,3.7,54.5,243152.0,285.0,555.0,357.0,13.0,1087.0,162.0,177.0,12.0,1401.0,865.0,20917.0,16.0,543.0,32.0,447.04546950055936,117.21063367769956,6.580246101204184,35.57445548463512,1.7019073428315612,-0.9094234653921605,1.554081811948749,-1.554081811948749,-0.47864158087548625
Syunik,2016,24.2,1.1,75.8,139471.0,208.0,327.0,188.0,14.0,638.0,109.0,221.0,10.0,796.0,429.0,10764.0,7.0,285.0,17.0,457.4427658796452,149.1349456159345,5.018964515920873,30.759082533286488,-0.24054097517681983,-0.8716133905466273,0.5261638739172353,-0.5261638739172353,-1.0296341372090925
Vayots Dzor,2016,18.8,1.2,81.2,50836.0,35.0,122.0,38.0,1.0,177.0,16.0,108.0,5.0,228.0,85.0,1959.0,3.0,104.0,8.0,348.17845621213314,68.84884727358565,5.901329766307342,16.7204343378708,-0.7329926614324656,-1.268956274297083,1.1070962805486337,-1.1070962805486337,-1.9539421654175857
