marz,year,poverty_rate,extreme_poverty_rate,non_poor_rate,population,crime_selected_total,Number of minor offense,Number of moderately serious offense,Number of particulary serious offences,crime_total,Number of serious offences,Annual average occupancy of a bed,Number of ambulatory clinics in rural communities,Number of avarage medical personnel,beds,Number of hospitalized patients,hospitals,Number of physicians,"Number of primary health care (PHC) service providers (except OMCs, private medical and dental offices)",crime_rate_per_100k,crime_selected_rate_per_100k,hospitals_per_100k,beds_per_10k
Yerevan,2008,20.1,1.1,79.9,,,,,,,,,,,,,,,,,,,
Aragatsotn,2008,20.3,0.5,79.7,,,,,,,,,,,,,,,,,,,
Ararat,2008,31.3,1.6,68.7,,,,,,,,,,,,,,,,,,,
Armavir,2008,24.5,0.7,75.5,,,,,,,,,,,,,,,,,,,
Gegharkunik,2008,32.0,0.4,68.0,,,,,,,,,,,,,,,,,,,
Lori,2008,34.2,2.8,65.8,,,,,,,,,,,,,,,,,,,
Kotayk,2008,39.5,2.1,60.5,,,,,,,,,,,,,,,,,,,
Shirak,2008,42.4,4.6,57.6,,,,,,,,,,,,,,,,,,,
Syunik,2008,20.3,1.3,79.7,,,,,,,,,,,,,,,,,,,
Vayots Dzor,2008,21.1,1.9,78.9,,,,,,,,,,,,,,,,,,,
Tavush,2008,23.2,1.7,76.8,,,,,,,,,,,,,,,,,,,
Yerevan,2009,26.7,2.1,73.3,,,,,,,,,,,,,,,,,,,
Aragatsotn,2009,25.4,1.6,74.6,,,,,,,,,,,,,,,,,,,
Ararat,2009,39.8,3.4,60.2,,,,,,,,,,,,,,,,,,,
Armavir,2009,31.3,3.7,68.7,,,,,,,,,,,,,,,,,,,
Gegharkunik,2009,40.4,2.2,59.6,,,,,,,,,,,,,,,,,,,
Lori,2009,41.7,7.7,58.3,,,,,,,,,,,,,,,,,,,
Kotayk,2009,43.0,6.6,57.0,,,,,,,,,,,,,,,,,,,
Shirak,2009,47.2,5.5,52.8,,,,,,,,,,,,,,,,,,,
Syunik,2009,23.4,2.2,76.6,,,,,,,,,,,,,,,,,,,
Vayots Dzor,2009,30.3,1.6,69.7,,,,,,,,,,,,,,,,,,,
Tavush,2009,31.3,1.8,68.7,,,,,,,,,,,,,,,,,,,
Yerevan,2010,27.1,2.2,72.9,,,,,,,,,,,,,,,,,,,
Aragatsotn,2010,28.9,2.8,71.1,,,,,,,,,,,,,,,,,,,
Ararat,2010,42.4,2.9,57.6,,,,,,,,,,,,,,,,,,,
Armavir,2010,33.0,1.4,67.0,,,,,,,,,,,,,,,,,,,
Gegharkunik,2010,43.6,1.4,56.4,,,,,,,,,,,,,,,,,,,
Lori,2010,45.9,5.2,54.1,,,,,,,,,,,,,,,,,,,
Kotayk,2010,46.8,5.8,53.2,,,,,,,,,,,,,,,,,,,
Shirak,2010,48.3,5.0,51.7,,,,,,,,,,,,,,,,,,,
Syunik,2010,26.8,1.7,73.2,,,,,,,,,,,,,,,,,,,
Vayots Dzor,2010,37.1,2.2,62.9,,,,,,,,,,,,,,,,,,,
Tavush,2010,26.1,1.2,73.9,,,,,,,,,,,,,,,,,,,
Yerevan,2011,27.5,2.7,72.5,,,,,,,,238.0,,9122.0,7486.0,236816.0,50.0,9800.0,137.0,,,,
Aragatsotn,2011,20.7,1.1,79.3,,,,,,,,142.0,16.0,676.0,208.0,5622.0,6.0,241.0,24.0,,,,
Ararat,2011,39.3,2.5,60.7,,,,,,,,203.0,49.0,1133.0,563.0,12986.0,7.0,481.0,59.0,,,,
Armavir,2011,37.0,5.6,63.0,,,,,,,,184.0,51.0,1142.0,335.0,10733.0,4.0,406.0,61.0,,,,
Gegharkunik,2011,37.0,1.5,63.0,,,,,,,,269.0,31.0,1062.0,795.0,11535.0,8.0,355.0,42.0,,,,
Lori,2011,45.4,4.7,54.6,,,,,,,,199.0,19.0,1219.0,545.0,17073.0,11.0,520.0,45.0,,,,
Kotayk,2011,45.5,7.1,54.5,,,,,,,,220.0,30.0,1174.0,673.0,15221.0,10.0,514.0,44.0,,,,
Shirak,2011,47.7,7.0,52.3,,,,,,,,185.0,11.0,1515.0,843.0,20043.0,18.0,547.0,32.0,,,,
Syunik,2011,26.8,1.1,73.2,,,,,,,,221.0,19.0,815.0,420.0,9162.0,6.0,285.0,27.0,,,,
