frequency,architecture,r2,mse,mae
yearly,32,-3.791482044631093,808.8104849290124,24.793594735115768
yearly,64,-3.7671595804488334,804.7048107625059,24.79760341502049
yearly,32x16,-3.5842759635327273,773.8337388257486,24.310890658877113
yearly,64x32,-3.6107460687396715,778.3019385245327,24.38177734464407
monthly,32,-3.840580989013083,752.217774717403,23.816442317160014
monthly,64,-3.8657642663357503,756.1312117347247,24.13505437503089
monthly,32x16,-3.6832763921208187,727.772916941923,23.428751881798785
monthly,64x32,-3.7186066703031457,733.2631800518219,23.64632528280896
daily,32,-30.630327792519566,4894.416447902295,40.236837303826306
daily,64,-152.68874278386699,23781.502217523008,61.854311613454186
daily,32x16,-302.70516007132636,46994.755808930946,74.01186921400901
daily,64x32,-161.0732714787982,25078.90815721375,50.484526457236946
