marz,year,poverty_rate,stress_index,poverty_low,poverty_high,stress_low,stress_high,is_forecast,model
Aragatsotn,2016,15.7,-1.245073609121205,,,,,0,actual
Aragatsotn,2017,17.6,-0.996001514226432,,,,,0,actual
Aragatsotn,2018,16.2,-1.17819074087022,,,,,0,actual
Aragatsotn,2019,51.4,0.9733573857126632,,,,,0,actual
Aragatsotn,2020,32.9,0.371541141404749,,,,,0,actual
Aragatsotn,2021,13.5,-0.7351095232935723,,,,,0,actual
Aragatsotn,2022,7.9,-0.4636276645200842,,,,,0,actual
Aragatsotn,2023,17.39763271855871,-0.3084338305098134,-333.19540106471175,367.9906665018292,-21.024515999960467,20.40764833894084,1,Ensemble
Aragatsotn,2024,21.16252034701616,-0.1250003874579061,-474.6509029028137,516.975943596846,-29.421964750730474,29.171963975814663,1,Ensemble
Aragatsotn,2025,19.241904716118192,-0.24405826540234143,-588.0030425762181,626.4868520084544,-36.125365116662564,35.637248585857876,1,Ensemble
Aragatsotn,2026,16.605771471960434,-0.35151860644088206,-684.5802960945805,717.7918390385014,-41.78368294534219,41.080645732460425,1,Ensemble
Ararat,2016,26.9,0.1189981320499088,,,,,0,actual
Ararat,2017,21.7,-0.0119033574218322,,,,,0,actual
Ararat,2018,19.8,0.0541469759542046,,,,,0,actual
Ararat,2019,29.4,0.7481361195684171,,,,,0,actual
Ararat,2020,32.8,1.1801522098411268,,,,,0,actual
Ararat,2021,28.0,1.1248989331888233,,,,,0,actual
Ararat,2022,23.8,1.1024370319991392,,,,,0,actual
Ararat,2023,24.900371990962473,1.0060470826800745,2.7913881816829758,47.00935580024197,-1.3726801530079995,3.3847743183681485,1,Ensemble
Ararat,2024,29.40958904294026,1.1444006692816926,-1.8572357104299773,60.676413796310506,-2.219627648614644,4.5084289871780285,1,Ensemble
Ararat,2025,29.639368751849318,1.2273451866791212,-8.654514509540464,67.9332520132391,-2.8927312428804908,5.347421616238733,1,Ensemble
Ararat,2026,27.26616388580986,1.1790102214518534,-16.951803732749134,71.48413150436885,-3.5784442499242948,5.936464692828001,1,Ensemble
Armavir,2016,30.0,0.8344852978520424,,,,,0,actual
Armavir,2017,26.2,0.6776413777325478,,,,,0,actual
Armavir,2018,23.5,0.7187834475724318,,,,,0,actual
Armavir,2019,22.5,0.7293459676767736,,,,,0,actual
Armavir,2020,32.2,1.3113840705828317,,,,,0,actual
Armavir,2021,37.9,1.7624953540531756,,,,,0,actual
Armavir,2022,40.8,2.3515670267218645,,,,,0,actual
Armavir,2023,40.01592519585893,2.4840575997051286,17.630765087768445,62.401085303949415,0.6939589501163792,4.274156249293878,1,Ensemble
Armavir,2024,37.59255198621818,2.35277191248666,5.935154965463436,69.24994900697293,-0.17880987574751206,4.884353700720832,1,Ensemble
Armavir,2025,35.57929932846105,2.146601820824202,-3.19293531431569,74.35153397123779,-0.9539399908239478,5.247143632472351,1,Ensemble
Armavir,2026,35.25083222449106,2.046607484983893,-9.519487991689903,80.02115244067204,-1.533589814193606,5.626804784161392,1,Ensemble
Armenia (national),2016,28.943077605713846,-0.06557179233156844,,,,,0,actual
Armenia (national),2017,25.245824546569203,-0.10834489020498606,,,,,0,actual
Armenia (national),2018,22.964303174851345,0.11180744155584646,,,,,0,actual
Armenia (national),2019,25.785429668122863,0.4254914305496653,,,,,0,actual
Armenia (national),2020,26.460902887078838,0.4177595218193024,,,,,0,actual
Armenia (national),2021,25.328775494560453,0.6968788865052912,,,,,0,actual
Armenia (national),2022,24.26009900157596,1.2031564351351982,,,,,0,actual
Armenia (national),2023,23.642969849143974,1.1281561811412226,-9.998357562882047,57.284297261169996,-0.9673634596107361,3.223675821893181,1,Ensemble
Armenia (national),2024,24.720534172429236,1.232967588089583,-22.855487309891743,72.29655565475021,-1.7305447080810332,4.196479884260199,1,Ensemble
Armenia (national),2025,25.03488685339333,1.2457645718962493,-33.233601458295354,83.30337516508199,-2.383781914144625,4.875311057937123,1,Ensemble
Armenia (national),2026,24.841663654781946,1.2523768861541162,-42.440991169270106,92.12431847883397,-2.9386623953498012,5.443416167658033,1,Ensemble
Gegharkunik,2016,28.8,-0.1748149069999,,,,,0,actual
Gegharkunik,2017,20.5,-0.743707136966783,,,,,0,actual
Gegharkunik,2018,22.4,-0.4640260135804714,,,,,0,actual
Gegharkunik,2019,43.5,0.9061779908915688,,,,,0,actual
Gegharkunik,2020,48.1,1.1381417110855785,,,,,0,actual
Gegharkunik,2021,49.1,1.4112894738543431,,,,,0,actual
Gegharkunik,2022,33.9,0.6294677132798884,,,,,0,actual
Gegharkunik,2023,29.295773452618697,0.15027098894312124,-19.58856776980945,78.18011467504685,-3.328483880554063,3.629025858440306,1,Ensemble
Gegharkunik,2024,32.89408811971734,0.4055414322480079,-36.238810224714726,102.02698646414939,-4.5141608843663565,5.325243748862372,1,Ensemble
Gegharkunik,2025,41.76780863379038,0.805068137569356,-42.902354057988845,126.4379713255696,-5.220312043477406,6.830448318616117,1,Ensemble
Gegharkunik,2026,43.58359642504544,1.01504542630652,-54.18508601981085,141.35227886990174,-5.942464312687848,7.972555165300889,1,Ensemble
Kotayk,2016,35.4,0.2704011994359598,,,,,0,actual
Kotayk,2017,31.1,0.0974060170411613,,,,,0,actual
Kotayk,2018,22.7,0.2504117620279389,,,,,0,actual
Kotayk,2019,31.9,0.5505948992087537,,,,,0,actual
Kotayk,2020,17.4,-0.0515166259780128,,,,,0,actual
Kotayk,2021,23.6,0.5291189195403162,,,,,0,actual
Kotayk,2022,26.1,0.7554617849750451,,,,,0,actual
Kotayk,2023,21.42845339095405,0.5544947526932218,3.0752983391724733,39.78160844273563,0.19526673612682222,0.9137227692596215,1,Ensemble
Kotayk,2024,23.42090205075013,0.6388887167959315,-2.5343787358156664,49.37618283731592,0.13086358378334229,1.1469138498085207,1,Ensemble
Kotayk,2025,23.70778898071559,0.6642830572677612,-8.080808048159511,55.496386009590694,0.04208188107256272,1.2864842334629596,1,Ensemble
Kotayk,2026,23.14434898277091,0.6530125682155077,-13.561961120792244,59.85065908633406,-0.06544346491729158,1.3714686013483068,1,Ensemble
Lori,2016,35.8,0.5207862174561153,,,,,0,actual
Lori,2017,29.7,0.4126324495731089,,,,,0,actual
Lori,2018,29.4,0.7041062386028764,,,,,0,actual
Lori,2019,30.1,0.6692869067443715,,,,,0,actual
Lori,2020,19.0,0.2710770363023619,,,,,0,actual
Lori,2021,21.8,0.8185151557761962,,,,,0,actual
Lori,2022,18.6,1.3290418413070384,,,,,0,actual
Lori,2023,16.583728357969168,1.3192579388075687,-1.009645061285414,34.177101777223754,0.6255483505879503,2.012967527027187,1,Ensemble
Lori,2024,15.063521674065079,1.3430980497003726,-9.817265623339068,39.944308971469226,0.362044541691933,2.324151557708812,1,Ensemble
Lori,2025,15.151339803886902,1.394848707023191,-15.32127683479382,45.62395644256762,0.1933084545291277,2.5963889595172542,1,Ensemble
Lori,2026,14.270954152203755,1.4422984493153799,-20.91579268630541,49.45770099071292,0.05487927287614314,2.8297176257546166,1,Ensemble
Shirak,2016,45.5,-0.4786415808754862,,,,,0,actual
Shirak,2017,44.3,-0.3409472855336358,,,,,0,actual
Shirak,2018,42.2,-0.3325983765329114,,,,,0,actual
Shirak,2019,48.4,0.1199842673076486,,,,,0,actual
Shirak,2020,42.9,-0.3655720415526076,,,,,0,actual
Shirak,2021,46.9,0.4629489482163857,,,,,0,actual
Shirak,2022,41.6,0.7612183750055439,,,,,0,actual
Shirak,2023,44.24291522654232,0.5551426676772583,39.70931239420345,48.776518058881194,-0.6015897579521424,1.7118750933066589,1,Ensemble
Shirak,2024,41.983073936302176,0.5515601741202661,35.571591324395456,48.39455654820888,-1.0843065102415599,2.187426858482092,1,Ensemble
Shirak,2025,43.4087156603737,0.6540728882557298,35.556285213424616,51.2611461073228,-1.34944644369678,2.6575922202082394,1,Ensemble
Shirak,2026,42.369882740486254,0.5087743439806902,33.30267707580851,51.437088405164,-1.8046905072781112,2.822239195239492,1,Ensemble
Syunik,2016,24.2,-1.0296341372090925,,,,,0,actual
Syunik,2017,18.5,-1.4029275433579225,,,,,0,actual
Syunik,2018,16.7,-1.4493206941606582,,,,,0,actual
Syunik,2019,12.1,-1.496461998897311,,,,,0,actual
Syunik,2020,6.1,-1.906788738349187,,,,,0,actual
Syunik,2021,2.8,-1.849576883115653,,,,,0,actual
Syunik,2022,5.4,-1.5683547526728965,,,,,0,actual
Syunik,2023,6.3434387937632835,-1.4116577693607737,0.1138318108772407,12.573045776649325,-1.8063720928312585,-1.0169434458902888,1,Ensemble
Syunik,2024,6.561303030732177,-1.4487675743595003,-2.248691652719402,15.371297714183758,-2.0069779238743806,-0.8905572248446199,1,Ensemble
Syunik,2025,7.0119090906638295,-1.4677392388876442,-3.778086714880656,17.801904896208313,-2.1514045016137002,-0.7840739761615881,1,Ensemble
Syunik,2026,7.092303983742276,-1.4795387962773556,-5.366909982029809,19.551517949514363,-2.268967443218325,-0.690110149336386,1,Ensemble
Tavush,2016,33.8,-0.6050262964663015,,,,,0,actual
Tavush,2017,27.8,-0.8722662949086549,,,,,0,actual
Tavush,2018,25.6,-0.5146662331642753,,,,,0,actual
Tavush,2019,25.6,-0.7133408515798605,,,,,0,actual
Tavush,2020,37.5,0.1856770108415922,,,,,0,actual
Tavush,2021,38.2,0.3369398199743356,,,,,0,actual
Tavush,2022,37.4,0.0514283367686326,,,,,0,actual
Tavush,2023,35.13252235928038,-0.21349724269472886,15.22802235928038,55.03702235928038,-1.4773558636497022,1.0503613782602446,1,Ensemble
