model,activation,hidden_dims,val_year,r2,mse,mae,layer_count,total_units,max_layer_size
baseline,na,na,2020,0.7278571711837595,45.93818181818182,5.10909090909091,0,0,0
mlp,elu,8,2020,0.6080584715992425,66.16041022314671,6.481853623823687,1,8,8
mlp,elu,128x64x32,2020,0.5870447637995524,69.70756056980582,6.522386620261454,3,224,128
mlp,elu,128x64,2020,0.5848228995549436,70.08261511042379,6.9009614944458,2,192,128
mlp,tanh,256,2020,0.5749733251301341,71.74524036763437,6.831484863974833,1,256,256
mlp,gelu,4,2020,0.5693207137458727,72.69941097961497,7.020540627566252,1,4,4
mlp,elu,32x16,2020,0.5532309043458759,75.41539873079704,6.962980443781074,2,48,32
mlp,elu,64x32x16,2020,0.5452127252917693,76.76888127097817,7.11478117162531,3,112,64
mlp,elu,256,2020,0.5249933618058333,80.18194491886143,7.113436707583341,1,256,256
mlp,elu,128,2020,0.5011984441828589,84.198568310584,7.2517212260853166,1,128,128
mlp,elu,64,2020,0.48451193221102284,87.01528049149202,7.329589882763949,1,64,64
mlp,tanh,16,2020,0.47639023012881465,88.38623789848477,7.318197623166173,1,16,16
mlp,elu,32,2020,0.465177814278242,90.27891315362614,7.521730024164375,1,32,32
mlp,gelu,32x16,2020,0.45530561845189177,91.94535694267707,7.9302114833485,2,48,32
mlp,elu,16,2020,0.45286688210608417,92.35701987036701,7.550639295578002,1,16,16
mlp,elu,256x128,2020,0.44043105978970165,94.45620826020449,7.255178018049761,2,384,256
mlp,tanh,256x128x64,2020,0.4198079476689288,97.93742537836901,7.863876469568772,3,448,256
mlp,gelu,8,2020,0.41624544707960487,98.53878166069916,7.81603536605835,1,8,8
mlp,elu,64x32,2020,0.39399417178728036,102.29483554795934,7.748746065659958,2,96,64
mlp,tanh,32,2020,0.39379724896466317,102.32807646218399,8.194524270837958,1,32,32
mlp,tanh,128,2020,0.3575820929438338,108.4412576512501,8.132229325988076,1,128,128
mlp,gelu,64,2020,0.3318990263911762,112.77660385925587,8.3238469210538,1,64,64
mlp,tanh,64,2020,0.32429490274972006,114.06019312717304,8.606244070963427,1,64,64
mlp,tanh,256x128,2020,0.3001447576413706,118.13677953493742,9.315848247571425,2,384,256
mlp,tanh,8,2020,0.2959745229042755,118.84072239615654,9.27800975929607,1,8,8
mlp,relu,16,2020,0.28254865502531856,121.10703219521749,8.863177143443714,1,16,16
mlp,tanh,128x64,2020,0.25175538157594357,126.30499019634325,9.13852685581554,2,192,128
mlp,tanh,128x64x32,2020,0.23663360383501075,128.85757252342037,9.734775482524524,3,224,128
mlp,gelu,128,2020,0.22240772521397612,131.25892552419242,9.028432031111285,1,128,128
mlp,relu,64,2020,0.2126942403665254,132.8985786245563,8.903774192116478,1,64,64
mlp,gelu,32,2020,0.19957528709663686,135.11308070494476,9.157937483354047,1,32,32
mlp,relu,32,2020,0.1775381822720289,138.83298224555358,9.396024062416771,1,32,32
mlp,gelu,16,2020,0.12066229764822656,148.4337302802644,9.344844662059437,1,16,16
mlp,tanh,64x32x16,2020,0.11952051182122603,148.62646570947388,10.247718768770044,3,112,64
mlp,tanh,64x32,2020,0.1168836184008536,149.07157789525934,10.287164263291793,2,96,64
mlp,elu,4,2020,0.09881970938007156,152.12079708855325,9.91035490036011,1,4,4
mlp,tanh,32x16,2020,0.08119990877312533,155.095050010825,10.342954600941052,2,48,32
mlp,relu,128,2020,0.07945516881992776,155.38956514298582,9.728380827470259,1,128,128
mlp,gelu,64x32,2020,0.0693726807116436,157.09150663419726,9.76335660761053,2,96,64
mlp,gelu,256,2020,0.06465707645542762,157.88750881675307,9.630187606811525,1,256,256
mlp,gelu,128x64x32x16,2020,0.0527366222821416,159.89970216959532,9.389899756691673,4,240,128
mlp,elu,128x64x32x16,2020,-0.002607177334971844,169.24183159618653,9.496603549610485,4,240,128
mlp,tanh,128x64x32x16,2020,-0.002902736895268543,169.2917225629192,10.94391786401922,4,240,128
mlp,elu,256x128x64,2020,-0.02452088474926173,172.94090343977288,9.84888724413785,3,448,256
mlp,relu,32x16,2020,-0.08548966018444393,183.23253854680883,10.741764415394174,2,48,32
mlp,relu,256,2020,-0.0986487141620016,185.4538096962481,10.999963864413175,1,256,256
mlp,gelu,256x128,2020,-0.1330913116941319,191.26777993608064,10.685455842451615,2,384,256
mlp,relu,4,2020,-0.13778208998128472,192.0595914519722,10.929349673878065,1,4,4
mlp,relu,128x64,2020,-0.2154390494131153,205.16822098060638,11.453808871182527,2,192,128
mlp,gelu,256x128x64,2020,-0.2424876445059836,209.73407077612526,11.82709990414706,3,448,256
mlp,relu,8,2020,-0.30860960024959794,220.89557166276063,12.202002369273792,1,8,8
mlp,gelu,64x32x16,2020,-0.3283978236854217,224.2358581219254,11.687228584289555,3,112,64
mlp,relu,64x32,2020,-0.3519630000036784,228.213700782687,12.442434102838691,2,96,64
mlp,gelu,128x64x32,2020,-0.38747304310893615,234.20785768785493,12.587289844859733,3,224,128
mlp,relu,128x64x32x16,2020,-0.45268235639555976,245.21530294382535,12.320229651711204,4,240,128
mlp,gelu,128x64,2020,-0.4836205730743417,250.43772761362936,12.411257310347127,2,192,128
mlp,relu,128x64x32,2020,-0.5804011276904801,266.7744531990854,13.225924491882326,3,224,128
mlp,relu,64x32x16,2020,-0.6718604634723158,282.21294781013785,13.802144934914331,3,112,64
mlp,tanh,4,2020,-0.7146917265299022,289.4429393495084,14.309917935458095,1,4,4
mlp,relu,256x128x64,2020,-1.4500143881542376,413.5666808115221,17.615803406455303,3,448,256
mlp,relu,256x128,2020,-1.8437412592151867,480.02845997423776,18.66636635173451,2,384,256
