source,model,target,frequency,R2,MAE,RMSE
time_series_nn,GRU,poverty_rate,yearly,0.205794,9.530529,11.578569
time_series_nn,BiLSTM,poverty_rate,yearly,0.235911,8.985611,11.356918
time_series_nn,Transformer,poverty_rate,yearly,0.465539,6.635728,9.498309
time_series_nn,TCN,poverty_rate,yearly,0.176642,9.064377,11.789158
time_series_nn,GRU,poverty_rate,monthly,0.995271,0.635508,0.85729
time_series_nn,BiLSTM,poverty_rate,monthly,0.986166,1.027758,1.466216
time_series_nn,Transformer,poverty_rate,monthly,0.977194,1.488659,1.882549
time_series_nn,TCN,poverty_rate,monthly,0.940602,2.420194,3.038149
time_series_nn,GRU,poverty_rate,daily,0.999754,0.151451,0.195317
time_series_nn,BiLSTM,poverty_rate,daily,0.99926,0.250505,0.338677
time_series_nn,Transformer,poverty_rate,daily,0.985672,0.956755,1.489941
time_series_nn,TCN,poverty_rate,daily,0.978893,1.470904,1.808373
time_series_nn,GRU,stress_index,yearly,0.531085,0.616632,0.758708
time_series_nn,BiLSTM,stress_index,yearly,0.565169,0.557819,0.730614
time_series_nn,Transformer,stress_index,yearly,0.37077,0.65953,0.878886
time_series_nn,TCN,stress_index,yearly,0.615099,0.535012,0.687389
time_series_nn,GRU,stress_index,monthly,0.953122,0.157257,0.241478
time_series_nn,BiLSTM,stress_index,monthly,0.941593,0.16188,0.269542
time_series_nn,Transformer,stress_index,monthly,0.875023,0.226876,0.394282
time_series_nn,TCN,stress_index,monthly,0.938649,0.200931,0.276251
