marz,year,crime_selected_total
Aragatsotn,2016,191.0
Aragatsotn,2017,195.0
Aragatsotn,2018,192.0
Aragatsotn,2019,268.0
Aragatsotn,2020,247.0
Aragatsotn,2021,280.0
Aragatsotn,2022,292.0
Aragatsotn,2023,314.0
Aragatsotn,2024,338.0
Ararat,2016,349.0
Ararat,2017,346.0
Ararat,2018,484.0
Ararat,2019,610.0
Ararat,2020,608.0
Ararat,2021,755.0
Ararat,2022,719.0
Ararat,2023,608.0
Ararat,2024,453.0
Armavir,2016,373.0
Armavir,2017,400.0
Armavir,2018,554.0
Armavir,2019,648.0
Armavir,2020,655.0
Armavir,2021,676.0
Armavir,2022,741.0
Armavir,2023,1068.0
Armavir,2024,947.0
Gegharkunik,2016,156.0
Gegharkunik,2017,187.0
Gegharkunik,2018,218.0
Gegharkunik,2019,299.0
Gegharkunik,2020,229.0
Gegharkunik,2021,271.0
Gegharkunik,2022,286.0
Gegharkunik,2023,230.0
Gegharkunik,2024,190.0
Kotayk,2016,644.0
Kotayk,2017,674.0
Kotayk,2018,904.0
Kotayk,2019,938.0
Kotayk,2020,1021.0
Kotayk,2021,1073.0
Kotayk,2022,854.0
Kotayk,2023,662.0
Kotayk,2024,602.0
Lori,2016,383.0
Lori,2017,384.0
Lori,2018,461.0
Lori,2019,548.0
Lori,2020,691.0
Lori,2021,766.0
Lori,2022,688.0
Lori,2023,670.0
Lori,2024,690.0
Shirak,2016,285.0
Shirak,2017,331.0
Shirak,2018,324.0
Shirak,2019,360.0
Shirak,2020,330.0
Shirak,2021,294.0
Shirak,2022,379.0
Shirak,2023,639.0
Shirak,2024,665.0
Syunik,2016,208.0
Syunik,2017,181.0
Syunik,2018,210.0
Syunik,2019,285.0
Syunik,2020,210.0
Syunik,2021,232.0
Syunik,2022,335.0
Syunik,2023,307.0
Syunik,2024,354.0
Tavush,2016,171.0
Tavush,2017,155.0
Tavush,2018,212.0
Tavush,2019,226.0
Tavush,2020,247.0
Tavush,2021,221.0
Tavush,2022,200.0
Tavush,2023,215.0
Tavush,2024,230.0
Total Ra,2016,6880.0
Total Ra,2017,7436.0
Total Ra,2018,9962.0
Total Ra,2019,12146.0
Total Ra,2020,11087.0
Total Ra,2021,13084.0
Total Ra,2022,12575.0
Total Ra,2023,12538.0
Total Ra,2024,10732.0
Vayots Dzor,2016,35.0
Vayots Dzor,2017,55.0
Vayots Dzor,2018,56.0
Vayots Dzor,2019,76.0
Vayots Dzor,2020,55.0
Vayots Dzor,2021,116.0
Vayots Dzor,2022,112.0
Vayots Dzor,2023,88.0
Vayots Dzor,2024,145.0
Yerevan,2016,4085.0
Yerevan,2017,4528.0
Yerevan,2018,6347.0
Yerevan,2019,7888.0
Yerevan,2020,6794.0
Yerevan,2021,8400.0
Yerevan,2022,7969.0
Yerevan,2023,7737.0
Yerevan,2024,6118.0
