category,marz,year,value
"Number of registered crimes, total",Yerevan,2016,9339.0
"Number of registered crimes, total",Yerevan,2017,10324.0
"Number of registered crimes, total",Yerevan,2018,13067.0
"Number of registered crimes, total",Yerevan,2019,14961.0
"Number of registered crimes, total",Yerevan,2020,13892.0
"Number of registered crimes, total",Yerevan,2021,16438.0
"Number of registered crimes, total",Yerevan,2022,21604.0
"Number of registered crimes, total",Yerevan,2023,20231.0
"Number of registered crimes, total",Yerevan,2024,18397.0
"Number of registered crimes, total",Aragatsotn,2016,655.0
"Number of registered crimes, total",Aragatsotn,2017,738.0
"Number of registered crimes, total",Aragatsotn,2018,685.0
"Number of registered crimes, total",Aragatsotn,2019,764.0
"Number of registered crimes, total",Aragatsotn,2020,835.0
"Number of registered crimes, total",Aragatsotn,2021,838.0
"Number of registered crimes, total",Aragatsotn,2022,1161.0
"Number of registered crimes, total",Aragatsotn,2023,1521.0
"Number of registered crimes, total",Aragatsotn,2024,1524.0
"Number of registered crimes, total",Ararat,2016,1225.0
"Number of registered crimes, total",Ararat,2017,1233.0
"Number of registered crimes, total",Ararat,2018,1430.0
"Number of registered crimes, total",Ararat,2019,1590.0
"Number of registered crimes, total",Ararat,2020,1856.0
"Number of registered crimes, total",Ararat,2021,1922.0
"Number of registered crimes, total",Ararat,2022,2167.0
"Number of registered crimes, total",Ararat,2023,2539.0
"Number of registered crimes, total",Ararat,2024,2696.0
"Number of registered crimes, total",Armavir,2016,1308.0
"Number of registered crimes, total",Armavir,2017,1377.0
"Number of registered crimes, total",Armavir,2018,1601.0
"Number of registered crimes, total",Armavir,2019,1677.0
"Number of registered crimes, total",Armavir,2020,1707.0
"Number of registered crimes, total",Armavir,2021,1851.0
"Number of registered crimes, total",Armavir,2022,2161.0
"Number of registered crimes, total",Armavir,2023,3051.0
"Number of registered crimes, total",Armavir,2024,3464.0
"Number of registered crimes, total",Gegharkunik,2016,821.0
"Number of registered crimes, total",Gegharkunik,2017,729.0
"Number of registered crimes, total",Gegharkunik,2018,903.0
"Number of registered crimes, total",Gegharkunik,2019,1066.0
"Number of registered crimes, total",Gegharkunik,2020,1035.0
"Number of registered crimes, total",Gegharkunik,2021,1250.0
"Number of registered crimes, total",Gegharkunik,2022,1339.0
"Number of registered crimes, total",Gegharkunik,2023,1659.0
"Number of registered crimes, total",Gegharkunik,2024,1398.0
"Number of registered crimes, total",Lori,2016,1305.0
"Number of registered crimes, total",Lori,2017,1360.0
"Number of registered crimes, total",Lori,2018,1652.0
"Number of registered crimes, total",Lori,2019,1578.0
"Number of registered crimes, total",Lori,2020,1797.0
"Number of registered crimes, total",Lori,2021,1974.0
"Number of registered crimes, total",Lori,2022,2613.0
"Number of registered crimes, total",Lori,2023,2672.0
"Number of registered crimes, total",Lori,2024,2821.0
"Number of registered crimes, total",Kotayk,2016,1577.0
"Number of registered crimes, total",Kotayk,2017,1660.0
"Number of registered crimes, total",Kotayk,2018,2179.0
"Number of registered crimes, total",Kotayk,2019,1929.0
"Number of registered crimes, total",Kotayk,2020,2180.0
"Number of registered crimes, total",Kotayk,2021,2428.0
"Number of registered crimes, total",Kotayk,2022,2519.0
"Number of registered crimes, total",Kotayk,2023,3102.0
"Number of registered crimes, total",Kotayk,2024,3310.0
"Number of registered crimes, total",Shirak,2016,1087.0
"Number of registered crimes, total",Shirak,2017,1332.0
"Number of registered crimes, total",Shirak,2018,1309.0
"Number of registered crimes, total",Shirak,2019,1421.0
"Number of registered crimes, total",Shirak,2020,1259.0
"Number of registered crimes, total",Shirak,2021,1324.0
"Number of registered crimes, total",Shirak,2022,1752.0
"Number of registered crimes, total",Shirak,2023,2658.0
"Number of registered crimes, total",Shirak,2024,2802.0
"Number of registered crimes, total",Syunik,2016,638.0
"Number of registered crimes, total",Syunik,2017,612.0
"Number of registered crimes, total",Syunik,2018,649.0
"Number of registered crimes, total",Syunik,2019,783.0
"Number of registered crimes, total",Syunik,2020,744.0
"Number of registered crimes, total",Syunik,2021,896.0
"Number of registered crimes, total",Syunik,2022,977.0
"Number of registered crimes, total",Syunik,2023,1411.0
"Number of registered crimes, total",Syunik,2024,1649.0
"Number of registered crimes, total",Vayots Dzor,2016,177.0
"Number of registered crimes, total",Vayots Dzor,2017,240.0
"Number of registered crimes, total",Vayots Dzor,2018,258.0
"Number of registered crimes, total",Vayots Dzor,2019,239.0
"Number of registered crimes, total",Vayots Dzor,2020,203.0
"Number of registered crimes, total",Vayots Dzor,2021,303.0
"Number of registered crimes, total",Vayots Dzor,2022,422.0
"Number of registered crimes, total",Vayots Dzor,2023,419.0
"Number of registered crimes, total",Vayots Dzor,2024,683.0
"Number of registered crimes, total",Tavush,2016,632.0
"Number of registered crimes, total",Tavush,2017,679.0
"Number of registered crimes, total",Tavush,2018,945.0
"Number of registered crimes, total",Tavush,2019,842.0
"Number of registered crimes, total",Tavush,2020,960.0
"Number of registered crimes, total",Tavush,2021,1021.0
"Number of registered crimes, total",Tavush,2022,897.0
"Number of registered crimes, total",Tavush,2023,1403.0
"Number of registered crimes, total",Tavush,2024,1488.0
"Number of registered crimes, total",Total Ra,2016,18764.0
"Number of registered crimes, total",Total Ra,2017,20284.0
"Number of registered crimes, total",Total Ra,2018,24678.0
"Number of registered crimes, total",Total Ra,2019,26850.0
"Number of registered crimes, total",Total Ra,2020,26468.0
