marz,year,Number of minor offense,Number of moderately serious offense,Number of particulary serious offences,crime_total,Number of serious offences
Aragatsotn,2016,322.0,259.0,4.0,655.0,70.0
Aragatsotn,2017,358.0,310.0,5.0,738.0,65.0
Aragatsotn,2018,301.0,291.0,6.0,685.0,87.0
Aragatsotn,2019,375.0,300.0,7.0,764.0,82.0
Aragatsotn,2020,446.0,261.0,6.0,835.0,122.0
Aragatsotn,2021,474.0,259.0,5.0,838.0,100.0
Aragatsotn,2022,574.0,411.0,49.0,1161.0,127.0
Aragatsotn,2023,854.0,439.0,29.0,1521.0,199.0
Aragatsotn,2024,837.0,483.0,23.0,1524.0,181.0
Ararat,2016,647.0,417.0,4.0,1225.0,157.0
Ararat,2017,707.0,364.0,8.0,1233.0,154.0
Ararat,2018,758.0,475.0,14.0,1430.0,183.0
Ararat,2019,869.0,476.0,13.0,1590.0,232.0
Ararat,2020,1098.0,509.0,16.0,1856.0,233.0
Ararat,2021,1194.0,519.0,19.0,1922.0,190.0
Ararat,2022,1279.0,605.0,37.0,2167.0,246.0
Ararat,2023,1342.0,859.0,80.0,2539.0,258.0
Ararat,2024,1464.0,859.0,131.0,2696.0,242.0
Armavir,2016,651.0,457.0,11.0,1308.0,189.0
Armavir,2017,671.0,505.0,14.0,1377.0,187.0
Armavir,2018,774.0,621.0,8.0,1601.0,198.0
Armavir,2019,848.0,576.0,12.0,1677.0,241.0
Armavir,2020,879.0,571.0,24.0,1707.0,233.0
Armavir,2021,923.0,643.0,30.0,1851.0,255.0
Armavir,2022,1026.0,789.0,52.0,2161.0,294.0
Armavir,2023,1462.0,1037.0,59.0,3051.0,493.0
Armavir,2024,1977.0,942.0,88.0,3464.0,457.0
Gegharkunik,2016,414.0,320.0,5.0,821.0,82.0
Gegharkunik,2017,400.0,249.0,11.0,729.0,69.0
Gegharkunik,2018,482.0,311.0,9.0,903.0,101.0
Gegharkunik,2019,494.0,396.0,5.0,1066.0,171.0
Gegharkunik,2020,511.0,382.0,8.0,1035.0,134.0
Gegharkunik,2021,621.0,500.0,2.0,1250.0,127.0
Gegharkunik,2022,628.0,487.0,32.0,1339.0,192.0
Gegharkunik,2023,793.0,606.0,91.0,1659.0,169.0
Gegharkunik,2024,703.0,517.0,67.0,1398.0,111.0
Kotayk,2016,755.0,501.0,24.0,1577.0,297.0
Kotayk,2017,877.0,560.0,8.0,1660.0,215.0
Kotayk,2018,1212.0,669.0,6.0,2179.0,292.0
Kotayk,2019,857.0,630.0,20.0,1929.0,422.0
Kotayk,2020,1031.0,737.0,15.0,2180.0,397.0
Kotayk,2021,1266.0,766.0,20.0,2428.0,376.0
Kotayk,2022,1275.0,906.0,29.0,2519.0,309.0
Kotayk,2023,1588.0,1059.0,42.0,3102.0,413.0
Kotayk,2024,1881.0,1079.0,35.0,3310.0,315.0
Lori,2016,747.0,399.0,15.0,1305.0,144.0
Lori,2017,793.0,424.0,11.0,1360.0,132.0
Lori,2018,782.0,625.0,13.0,1652.0,232.0
Lori,2019,755.0,561.0,15.0,1578.0,247.0
Lori,2020,855.0,582.0,23.0,1797.0,337.0
Lori,2021,958.0,666.0,24.0,1974.0,326.0
Lori,2022,1388.0,822.0,62.0,2613.0,341.0
Lori,2023,1238.0,1035.0,50.0,2672.0,349.0
Lori,2024,1212.0,1063.0,99.0,2821.0,447.0
Shirak,2016,555.0,357.0,13.0,1087.0,162.0
Shirak,2017,701.0,443.0,11.0,1332.0,177.0
Shirak,2018,613.0,475.0,13.0,1309.0,208.0
Shirak,2019,629.0,545.0,16.0,1421.0,231.0
Shirak,2020,579.0,427.0,20.0,1259.0,233.0
Shirak,2021,667.0,456.0,10.0,1324.0,191.0
Shirak,2022,924.0,534.0,35.0,1752.0,259.0
Shirak,2023,1272.0,804.0,104.0,2658.0,478.0
Shirak,2024,1376.0,839.0,83.0,2802.0,504.0
Syunik,2016,327.0,188.0,14.0,638.0,109.0
Syunik,2017,334.0,194.0,6.0,612.0,78.0
Syunik,2018,294.0,219.0,24.0,649.0,112.0
Syunik,2019,347.0,253.0,35.0,783.0,148.0
Syunik,2020,353.0,230.0,32.0,744.0,129.0
Syunik,2021,480.0,228.0,27.0,896.0,161.0
Syunik,2022,415.0,313.0,42.0,977.0,207.0
Syunik,2023,434.0,498.0,276.0,1411.0,203.0
Syunik,2024,664.0,464.0,284.0,1649.0,237.0
Tavush,2016,314.0,250.0,12.0,632.0,56.0
Tavush,2017,330.0,293.0,5.0,679.0,51.0
Tavush,2018,429.0,421.0,6.0,945.0,89.0
