Unnamed: 0,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Number of hospitals,,,,,,,,,,,,,,
Yerevan city,50,52,54,55,54,53,51,52,53,55,56,58,61,60
Aragatsotn,6,6,6,6,6,6,6,6,6,5,5,5,5,5
Ararat,7,7,7,7,7,7,6,6,6,6,5,5,5,5
Armavir,4,4,4,4,4,4,4,4,4,4,4,3,3,3
Gegharkunik,8,7,7,7,7,7,7,7,7,7,7,7,7,7
Lori,11,10,9,8,8,8,7,7,7,7,6,6,6,6
Kotayk,10,9,9,9,11,11,11,10,10,10,10,10,10,8
Shirak,18,16,17,17,18,16,16,15,15,15,12,11,11,9
Syunik,6,6,6,7,7,7,7,7,7,7,7,7,7,7
Vayots Dzor,3,3,3,3,3,3,3,3,3,3,3,3,3,2
Tavush,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Total RA,130,127,129,130,132,129,125,124,125,126,122,122,125,119
Number of physicians,,,,,,,,,,,,,,
Yerevan city,9800,9170,8960,9215,9357,9504,9444,9717,10170,10698,10767,11176,10096,8961
Aragatsotn,241,250,236,230,240,241,227,228,239,233,252,279,271,268
Ararat,481,488,477,471,465,460,436,439,457,433,454,454,458,483
Armavir,406,414,409,403,401,403,392,390,414,394,401,416,410,504
Gegharkunik,355,338,337,331,328,316,316,339,367,361,358,369,355,324
Lori,520,527,525,527,530,514,508,520,532,535,529,541,541,522
Kotayk,514,534,525,533,557,550,502,536,594,592,610,614,633,618
Shirak,547,584,570,559,579,543,534,584,578,557,565,578,587,589
Syunik,285,289,283,285,292,285,264,263,244,244,236,247,247,252
Vayots Dzor,114,115,108,112,117,104,105,105,113,97,115,111,93,165
Tavush,227,229,234,230,251,228,236,245,250,252,261,276,252,213
Total RA,13490,12938,12664,12896,13117,13148,12964,13366,13958,14396,14548,15061,13943,12899
Number of avarage medical personnel,,,,,,,,,,,,,,
Yerevan city,9122,9152,9057,8959,8722,8654,8586,8490,8721,8938,8963,8654,8638,8931
Aragatsotn,676,708,689,660,627,633,572,544,542,524,526,519,508,480
Ararat,1133,1133,1094,1035,1023,1005,941,988,986,923,892,853,844,875
Armavir,1142,1113,1097,1057,1041,975,910,894,890,838,819,830,800,842
Gegharkunik,1062,1009,984,962,957,941,885,826,814,823,827,799,810,825
Lori,1219,1261,1238,1205,1175,1167,1093,1083,1048,1038,1034,1019,994,981
Kotayk,1174,1171,1155,1110,1113,1104,986,1005,1061,1030,996,1002,985,988
Shirak,1515,1527,1462,1437,1403,1401,1316,1304,1274,1259,1209,1249,1187,1226
Syunik,815,806,795,791,784,796,743,723,690,672,648,682,659,647
Vayots Dzor,307,287,266,260,240,228,231,214,214,205,186,198,188,201
Tavush,655,617,589,577,547,560,533,524,532,494,512,518,517,488
Total RA,18820,18784,18426,18053,17632,17464,16796,16595,16772,16744,16612,16323,16130,16484
Number of hospital beds,,,,,,,,,,,,,,
Yerevan city,7486,7569,7592,7835,7880,7924,8005,7884,7563,8375,8394,7898,8295,5615
Aragatsotn,208,208,210,210,210,200,160,152,167,196,172,180,180,308
Ararat,563,563,563,538,538,473,423,488,488,488,480,480,480,810
Armavir,335,335,335,377,355,355,355,355,355,365,365,371,377,954
Gegharkunik,795,755,750,750,750,750,750,730,730,800,730,730,730,691
Lori,545,501,491,486,486,486,480,481,481,515,589,466,466,866
