category,marz,year,value
Number of hospitals,Yerevan,2011,50.0
Number of hospitals,Yerevan,2012,52.0
Number of hospitals,Yerevan,2013,54.0
Number of hospitals,Yerevan,2014,55.0
Number of hospitals,Yerevan,2015,54.0
Number of hospitals,Yerevan,2016,53.0
Number of hospitals,Yerevan,2017,51.0
Number of hospitals,Yerevan,2018,52.0
Number of hospitals,Yerevan,2019,53.0
Number of hospitals,Yerevan,2020,55.0
Number of hospitals,Yerevan,2021,56.0
Number of hospitals,Yerevan,2022,58.0
Number of hospitals,Yerevan,2023,61.0
Number of hospitals,Yerevan,2024,60.0
Number of hospitals,Aragatsotn,2011,6.0
Number of hospitals,Aragatsotn,2012,6.0
Number of hospitals,Aragatsotn,2013,6.0
Number of hospitals,Aragatsotn,2014,6.0
Number of hospitals,Aragatsotn,2015,6.0
Number of hospitals,Aragatsotn,2016,6.0
Number of hospitals,Aragatsotn,2017,6.0
Number of hospitals,Aragatsotn,2018,6.0
Number of hospitals,Aragatsotn,2019,6.0
Number of hospitals,Aragatsotn,2020,5.0
Number of hospitals,Aragatsotn,2021,5.0
Number of hospitals,Aragatsotn,2022,5.0
Number of hospitals,Aragatsotn,2023,5.0
Number of hospitals,Aragatsotn,2024,5.0
Number of hospitals,Ararat,2011,7.0
Number of hospitals,Ararat,2012,7.0
Number of hospitals,Ararat,2013,7.0
Number of hospitals,Ararat,2014,7.0
Number of hospitals,Ararat,2015,7.0
Number of hospitals,Ararat,2016,7.0
Number of hospitals,Ararat,2017,6.0
Number of hospitals,Ararat,2018,6.0
Number of hospitals,Ararat,2019,6.0
Number of hospitals,Ararat,2020,6.0
Number of hospitals,Ararat,2021,5.0
Number of hospitals,Ararat,2022,5.0
Number of hospitals,Ararat,2023,5.0
Number of hospitals,Ararat,2024,5.0
Number of hospitals,Armavir,2011,4.0
Number of hospitals,Armavir,2012,4.0
Number of hospitals,Armavir,2013,4.0
Number of hospitals,Armavir,2014,4.0
Number of hospitals,Armavir,2015,4.0
Number of hospitals,Armavir,2016,4.0
Number of hospitals,Armavir,2017,4.0
Number of hospitals,Armavir,2018,4.0
Number of hospitals,Armavir,2019,4.0
Number of hospitals,Armavir,2020,4.0
Number of hospitals,Armavir,2021,4.0
Number of hospitals,Armavir,2022,3.0
Number of hospitals,Armavir,2023,3.0
Number of hospitals,Armavir,2024,3.0
Number of hospitals,Gegharkunik,2011,8.0
Number of hospitals,Gegharkunik,2012,7.0
Number of hospitals,Gegharkunik,2013,7.0
Number of hospitals,Gegharkunik,2014,7.0
Number of hospitals,Gegharkunik,2015,7.0
Number of hospitals,Gegharkunik,2016,7.0
Number of hospitals,Gegharkunik,2017,7.0
Number of hospitals,Gegharkunik,2018,7.0
Number of hospitals,Gegharkunik,2019,7.0
Number of hospitals,Gegharkunik,2020,7.0
Number of hospitals,Gegharkunik,2021,7.0
Number of hospitals,Gegharkunik,2022,7.0
Number of hospitals,Gegharkunik,2023,7.0
Number of hospitals,Gegharkunik,2024,7.0
Number of hospitals,Lori,2011,11.0
Number of hospitals,Lori,2012,10.0
Number of hospitals,Lori,2013,9.0
Number of hospitals,Lori,2014,8.0
Number of hospitals,Lori,2015,8.0
Number of hospitals,Lori,2016,8.0
Number of hospitals,Lori,2017,7.0
Number of hospitals,Lori,2018,7.0
Number of hospitals,Lori,2019,7.0
Number of hospitals,Lori,2020,7.0
Number of hospitals,Lori,2021,6.0
Number of hospitals,Lori,2022,6.0
Number of hospitals,Lori,2023,6.0
Number of hospitals,Lori,2024,6.0
Number of hospitals,Kotayk,2011,10.0
Number of hospitals,Kotayk,2012,9.0
Number of hospitals,Kotayk,2013,9.0
Number of hospitals,Kotayk,2014,9.0
Number of hospitals,Kotayk,2015,11.0
Number of hospitals,Kotayk,2016,11.0
Number of hospitals,Kotayk,2017,11.0
Number of hospitals,Kotayk,2018,10.0
Number of hospitals,Kotayk,2019,10.0
Number of hospitals,Kotayk,2020,10.0
Number of hospitals,Kotayk,2021,10.0
Number of hospitals,Kotayk,2022,10.0
Number of hospitals,Kotayk,2023,10.0
Number of hospitals,Kotayk,2024,8.0
Number of hospitals,Shirak,2011,18.0
Number of hospitals,Shirak,2012,16.0
Number of hospitals,Shirak,2013,17.0
Number of hospitals,Shirak,2014,17.0
Number of hospitals,Shirak,2015,18.0
Number of hospitals,Shirak,2016,16.0
Number of hospitals,Shirak,2017,16.0
Number of hospitals,Shirak,2018,15.0
Number of hospitals,Shirak,2019,15.0
Number of hospitals,Shirak,2020,15.0
Number of hospitals,Shirak,2021,12.0
Number of hospitals,Shirak,2022,11.0
Number of hospitals,Shirak,2023,11.0
Number of hospitals,Shirak,2024,9.0
Number of hospitals,Syunik,2011,6.0
Number of hospitals,Syunik,2012,6.0
Number of hospitals,Syunik,2013,6.0
Number of hospitals,Syunik,2014,7.0
Number of hospitals,Syunik,2015,7.0
Number of hospitals,Syunik,2016,7.0
Number of hospitals,Syunik,2017,7.0
Number of hospitals,Syunik,2018,7.0
Number of hospitals,Syunik,2019,7.0
Number of hospitals,Syunik,2020,7.0
Number of hospitals,Syunik,2021,7.0
Number of hospitals,Syunik,2022,7.0
Number of hospitals,Syunik,2023,7.0
Number of hospitals,Syunik,2024,7.0
Number of hospitals,Vayots Dzor,2011,3.0
Number of hospitals,Vayots Dzor,2012,3.0
Number of hospitals,Vayots Dzor,2013,3.0
Number of hospitals,Vayots Dzor,2014,3.0
Number of hospitals,Vayots Dzor,2015,3.0
Number of hospitals,Vayots Dzor,2016,3.0
Number of hospitals,Vayots Dzor,2017,3.0
Number of hospitals,Vayots Dzor,2018,3.0
Number of hospitals,Vayots Dzor,2019,3.0
Number of hospitals,Vayots Dzor,2020,3.0
Number of hospitals,Vayots Dzor,2021,3.0
Number of hospitals,Vayots Dzor,2022,3.0
Number of hospitals,Vayots Dzor,2023,3.0
Number of hospitals,Vayots Dzor,2024,2.0
Number of hospitals,Tavush,2011,7.0
Number of hospitals,Tavush,2012,7.0
Number of hospitals,Tavush,2013,7.0
Number of hospitals,Tavush,2014,7.0
Number of hospitals,Tavush,2015,7.0
Number of hospitals,Tavush,2016,7.0
Number of hospitals,Tavush,2017,7.0
Number of hospitals,Tavush,2018,7.0
Number of hospitals,Tavush,2019,7.0
Number of hospitals,Tavush,2020,7.0
Number of hospitals,Tavush,2021,7.0
Number of hospitals,Tavush,2022,7.0
Number of hospitals,Tavush,2023,7.0
Number of hospitals,Tavush,2024,7.0
Number of hospitals,Total Ra,2011,130.0
Number of hospitals,Total Ra,2012,127.0
Number of hospitals,Total Ra,2013,129.0
Number of hospitals,Total Ra,2014,130.0
Number of hospitals,Total Ra,2015,132.0
Number of hospitals,Total Ra,2016,129.0
Number of hospitals,Total Ra,2017,125.0
Number of hospitals,Total Ra,2018,124.0
Number of hospitals,Total Ra,2019,125.0
Number of hospitals,Total Ra,2020,126.0
Number of hospitals,Total Ra,2021,122.0
Number of hospitals,Total Ra,2022,122.0
Number of hospitals,Total Ra,2023,125.0
Number of hospitals,Total Ra,2024,119.0
Number of physicians,Yerevan,2011,9800.0
Number of physicians,Yerevan,2012,9170.0
Number of physicians,Yerevan,2013,8960.0
Number of physicians,Yerevan,2014,9215.0
Number of physicians,Yerevan,2015,9357.0
Number of physicians,Yerevan,2016,9504.0
Number of physicians,Yerevan,2017,9444.0
Number of physicians,Yerevan,2018,9717.0
Number of physicians,Yerevan,2019,10170.0
Number of physicians,Yerevan,2020,10698.0
Number of physicians,Yerevan,2021,10767.0
Number of physicians,Yerevan,2022,11176.0
Number of physicians,Yerevan,2023,10096.0
Number of physicians,Yerevan,2024,8961.0
Number of physicians,Aragatsotn,2011,241.0
Number of physicians,Aragatsotn,2012,250.0
Number of physicians,Aragatsotn,2013,236.0
Number of physicians,Aragatsotn,2014,230.0
Number of physicians,Aragatsotn,2015,240.0
Number of physicians,Aragatsotn,2016,241.0
Number of physicians,Aragatsotn,2017,227.0
Number of physicians,Aragatsotn,2018,228.0
Number of physicians,Aragatsotn,2019,239.0
Number of physicians,Aragatsotn,2020,233.0
Number of physicians,Aragatsotn,2021,252.0
Number of physicians,Aragatsotn,2022,279.0
Number of physicians,Aragatsotn,2023,271.0
Number of physicians,Aragatsotn,2024,268.0
Number of physicians,Ararat,2011,481.0
Number of physicians,Ararat,2012,488.0
Number of physicians,Ararat,2013,477.0
Number of physicians,Ararat,2014,471.0
Number of physicians,Ararat,2015,465.0
Number of physicians,Ararat,2016,460.0
Number of physicians,Ararat,2017,436.0
Number of physicians,Ararat,2018,439.0
Number of physicians,Ararat,2019,457.0
Number of physicians,Ararat,2020,433.0
Number of physicians,Ararat,2021,454.0
Number of physicians,Ararat,2022,454.0
Number of physicians,Ararat,2023,458.0
Number of physicians,Ararat,2024,483.0
Number of physicians,Armavir,2011,406.0
Number of physicians,Armavir,2012,414.0
Number of physicians,Armavir,2013,409.0
Number of physicians,Armavir,2014,403.0
Number of physicians,Armavir,2015,401.0
Number of physicians,Armavir,2016,403.0
Number of physicians,Armavir,2017,392.0
Number of physicians,Armavir,2018,390.0
Number of physicians,Armavir,2019,414.0
Number of physicians,Armavir,2020,394.0
Number of physicians,Armavir,2021,401.0
Number of physicians,Armavir,2022,416.0
Number of physicians,Armavir,2023,410.0
Number of physicians,Armavir,2024,504.0
Number of physicians,Gegharkunik,2011,355.0
Number of physicians,Gegharkunik,2012,338.0
Number of physicians,Gegharkunik,2013,337.0
Number of physicians,Gegharkunik,2014,331.0
Number of physicians,Gegharkunik,2015,328.0
Number of physicians,Gegharkunik,2016,316.0
Number of physicians,Gegharkunik,2017,316.0
Number of physicians,Gegharkunik,2018,339.0
Number of physicians,Gegharkunik,2019,367.0
Number of physicians,Gegharkunik,2020,361.0
Number of physicians,Gegharkunik,2021,358.0
Number of physicians,Gegharkunik,2022,369.0
Number of physicians,Gegharkunik,2023,355.0
Number of physicians,Gegharkunik,2024,324.0
Number of physicians,Lori,2011,520.0
Number of physicians,Lori,2012,527.0
