marz,year,Annual average occupancy of a bed,Number of ambulatory clinics in rural communities,Number of avarage medical personnel,beds,Number of hospitalized patients,hospitals,Number of physicians,"Number of primary health care (PHC) service providers (except OMCs, private medical and dental offices)"
Aragatsotn,2011,142.0,16.0,676.0,208.0,5622.0,6.0,241.0,24.0
Aragatsotn,2012,145.0,16.0,708.0,208.0,5773.0,6.0,250.0,24.0
Aragatsotn,2013,145.0,16.0,689.0,210.0,5801.0,6.0,236.0,24.0
Aragatsotn,2014,156.0,16.0,660.0,210.0,6049.0,6.0,230.0,24.0
Aragatsotn,2015,138.0,16.0,627.0,210.0,5456.0,6.0,240.0,24.0
Aragatsotn,2016,139.0,16.0,633.0,200.0,5376.0,6.0,241.0,24.0
Aragatsotn,2017,136.0,15.0,572.0,160.0,5067.0,6.0,227.0,23.0
Aragatsotn,2018,164.0,15.0,544.0,152.0,5231.0,6.0,228.0,23.0
Aragatsotn,2019,206.0,16.0,542.0,167.0,6642.0,6.0,239.0,24.0
Aragatsotn,2020,182.0,16.0,524.0,196.0,5638.0,5.0,233.0,24.0
Aragatsotn,2021,221.0,16.0,526.0,172.0,6509.0,5.0,252.0,24.0
Aragatsotn,2022,182.0,16.0,519.0,180.0,6096.0,5.0,279.0,24.0
Aragatsotn,2023,187.0,16.0,508.0,180.0,5925.0,5.0,271.0,24.0
Aragatsotn,2024,212.0,16.0,480.0,308.0,7105.0,5.0,268.0,24.0
Ararat,2011,203.0,49.0,1133.0,563.0,12986.0,7.0,481.0,59.0
Ararat,2012,213.0,49.0,1133.0,563.0,13623.0,7.0,488.0,59.0
Ararat,2013,210.0,49.0,1094.0,563.0,13653.0,7.0,477.0,59.0
Ararat,2014,233.0,49.0,1035.0,538.0,15188.0,7.0,471.0,59.0
Ararat,2015,221.0,49.0,1023.0,538.0,14613.0,7.0,465.0,59.0
Ararat,2016,228.0,50.0,1005.0,473.0,13693.0,7.0,460.0,60.0
Ararat,2017,240.0,50.0,941.0,423.0,13003.0,6.0,436.0,60.0
Ararat,2018,235.0,50.0,988.0,488.0,13396.0,6.0,439.0,61.0
Ararat,2019,243.0,50.0,986.0,488.0,16802.0,6.0,457.0,60.0
Ararat,2020,248.0,50.0,923.0,488.0,14517.0,6.0,433.0,60.0
Ararat,2021,259.0,50.0,892.0,480.0,15915.0,5.0,454.0,59.0
Ararat,2022,243.0,50.0,853.0,480.0,16711.0,5.0,454.0,58.0
Ararat,2023,232.0,50.0,844.0,480.0,16207.0,5.0,458.0,59.0
Ararat,2024,227.0,50.0,875.0,810.0,16383.0,5.0,483.0,60.0
Armavir,2011,184.0,51.0,1142.0,335.0,10733.0,4.0,406.0,61.0
Armavir,2012,197.0,52.0,1113.0,335.0,12063.0,4.0,414.0,62.0
Armavir,2013,205.0,52.0,1097.0,335.0,12536.0,4.0,409.0,61.0
Armavir,2014,206.0,52.0,1057.0,377.0,13808.0,4.0,403.0,61.0
Armavir,2015,194.0,52.0,1041.0,355.0,12877.0,4.0,401.0,61.0
Armavir,2016,197.0,52.0,975.0,355.0,13364.0,4.0,403.0,61.0
Armavir,2017,193.0,52.0,910.0,355.0,12734.0,4.0,392.0,61.0
Armavir,2018,189.0,52.0,894.0,355.0,12851.0,4.0,390.0,61.0
Armavir,2019,223.0,52.0,890.0,355.0,14931.0,4.0,414.0,60.0
Armavir,2020,185.0,52.0,838.0,365.0,12685.0,4.0,394.0,60.0
Armavir,2021,240.0,52.0,819.0,365.0,15242.0,4.0,401.0,59.0
Armavir,2022,220.0,52.0,830.0,371.0,15438.0,3.0,416.0,60.0
Armavir,2023,198.0,52.0,800.0,377.0,14758.0,3.0,410.0,59.0
Armavir,2024,233.0,22.0,842.0,954.0,17982.0,3.0,504.0,31.0
Gegharkunik,2011,269.0,31.0,1062.0,795.0,11535.0,8.0,355.0,42.0
Gegharkunik,2012,279.0,31.0,1009.0,755.0,11514.0,7.0,338.0,41.0
Gegharkunik,2013,286.0,31.0,984.0,750.0,11821.0,7.0,337.0,41.0
Gegharkunik,2014,288.0,30.0,962.0,750.0,12541.0,7.0,331.0,40.0
Gegharkunik,2015,286.0,30.0,957.0,750.0,12461.0,7.0,328.0,40.0
Gegharkunik,2016,284.0,30.0,941.0,750.0,12240.0,7.0,316.0,40.0
Gegharkunik,2017,277.0,30.0,885.0,750.0,11572.0,7.0,316.0,40.0
Gegharkunik,2018,275.0,30.0,826.0,730.0,11091.0,7.0,339.0,40.0
Gegharkunik,2019,276.0,30.0,814.0,730.0,11844.0,7.0,367.0,40.0
Gegharkunik,2020,278.0,30.0,823.0,800.0,12158.0,7.0,361.0,40.0
Gegharkunik,2021,288.0,30.0,827.0,730.0,15359.0,7.0,358.0,40.0
Gegharkunik,2022,263.0,30.0,799.0,730.0,14746.0,7.0,369.0,40.0
Gegharkunik,2023,254.0,30.0,810.0,730.0,13727.0,7.0,355.0,39.0
Gegharkunik,2024,303.0,30.0,825.0,691.0,14216.0,7.0,324.0,39.0
Kotayk,2011,220.0,30.0,1174.0,673.0,15221.0,10.0,514.0,44.0
Kotayk,2012,226.0,30.0,1171.0,658.0,14843.0,9.0,534.0,44.0
Kotayk,2013,222.0,30.0,1155.0,658.0,15643.0,9.0,525.0,45.0
Kotayk,2014,203.0,30.0,1110.0,658.0,16512.0,9.0,533.0,45.0
Kotayk,2015,199.0,30.0,1113.0,688.0,15451.0,11.0,557.0,46.0
Kotayk,2016,200.0,30.0,1104.0,668.0,15253.0,11.0,550.0,47.0
Kotayk,2017,176.0,30.0,986.0,668.0,14075.0,11.0,502.0,47.0
Kotayk,2018,230.0,30.0,1005.0,488.0,14435.0,10.0,536.0,47.0
Kotayk,2019,242.0,30.0,1061.0,478.0,15131.0,10.0,594.0,47.0
Kotayk,2020,214.0,30.0,1030.0,478.0,13589.0,10.0,592.0,46.0
Kotayk,2021,210.0,30.0,996.0,495.0,15023.0,10.0,610.0,45.0
Kotayk,2022,213.0,30.0,1002.0,498.0,15001.0,10.0,614.0,45.0
Kotayk,2023,196.0,30.0,985.0,498.0,15140.0,10.0,633.0,45.0
Kotayk,2024,201.0,30.0,988.0,979.0,15526.0,8.0,618.0,47.0
Lori,2011,199.0,19.0,1219.0,545.0,17073.0,11.0,520.0,45.0
Lori,2012,226.0,19.0,1261.0,501.0,17319.0,10.0,527.0,45.0
Lori,2013,230.0,20.0,1238.0,491.0,17366.0,9.0,525.0,45.0
Lori,2014,256.0,21.0,1205.0,486.0,19024.0,8.0,527.0,45.0
Lori,2015,236.0,21.0,1175.0,486.0,18477.0,8.0,530.0,45.0
Lori,2016,242.0,17.0,1167.0,486.0,18593.0,8.0,514.0,42.0
Lori,2017,225.0,18.0,1093.0,480.0,17842.0,7.0,508.0,41.0
Lori,2018,228.0,18.0,1083.0,481.0,17862.0,7.0,520.0,41.0
Lori,2019,251.0,18.0,1048.0,481.0,20404.0,7.0,532.0,41.0
Lori,2020,236.0,18.0,1038.0,515.0,19329.0,7.0,535.0,40.0
Lori,2021,254.0,17.0,1034.0,589.0,22835.0,6.0,529.0,40.0
Lori,2022,248.0,17.0,1019.0,466.0,20978.0,6.0,541.0,40.0
Lori,2023,256.0,17.0,994.0,466.0,21009.0,6.0,541.0,39.0
Lori,2024,261.0,17.0,981.0,866.0,22687.0,6.0,522.0,40.0
Shirak,2011,185.0,11.0,1515.0,843.0,20043.0,18.0,547.0,32.0
Shirak,2012,188.0,11.0,1527.0,843.0,20535.0,16.0,584.0,32.0
Shirak,2013,182.0,11.0,1462.0,881.0,21764.0,17.0,570.0,32.0
Shirak,2014,193.0,11.0,1437.0,878.0,23022.0,17.0,559.0,33.0
Shirak,2015,172.0,11.0,1403.0,878.0,21180.0,18.0,579.0,32.0
Shirak,2016,177.0,12.0,1401.0,865.0,20917.0,16.0,543.0,32.0
Shirak,2017,168.0,12.0,1316.0,845.0,19825.0,16.0,534.0,32.0
Shirak,2018,163.0,12.0,1304.0,830.0,20347.0,15.0,584.0,32.0
Shirak,2019,165.0,12.0,1274.0,821.0,21522.0,15.0,578.0,32.0
Shirak,2020,148.0,12.0,1259.0,841.0,19328.0,15.0,557.0,32.0
Shirak,2021,164.0,12.0,1209.0,757.0,20958.0,12.0,565.0,32.0
Shirak,2022,160.0,12.0,1249.0,753.0,20774.0,11.0,578.0,33.0
Shirak,2023,155.0,12.0,1187.0,751.0,20412.0,11.0,587.0,32.0
Shirak,2024,169.0,12.0,1226.0,828.0,21969.0,9.0,589.0,31.0
Syunik,2011,221.0,19.0,815.0,420.0,9162.0,6.0,285.0,27.0
Syunik,2012,220.0,18.0,806.0,420.0,9907.0,6.0,289.0,26.0
Syunik,2013,221.0,18.0,795.0,420.0,10443.0,6.0,283.0,26.0
Syunik,2014,223.0,10.0,791.0,429.0,11379.0,7.0,285.0,18.0
Syunik,2015,224.0,10.0,784.0,409.0,10496.0,7.0,292.0,18.0
Syunik,2016,221.0,10.0,796.0,429.0,10764.0,7.0,285.0,17.0
Syunik,2017,206.0,10.0,743.0,429.0,10665.0,7.0,264.0,17.0
Syunik,2018,180.0,10.0,723.0,428.0,9987.0,7.0,263.0,17.0
Syunik,2019,212.0,10.0,690.0,378.0,10536.0,7.0,244.0,17.0
Syunik,2020,181.0,10.0,672.0,461.0,9914.0,7.0,244.0,17.0
Syunik,2021,209.0,10.0,648.0,422.0,12069.0,7.0,236.0,17.0
Syunik,2022,196.0,9.0,682.0,432.0,10340.0,7.0,247.0,16.0
Syunik,2023,188.0,9.0,659.0,402.0,10260.0,7.0,247.0,16.0
Syunik,2024,233.0,9.0,647.0,492.0,12336.0,7.0,252.0,16.0
Tavush,2011,121.0,18.0,655.0,273.0,5894.0,7.0,227.0,26.0
Tavush,2012,113.0,18.0,617.0,294.0,6149.0,7.0,229.0,27.0
Tavush,2013,135.0,18.0,589.0,273.0,6652.0,7.0,234.0,26.0
Tavush,2014,147.0,18.0,577.0,273.0,7528.0,7.0,230.0,26.0
Tavush,2015,155.0,18.0,547.0,258.0,7661.0,7.0,251.0,26.0
Tavush,2016,146.0,18.0,560.0,258.0,8098.0,7.0,228.0,27.0
Tavush,2017,135.0,18.0,533.0,257.0,7730.0,7.0,236.0,27.0
Tavush,2018,156.0,18.0,524.0,232.0,7902.0,7.0,245.0,27.0
Tavush,2019,172.0,18.0,532.0,232.0,8939.0,7.0,250.0,27.0
Tavush,2020,178.0,18.0,494.0,267.0,8444.0,7.0,252.0,27.0
Tavush,2021,200.0,18.0,512.0,219.0,9146.0,7.0,261.0,27.0
Tavush,2022,205.0,18.0,518.0,216.0,8986.0,7.0,276.0,28.0
Tavush,2023,205.0,18.0,517.0,216.0,8822.0,7.0,252.0,27.0
Tavush,2024,203.0,18.0,488.0,377.0,8815.0,7.0,213.0,27.0
Total Ra,2011,225.0,249.0,18820.0,12236.0,346999.0,130.0,13490.0,506.0
Total Ra,2012,236.0,249.0,18784.0,12241.0,375316.0,127.0,12938.0,513.0
Total Ra,2013,236.0,250.0,18426.0,12268.0,373069.0,129.0,12664.0,514.0
Total Ra,2014,246.0,242.0,18053.0,12514.0,406552.0,130.0,12896.0,509.0
Total Ra,2015,240.0,242.0,17632.0,12532.0,393540.0,132.0,13117.0,504.0
Total Ra,2016,240.0,240.0,17464.0,12493.0,399734.0,129.0,13148.0,505.0
Total Ra,2017,241.0,240.0,16796.0,12457.0,397633.0,125.0,12964.0,501.0
Total Ra,2018,238.0,240.0,16595.0,12153.0,406393.0,124.0,13366.0,501.0
Total Ra,2019,259.0,241.0,16772.0,11778.0,435470.0,125.0,13958.0,494.0
Total Ra,2020,235.0,241.0,16744.0,12871.0,394470.0,126.0,14396.0,500.0
Total Ra,2021,264.0,240.0,16612.0,12708.0,474039.0,122.0,14548.0,487.0
Total Ra,2022,261.0,239.0,16323.0,12109.0,472076.0,122.0,15061.0,473.0
Total Ra,2023,267.0,239.0,16130.0,12480.0,480942.0,125.0,13943.0,466.0
Total Ra,2024,278.0,209.0,16484.0,12113.0,528834.0,119.0,12899.0,438.0
Vayots Dzor,2011,107.0,5.0,307.0,95.0,1914.0,3.0,114.0,9.0
Vayots Dzor,2012,105.0,5.0,287.0,95.0,1853.0,3.0,115.0,9.0
Vayots Dzor,2013,99.0,5.0,266.0,95.0,1814.0,3.0,108.0,8.0
Vayots Dzor,2014,132.0,5.0,260.0,80.0,2010.0,3.0,112.0,8.0
Vayots Dzor,2015,118.0,5.0,240.0,80.0,1845.0,3.0,117.0,8.0
Vayots Dzor,2016,108.0,5.0,228.0,85.0,1959.0,3.0,104.0,8.0
Vayots Dzor,2017,108.0,5.0,231.0,85.0,1734.0,3.0,105.0,8.0
Vayots Dzor,2018,111.0,5.0,214.0,85.0,1889.0,3.0,105.0,8.0
Vayots Dzor,2019,127.0,5.0,214.0,85.0,2138.0,3.0,113.0,8.0
Vayots Dzor,2020,103.0,5.0,205.0,85.0,1767.0,3.0,97.0,8.0
Vayots Dzor,2021,99.0,5.0,186.0,85.0,1886.0,3.0,115.0,8.0
Vayots Dzor,2022,101.0,5.0,198.0,85.0,1931.0,3.0,111.0,8.0
Vayots Dzor,2023,94.0,5.0,188.0,85.0,1776.0,3.0,93.0,8.0
Vayots Dzor,2024,166.0,5.0,201.0,193.0,2139.0,2.0,165.0,9.0
Yerevan,2011,238.0,,9122.0,7486.0,236816.0,50.0,9800.0,137.0
Yerevan,2012,251.0,,9152.0,7569.0,261737.0,52.0,9170.0,144.0
Yerevan,2013,251.0,,9057.0,7592.0,255576.0,54.0,8960.0,147.0
Yerevan,2014,261.0,,8959.0,7835.0,279491.0,55.0,9215.0,150.0
Yerevan,2015,258.0,,8722.0,7880.0,273023.0,54.0,9357.0,145.0
Yerevan,2016,257.0,,8654.0,7924.0,279477.0,53.0,9504.0,147.0
Yerevan,2017,263.0,,8586.0,8005.0,283386.0,51.0,9444.0,145.0
Yerevan,2018,254.0,,8490.0,7884.0,291402.0,52.0,9717.0,144.0
Yerevan,2019,279.0,,8721.0,7563.0,306581.0,53.0,10170.0,138.0
Yerevan,2020,250.0,,8938.0,8375.0,277101.0,55.0,10698.0,146.0
Yerevan,2021,289.0,,8963.0,8394.0,339097.0,56.0,10767.0,136.0
Yerevan,2022,286.0,,8654.0,7898.0,341075.0,58.0,11176.0,121.0
Yerevan,2023,298.0,,8638.0,8295.0,352906.0,61.0,10096.0,118.0
Yerevan,2024,303.0,,8931.0,5615.0,389676.0,60.0,8961.0,114.0
