marz,year,population
Yerevan,2012,1061044.0
Yerevan,2013,1066264.0
Yerevan,2014,1068306.0
Yerevan,2015,1071511.0
Yerevan,2016,1073660.0
Yerevan,2017,1075841.0
Yerevan,2018,1077590.0
Yerevan,2019,1081874.0
Yerevan,2020,1084024.0
Yerevan,2021,1091747.0
Yerevan,2022,1092778.0
Aragatsotn,2012,133063.0
Aragatsotn,2013,133070.0
Aragatsotn,2014,132305.0
Aragatsotn,2015,131332.0
Aragatsotn,2016,129774.0
Aragatsotn,2017,128518.0
Aragatsotn,2018,127146.0
Aragatsotn,2019,125440.0
Aragatsotn,2020,124721.0
Aragatsotn,2021,124446.0
Aragatsotn,2022,124646.0
Ararat,2012,260634.0
Ararat,2013,261335.0
Ararat,2014,260787.0
Ararat,2015,260102.0
Ararat,2016,258911.0
Ararat,2017,258407.0
Ararat,2018,257804.0
Ararat,2019,256688.0
Ararat,2020,256570.0
Ararat,2021,256630.0
Ararat,2022,256615.0
Armavir,2012,266151.0
Armavir,2013,267101.0
Armavir,2014,267187.0
Armavir,2015,267002.0
Armavir,2016,266613.0
Armavir,2017,265759.0
Armavir,2018,264617.0
Armavir,2019,263900.0
Armavir,2020,263863.0
Armavir,2021,263944.0
Armavir,2022,264383.0
Gegharkunik,2012,235380.0
Gegharkunik,2013,235587.0
Gegharkunik,2014,234079.0
Gegharkunik,2015,232988.0
Gegharkunik,2016,231794.0
Gegharkunik,2017,230715.0
Gegharkunik,2018,229711.0
Gegharkunik,2019,228256.0
Gegharkunik,2020,227632.0
Gegharkunik,2021,227269.0
Gegharkunik,2022,227778.0
Lori,2012,235660.0
Lori,2013,234663.0
Lori,2014,230760.0
Lori,2015,227999.0
Lori,2016,224954.0
Lori,2017,221098.0
Lori,2018,217363.0
Lori,2019,215471.0
Lori,2020,213315.0
Lori,2021,212566.0
Lori,2022,211677.0
C.vanadzor (marz Center),2012,86202.0
C.vanadzor (marz Center),2013,85673.0
C.vanadzor (marz Center),2014,84298.0
C.vanadzor (marz Center),2015,83385.0
C.vanadzor (marz Center),2016,82221.0
C.vanadzor (marz Center),2017,80703.0
C.vanadzor (marz Center),2018,79310.0
C.vanadzor (marz Center),2019,78386.0
C.vanadzor (marz Center),2020,77234.0
C.vanadzor (marz Center),2021,76860.0
C.vanadzor (marz Center),2022,76220.0
Kotayk,2012,254616.0
Kotayk,2013,255353.0
Kotayk,2014,254997.0
Kotayk,2015,254990.0
Kotayk,2016,253898.0
Kotayk,2017,252830.0
Kotayk,2018,251598.0
Kotayk,2019,251609.0
Kotayk,2020,250908.0
Kotayk,2021,251177.0
Kotayk,2022,251076.0
Shirak,2012,252093.0
Shirak,2013,251267.0
Shirak,2014,248381.0
Shirak,2015,246409.0
Shirak,2016,243152.0
Shirak,2017,239278.0
Shirak,2018,235380.0
Shirak,2019,233245.0
Shirak,2020,231365.0
Shirak,2021,230963.0
Shirak,2022,230340.0
C.gyumri (marz Center),2012,121945.0
C.gyumri (marz Center),2013,121342.0
C.gyumri (marz Center),2014,119885.0
C.gyumri (marz Center),2015,119034.0
C.gyumri (marz Center),2016,117714.0
C.gyumri (marz Center),2017,116031.0
C.gyumri (marz Center),2018,114430.0
C.gyumri (marz Center),2019,113525.0
C.gyumri (marz Center),2020,112412.0
C.gyumri (marz Center),2021,112108.0
C.gyumri (marz Center),2022,111138.0
Syunik,2012,141747.0
Syunik,2013,141645.0
Syunik,2014,141001.0
Syunik,2015,140182.0
Syunik,2016,139471.0
Syunik,2017,138953.0
Syunik,2018,138397.0
Syunik,2019,137574.0
Syunik,2020,137312.0
Syunik,2021,135851.0
Syunik,2022,134731.0
Vayots Dzor,2012,52367.0
Vayots Dzor,2013,52252.0
Vayots Dzor,2014,51702.0
Vayots Dzor,2015,51406.0
Vayots Dzor,2016,50836.0
Vayots Dzor,2017,50277.0
Vayots Dzor,2018,49633.0
Vayots Dzor,2019,48970.0
Vayots Dzor,2020,48508.0
Vayots Dzor,2021,48124.0
Vayots Dzor,2022,47584.0
Tavush,2012,128621.0
Tavush,2013,128342.0
Tavush,2014,127574.0
Tavush,2015,126677.0
Tavush,2016,125514.0
Tavush,2017,124475.0
Tavush,2018,123493.0
Tavush,2019,122242.0
Tavush,2020,121476.0
Tavush,2021,120534.0
Tavush,2022,119759.0
