Unnamed: 0,2016,2017,2018,2019,2020,2021,2022,2023,2024
Robbery,,,,,,,,,
Yerevan city,3480.0,3670.0,5704.0,7093.0,5850.0,7249,6361.0,4436.0,4046.0
Aragatsotn,145.0,155.0,172.0,244.0,224.0,242,205.0,127.0,142.0
Ararat,272.0,286.0,444.0,547.0,515.0,631,554.0,355.0,256.0
Armavir,291.0,313.0,499.0,547.0,519.0,504,494.0,347.0,299.0
Gegharkunik,126.0,138.0,183.0,262.0,192.0,225,224.0,132.0,125.0
Lori,322.0,316.0,389.0,470.0,619.0,669,553.0,446.0,472.0
Kotayk,552.0,569.0,846.0,873.0,954.0,1003,772.0,440.0,411.0
Shirak,187.0,230.0,238.0,269.0,252.0,212,218.0,250.0,218.0
Syunik,138.0,115.0,143.0,161.0,143.0,178,209.0,145.0,167.0
Vayots Dzor,24.0,48.0,45.0,65.0,44.0,105,95.0,51.0,84.0
Tavush,140.0,123.0,188.0,201.0,211.0,200,169.0,139.0,170.0
Total RA,5677.0,5963.0,8851.0,10732.0,9523.0,11218,9854.0,6868.0,6390.0
Hooliganism,,,,,,,,,
Yerevan city,127.0,119.0,137.0,228.0,231.0,231,301.0,315.0,304.0
Aragatsotn,10.0,4.0,3.0,8.0,3.0,2,9.0,18.0,30.0
Ararat,6.0,6.0,12.0,12.0,16.0,13,27.0,45.0,66.0
Armavir,13.0,9.0,13.0,15.0,19.0,18,13.0,43.0,57.0
Gegharkunik,4.0,6.0,14.0,5.0,6.0,2,13.0,11.0,17.0
Lori,3.0,10.0,21.0,17.0,14.0,23,37.0,54.0,91.0
Kotayk,7.0,20.0,11.0,19.0,15.0,10,12.0,27.0,35.0
Shirak,11.0,14.0,11.0,11.0,14.0,10,28.0,45.0,52.0
Syunik,5.0,10.0,4.0,3.0,6.0,10,5.0,13.0,17.0
Vayots Dzor,5.0,1.0,3.0,4.0,6.0,-,1.0,8.0,7.0
Tavush,4.0,3.0,5.0,4.0,8.0,3,7.0,21.0,27.0
Total RA,195.0,202.0,234.0,326.0,338.0,322,453.0,600.0,703.0
Related to drugs,,,,,,,,,
Yerevan city,478.0,739.0,506.0,567.0,713.0,920,1307.0,2986.0,1768.0
Aragatsotn,36.0,36.0,17.0,16.0,20.0,36,78.0,169.0,166.0
Ararat,71.0,54.0,28.0,51.0,77.0,111,138.0,208.0,131.0
Armavir,69.0,78.0,42.0,86.0,117.0,154,234.0,678.0,591.0
Gegharkunik,26.0,43.0,21.0,32.0,31.0,44,49.0,87.0,48.0
Lori,58.0,58.0,51.0,61.0,58.0,74,98.0,170.0,127.0
Kotayk,85.0,85.0,47.0,46.0,52.0,60,70.0,195.0,156.0
Shirak,87.0,87.0,75.0,80.0,64.0,72,133.0,344.0,395.0
Syunik,65.0,56.0,63.0,121.0,61.0,44,121.0,149.0,170.0
Vayots Dzor,6.0,6.0,8.0,7.0,5.0,11,16.0,29.0,54.0
Tavush,27.0,29.0,19.0,21.0,28.0,18,24.0,55.0,33.0
Total RA,1008.0,1271.0,877.0,1088.0,1226.0,1544,2268.0,5070.0,3639.0
