Unnamed: 0,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Number of registered crimes, total",,,,,,,,,
Yerevan city,9339.0,10324.0,13067,14961,13892.0,16438.0,21604.0,20231.0,18397.0
Aragatsotn,655.0,738.0,685,764,835.0,838.0,1161.0,1521.0,1524.0
Ararat,1225.0,1233.0,1430,1590,1856.0,1922.0,2167.0,2539.0,2696.0
Armavir,1308.0,1377.0,1601,1677,1707.0,1851.0,2161.0,3051.0,3464.0
Gegharkunik,821.0,729.0,903,1066,1035.0,1250.0,1339.0,1659.0,1398.0
Lori,1305.0,1360.0,1652,1578,1797.0,1974.0,2613.0,2672.0,2821.0
Kotayk,1577.0,1660.0,2179,1929,2180.0,2428.0,2519.0,3102.0,3310.0
Shirak,1087.0,1332.0,1309,1421,1259.0,1324.0,1752.0,2658.0,2802.0
Syunik,638.0,612.0,649,783,744.0,896.0,977.0,1411.0,1649.0
Vayots Dzor,177.0,240.0,258,239,203.0,303.0,422.0,419.0,683.0
Tavush,632.0,679.0,945,842,960.0,1021.0,897.0,1403.0,1488.0
Total RA,18764.0,20284.0,24678,26850,26468.0,30245.0,37612.0,40666.0,40232.0
Number of minor offense,,,,,,,,,
Yerevan city,4527.0,5693.0,7085,7939,7248.0,9245.0,12365.0,9152.0,8045.0
Aragatsotn,322.0,358.0,301,375,446.0,474.0,574.0,854.0,837.0
Ararat,647.0,707.0,758,869,1098.0,1194.0,1279.0,1342.0,1464.0
Armavir,651.0,671.0,774,848,879.0,923.0,1026.0,1462.0,1977.0
Gegharkunik,414.0,400.0,482,494,511.0,621.0,628.0,793.0,703.0
Lori,747.0,793.0,782,755,855.0,958.0,1388.0,1238.0,1212.0
Kotayk,755.0,877.0,1212,857,1031.0,1266.0,1275.0,1588.0,1881.0
Shirak,555.0,701.0,613,629,579.0,667.0,924.0,1272.0,1376.0
Syunik,327.0,334.0,294,347,353.0,480.0,415.0,434.0,664.0
Vayots Dzor,122.0,179.0,152,126,97.0,183.0,173.0,174.0,346.0
Tavush,314.0,330.0,429,446,532.0,509.0,410.0,596.0,655.0
Total RA,9381.0,11043.0,12882,13685,13629.0,16520.0,20457.0,18905.0,19160.0
Number of moderately serious offense,,,,,,,,,
Yerevan city,2917.0,2956.0,3742,4260,4247.0,4440.0,5795.0,6769.0,6341.0
Aragatsotn,259.0,310.0,291,300,261.0,259.0,411.0,439.0,483.0
Ararat,417.0,364.0,475,476,509.0,519.0,605.0,859.0,859.0
Armavir,457.0,505.0,621,576,571.0,643.0,789.0,1037.0,942.0
Gegharkunik,320.0,249.0,311,396,382.0,500.0,487.0,606.0,517.0
Lori,399.0,424.0,625,561,582.0,666.0,822.0,1035.0,1063.0
Kotayk,501.0,560.0,669,630,737.0,766.0,906.0,1059.0,1079.0
Shirak,357.0,443.0,475,545,427.0,456.0,534.0,804.0,839.0
Syunik,188.0,194.0,219,253,230.0,228.0,313.0,498.0,464.0
Vayots Dzor,38.0,50.0,80,87,79.0,72.0,175.0,193.0,226.0
Tavush,250.0,293.0,421,306,300.0,363.0,346.0,614.0,602.0
Total RA,6103.0,6348.0,7929,8390,8325.0,8912.0,11183.0,13913.0,13415.0
Number of serious offences,,,,,,,,,
Yerevan city,1800.0,1591.0,2115,2609,2256.0,2551.0,2944.0,3426.0,2846.0
Aragatsotn,70.0,65.0,87,82,122.0,100.0,127.0,199.0,181.0
Ararat,157.0,154.0,183,232,233.0,190.0,246.0,258.0,242.0
Armavir,189.0,187.0,198,241,233.0,255.0,294.0,493.0,457.0
Gegharkunik,82.0,69.0,101,171,134.0,127.0,192.0,169.0,111.0
Lori,144.0,132.0,232,247,337.0,326.0,341.0,349.0,447.0
Kotayk,297.0,215.0,292,422,397.0,376.0,309.0,413.0,315.0
Shirak,162.0,177.0,208,231,233.0,191.0,259.0,478.0,504.0
Syunik,109.0,78.0,112,148,129.0,161.0,207.0,203.0,237.0
Vayots Dzor,16.0,10.0,26,26,26.0,43.0,45.0,39.0,57.0
Tavush,56.0,51.0,89,82,118.0,143.0,128.0,142.0,160.0
Total RA,3082.0,2729.0,3643,4491,4218.0,4463.0,5092.0,6169.0,5557.0
Number of particulary serious offences,,,,,,,,,
Yerevan city,95.0,84.0,125,153,141.0,202.0,500.0,884.0,1165.0
Aragatsotn,4.0,5.0,6,7,6.0,5.0,49.0,29.0,23.0
Ararat,4.0,8.0,14,13,16.0,19.0,37.0,80.0,131.0
Armavir,11.0,14.0,8,12,24.0,30.0,52.0,59.0,88.0
Gegharkunik,5.0,11.0,9,5,8.0,2.0,32.0,91.0,67.0
Lori,15.0,11.0,13,15,23.0,24.0,62.0,50.0,99.0
Kotayk,24.0,8.0,6,20,15.0,20.0,29.0,42.0,35.0
Shirak,13.0,11.0,13,16,20.0,10.0,35.0,104.0,83.0
Syunik,14.0,6.0,24,35,32.0,27.0,42.0,276.0,284.0
Vayots Dzor,1.0,1.0,-,-,1.0,5.0,29.0,13.0,54.0
Tavush,12.0,5.0,6,8,10.0,6.0,13.0,51.0,71.0
Total RA,198.0,164.0,224,284,296.0,350.0,880.0,1679.0,2100.0
