Unnamed: 0,Poor population,Extremely poor population,Non-poor population
2008,,,
National average,27.6,1.6,72.4
Yerevan city,20.1,1.1,79.9
Aragatsotn Marz,20.3,0.5,79.7
Ararat Marz,31.3,1.6,68.7
Armavir Marz,24.5,0.7,75.5
Gegharkunik Marz,32.0,0.4,68.0
Lori Marz,34.2,2.8,65.8
Kotayk Marz,39.5,2.1,60.5
Shirak Marz,42.4,4.6,57.6
Syunik Marz,20.3,1.3,79.7
Vayots Dzor Marz,21.1,1.9,78.9
Tavush Marz,23.2,1.7,76.8
2009,,,
National average,34.1,3.6,65.9
Yerevan city,26.7,2.1,73.3
Aragatsotn Marz,25.4,1.6,74.6
Ararat Marz,39.8,3.4,60.2
Armavir Marz,31.3,3.7,68.7
Gegharkunik Marz,40.4,2.2,59.6
Lori Marz,41.7,7.7,58.3
Kotayk Marz,43.0,6.6,57.0
Shirak Marz,47.2,5.5,52.8
Syunik Marz,23.4,2.2,76.6
Vayots Dzor Marz,30.3,1.6,69.7
Tavush Marz,31.3,1.8,68.7
2010,,,
National average,35.8,3.0,64.2
Yerevan city,27.1,2.2,72.9
Aragatsotn Marz,28.9,2.8,71.1
Ararat Marz,42.4,2.9,57.6
Armavir Marz,33.0,1.4,67.0
Gegharkunik Marz,43.6,1.4,56.4
Lori Marz,45.9,5.2,54.1
Kotayk Marz,46.8,5.8,53.2
Shirak Marz,48.3,5.0,51.7
Syunik Marz,26.8,1.7,73.2
Vayots Dzor Marz,37.1,2.2,62.9
Tavush Marz,26.1,1.2,73.9
2011,,,
National average,35.0,3.7,65.0
Yerevan city,27.5,2.7,72.5
Aragatsotn Marz,20.7,1.1,79.3
Ararat Marz,39.3,2.5,60.7
Armavir Marz,37.0,5.6,63.0
Gegharkunik Marz,37.0,1.5,63.0
Lori Marz,45.4,4.7,54.6
Kotayk Marz,45.5,7.1,54.5
Shirak Marz,47.7,7.0,52.3
Syunik Marz,26.8,1.1,73.2
Vayots Dzor Marz,29.9,1.5,70.1
Tavush Marz,26.7,2.0,73.3
2012,,,
National average,32.4,2.8,67.6
Yerevan city,25.6,2.2,74.4
Aragatsotn Marz,21.2,0.9,78.8
Ararat Marz,34.6,2.1,65.4
Armavir Marz,34.3,3.4,65.7
Gegharkunik Marz,35.5,1.4,64.5
Lori Marz,38.7,3.4,61.3
Kotayk Marz,42.5,5.7,57.5
Shirak Marz,46.0,5.5,54.0
Syunik Marz,25.6,0.7,74.4
Vayots Dzor Marz,20.7,0.5,79.3
Tavush Marz,27.5,1.9,72.5
2013,,,
National average,32.0,2.7,68.0
Yerevan city,25.5,2.1,74.5
Aragatsotn Marz,22.7,1.1,77.3
Ararat Marz,32.4,1.7,67.6
Armavir Marz,31.3,3.3,68.7
Gegharkunik Marz,35.8,2.4,64.2
Lori Marz,38.6,2.6,61.4
Kotayk Marz,42.5,5.1,67.5
Shirak Marz,45.9,4.0,54.1
Syunik Marz,25.2,1.8,74.8
Vayots Dzor Marz,21.0,0.7,79.0
Tavush Marz,27.7,2.5,72.3
2014,,,
National average,30.0,2.3,70.0
Yerevan city,25.2,2.0,74.8
Aragatsotn Marz,18.7,0.5,81.3
Ararat Marz,28.5,1.6,71.5
Armavir Marz,29.0,2.9,71.0
Gegharkunik Marz,32.3,2.1,67.7
Lori Marz,36.4,3.0,63.6
Kotayk Marz,37.2,2.9,62.8
Shirak Marz,44.2,3.8,55.8
Syunik Marz,24.2,1.0,75.8
Vayots Dzor Marz,18.2,0.6,81.8
Tavush Marz,30.6,2.7,69.4
2015,,,
National average,29.8,2.0,70.2
Yerevan city,25.0,2.0,75.0
Aragatsotn Marz,16.1,0.4,83.9
Ararat Marz,27.3,1.3,72.7
Armavir Marz,29.6,2.1,70.4
Gegharkunik Marz,32.1,1.3,67.9
Lori Marz,36.2,2.8,63.8
Kotayk Marz,35.9,2.3,64.1
Shirak Marz,45.3,3.9,54.7
Syunik Marz,24.5,0.7,75.5
Vayots Dzor Marz,16.9,1.0,83.1
Tavush Marz,35.3,2.0,64.7
2016,,,
National average,29.4,1.8,70.6
Yerevan city,24.9,1.9,75.1
Aragatsotn Marz,15.7,0.6,84.3
Ararat Marz,26.9,1.0,73.1
Armavir Marz,30.0,1.5,70.0
Gegharkunik Marz,28.8,1.0,70.5
Lori Marz,35.8,2.7,64.0
Kotayk Marz,35.4,1.3,64.6
Shirak Marz,45.5,3.7,54.5
Syunik Marz,24.2,1.1,75.8
Vayots Dzor Marz,18.8,1.2,81.2
Tavush Marz,33.8,1.9,66.2
2017,,,
National average,25.7,1.4,74.3
